"igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
1,1,0,1
1,0.220009713453133,0,1
1,0.205070167496605,0,1
2,0.248219178082192,147.03083448496,2
1,1,0,1
8,0.26948245092207,155.044028622048,8
2,0.158336246067808,138.656995754366,2
2,1,1,2
13,0.293203883495146,1242.66422033284,13
5,0.180982820615262,2379.36114377168,5
5,0.246597713663582,334.630050653284,5
4,0.27672571777642,43.0481019890231,4
2,0.178557351202207,452,2
2,0.237795275590551,46.4010459557557,2
2,0.135995196637646,182.300387664567,2
11,0.274379164142944,328.273146871659,11
3,0.203778677462888,482.156496968781,3
2,0.230299949161159,6.7203957514593,2
11,0.281541330018645,485.690093826765,11
6,0.25321408608161,139.574676081979,6
7,0.268206039076377,1635.3377988972,7
5,0.198771390960948,388.648006370285,5
2,0.20600272851296,1043.1653953398,2
7,0.277403551745254,414.998663917472,7
5,0.249862107004964,214.058516059745,5
4,0.235569422776911,1842.72023361862,4
1,0.178416699487987,0,1
6,0.274047186932849,84.7898996701354,6
13,0.288718929254302,414.293599850319,13
1,0.134781315084796,0,1
20,0.318341531974701,3771.48104653412,20
12,0.294729993493819,348.573097990365,12
7,0.272399278412507,388.584982680295,7
7,0.266001174398121,193.076082352501,7
3,0.269162210338681,31.4243287463213,3
3,0.253497481813095,10.9006701370089,3
1,0.209237875288684,0,1
1,0.169472502805836,0,1
18,0.297049180327869,765.149704984349,18
2,0.229135053110774,1.20608458682442,2
4,0.273385636692818,127.075100773735,4
16,0.305874409182984,244.49869839375,16
18,0.299009900990099,309.360532342025,18
2,0.206754906435418,2.43596466444257,2
2,0.240829346092504,16.8916583362689,2
13,0.303822937625755,324.444283226479,13
10,0.271745650869826,557.675285908825,10
23,0.304640215198386,801.318586210521,23
9,0.286527514231499,240.108159412243,9
4,0.229135053110774,203.677419734074,4
14,0.299405155320555,189.590080538251,14
13,0.297049180327869,164.851782376775,13
18,0.312629399585921,1597.96282605176,18
10,0.263525305410122,618.562649598863,10
14,0.305874409182984,1170.97044796487,14
7,0.244468429573664,467.617180333112,7
1,0.181272509003601,0,1
15,0.303822937625755,466.99376472807,15
5,0.213176470588235,1803.56178622604,5
5,0.217893217893218,714.883373047178,5
14,0.306702775897089,1370.79554151531,14
15,0.280495356037152,3309.22773756196,15
21,0.306288032454361,567.442577757742,21
2,0.200708905626938,4.20121176788567,2
16,0.316120027913468,721.823095550747,16
4,0.231713554987212,6.76320101935175,4
7,0.291318327974277,292.24994146976,7
16,0.307535641547862,1839.55542703673,16
2,0.160695282014899,225.5,2
21,0.316120027913468,1064.52244080492,21
9,0.298615688859591,440.373313502552,9
19,0.316561844863732,672.442796674122,19
8,0.273385636692818,806.919489609876,8
11,0.29244673983215,69.0360331283691,11
6,0.258119658119658,3208.10680522557,6
1,0.156260779579165,0,1
17,0.300996677740864,435.905727558802,17
5,0.255499153976311,15.6454127484714,5
13,0.302201467645097,343.003674313385,13
10,0.292824822236587,942.978685411815,10
9,0.255499153976311,205.320376219533,9
3,0.239809422975119,415.108859490343,3
1,0.149455625206203,0,1
7,0.213578500707214,2162.80398206814,7
9,0.269803454437165,770.364266073641,9
5,0.233144621718991,1187.06156375735,5
4,0.212775951150775,1359.4472854141,4
1,1,0,1
4,0.195006457167456,668.160455426375,4
21,0.321961620469083,1360.91617244606,21
7,0.246061922868007,299.539744236295,7
1,1,0,1
7,0.255787690570299,1436.84283988944,7
6,0.213578500707214,1104.87947911487,6
19,0.320594479830149,1879.37441538122,19
20,0.31006160164271,592.182863194102,20
5,0.261698440207972,202.808196425622,5
15,0.310486634681289,1212.60750931775,15
3,0.215817055740829,119.401376748343,3
9,0.276051188299817,1581.25192905073,9
2,0.226386806596702,16.1792209167444,2
12,0.28835136855506,1366.86231202144,12
13,0.303010033444816,460.56214099573,13
13,0.296660117878193,768.797742779088,13
13,0.300996677740864,270.295653388288,13
5,0.273716012084592,168.097353809304,5
13,0.300198807157058,852.623054621316,13
15,0.309215017064846,1087.57620363226,15
14,0.300198807157058,238.762380622312,14
14,0.283302063789869,311.998474046254,14
3,0.236060448150078,731.115058445989,3
3,0.219796215429403,413.034225125306,3
19,0.311768754301445,752.703866576775,19
1,0.226840260390586,0,1
5,0.262001156737999,514.001657781845,5
5,0.258709308966305,74.9284510567671,5
3,0.208467556373677,26.0529447515075,3
4,0.230769230769231,934.568561271177,4
11,0.292069632495164,318.882396376184,11
6,0.236800836382645,1328.92613039422,6
9,0.289456869009585,519.540701778161,9
2,0.203047960555805,158.401545618753,2
15,0.282948157401624,856.730456168622,15
5,0.256948383437323,104.023479875028,5
16,0.301397205588822,994.946468145566,16
1,0.221950024497795,0,1
27,0.32993445010925,2014.7569239349,27
9,0.284369114877589,359.720417240117,9
10,0.294729993493819,259.390732151172,10
6,0.255499153976311,32.5190920010513,6
1,1,0,1
18,0.312629399585921,897.344241723552,18
11,0.287984742530197,866.198771806656,11
3,0.215406562054208,59.9788841321852,3
15,0.302605210420842,2133.94472513963,15
11,0.300597213005972,1065.80592132287,11
7,0.262608695652174,571.128833275073,7
4,0.236553524804178,75.9551992826212,4
6,0.274047186932849,123.058479645572,6
3,0.254924029262802,508.912902178142,3
8,0.299405155320555,235.897203956491,8
13,0.278426551936079,483.633685091243,13
14,0.303010033444816,484.083328462001,14
1,0.216435738174869,0,1
7,0.199296084469864,1099.49660266443,7
17,0.3196894848271,1108.85450564892,17
2,0.232904884318766,18.0863335335902,2
3,0.246061922868007,26.2383763596653,3
20,0.316561844863732,863.088243463041,20
1,0.213780084945729,0,1
3,0.220009713453133,251.261077384742,3
4,0.239555790586991,60.5152676993477,4
2,0.219796215429403,0.890397100652571,2
4,0.272399278412507,464.510582259678,4
15,0.302201467645097,446.848442119628,15
1,0.192030521407376,0,1
4,0.230299949161159,66.0265053231415,4
5,0.265377855887522,81.8269663885872,5
7,0.284012539184953,1121.9545894874,7
2,0.196699956578376,412.377481295238,2
2,0.212376933895921,36.7571232464776,2
2,0.23338485316847,6.92014418894558,2
3,0.19807608220376,1329.86901959816,3
14,0.298615688859591,310.844483569261,14
1,0.16126735493058,0,1
13,0.293964957819598,502.79152837443,13
3,0.22108345534407,461.189000250364,3
2,0.247947454844007,88.0572532904461,2
4,0.233144621718991,262.170213551728,4
1,1,0,1
14,0.307953772943576,190.22631268353,14
15,0.302201467645097,980.276314689905,15
3,0.228672387682988,148.333311220326,3
2,0.14422158548233,362.72005535581,2
3,0.200886917960089,14.5115507468901,3
14,0.301798800799467,241.0430700579,14
12,0.289827255278311,70.8705391491766,12
14,0.302201467645097,460.842666605523,14
14,0.297830374753452,529.8106974382,14
12,0.302605210420842,702.133958247458,12
2,0.221732745961821,452,2
1,1,0,1
19,0.30879345603272,710.276273492505,19
15,0.305874409182984,221.245249522089,15
6,0.257825839499146,129.09546902969,6
3,0.222167729279058,277.909771840986,3
18,0.302605210420842,1050.74534086804,18
18,0.315679442508711,905.432890919532,18
2,0.160695282014899,225.5,2
12,0.281541330018645,2018.62246735484,12
5,0.226386806596702,379.590529942487,5
11,0.307953772943576,170.40506083025,11
1,0.201781737193764,0,1
6,0.255787690570299,82.6060492372762,6
3,0.222385861561119,269.294646136744,3
22,0.321048901488306,1129.27683466174,22
17,0.314801945795691,682.877057132667,17
3,0.208852005532503,150.608186669022,3
3,0.20525600362483,295.224259263287,3
1,0.157127991675338,0,1
2,0.223262690980779,8.23402300302485,2
2,0.227752639517345,307.305151679548,2
4,0.245528455284553,989.173308027515,4
6,0.233866804336603,238.69605162554,6
24,0.326133909287257,1264.68965620485,24
18,0.302605210420842,406.7199426302,18
16,0.278769230769231,709.663249100041,16
3,0.20451467268623,251.420172279109,3
11,0.291318327974277,46.3405801802482,11
2,0.23459347488348,9.39154895301604,2
3,0.20656634746922,504.040621449515,3
12,0.284012539184953,681.986412973149,12
11,0.294346978557505,300.281998151357,11
16,0.302605210420842,809.151744136072,16
11,0.28835136855506,593.305069989528,11
5,0.229832572298326,700.826828690853,5
4,0.203230148048452,728.086735721424,4
27,0.330898466033601,2033.41983017039,27
2,0.219796215429403,0.890397100652571,2
4,0.257825839499146,65.9729357430529,4
6,0.263525305410122,102.102050489867,6
4,0.218313253012048,637.095032297675,4
22,0.322419928825623,1440.15123639653,22
17,0.30546190155091,915.855034308167,17
