Wavelength	Amplitude_1	Amplitude_2	Amplitude_3	Amplitude_4	Amplitude_5	Amplitude_6	Amplitude_7
1024	-0.901	-3.128	-3.615	118.385	1516.288	708.393	117.5293333
1025	-1.539333333	-3.0245	0.9765	129.101	1469.694	724.171	125.2493333
1026	-0.601333333	-2.327	0.943	107.892	1441.734	740.22	131.174
1027	-0.794333333	1.0965	-5.1515	94.031	1386.59	753.216	137.8946667
1028	1.613333333	-0.0875	0.428	89.794	1363.82	761.994	147.272
1029	2.089666667	3.9905	0.692	90.17	1323.694	782.03	156.976
1030	0.661333333	-0.8365	1.631	78.872	1270.134	795.189	161.6873333
1031	1.767	0.527	-0.406	63.769	1236.266	802.254	171.3626667
1032	1.191333333	1.391	1.5915	62.205	1187.5	814.957	179.558
1033	0.259333333	2.546	3.8995	64.334	1152.736	835.657	190.3513333
1034	0.066666667	1.7075	-2.528	46.398	1109.19	839.089	194.6133333
1035	3.256	2.0985	0.7415	46.336	1065.976	842.751	212.1053333
1036	-0.791	-0.8845	-1.867	39.522	1032.478	856.089	217.7513333
1037	-0.324	-4.7105	-0.4075	40.354	991.922	857.64	233.6686667
1038	0.871	2.24	0.7445	42.948	931.238	855.544	239.23
1039	-1.078	0.5375	-0.6465	30.107	906.694	868.787	253.4673333
1040	1.019666667	-2.055	1.3415	24.919	883.692	866.613	258.1333333
1041	4.127666667	-1.757	-2.2835	22.714	825.462	876.041	269.5093333
1042	-0.730666667	0.857	1.025	28.108	788.374	873.462	286.7066667
1043	0.489333333	0.3465	2.5525	23.299	753.266	864.421	293.3973333
1044	0.436333333	1.246	-0.2895	15.772	706.358	868.642	302.0226667
1045	-2.881333333	0.0095	2.335	11.045	658.262	868.505	311.0433333
1046	-3.142	-0.226	1.424	12.151	623.818	864.331	327.4853333
1047	0.346666667	-0.7775	-1.7935	10.036	590.41	843.96	340.4253333
1048	0.315666667	-1.08	-3.8235	11.064	563.206	858.206	342.0333333
1049	0.874	1.7265	2.7145	-0.107	536.342	844.545	362.3853333
1050	1.256	-1.046	-5.713	19.098	486.108	831.417	369.9046667
1051	1.297333333	-0.8085	-0.6525	2.536	471.04	826.539	381.906
1052	-0.407666667	-4.4445	-1.378	12.316	435.248	814.775	397.4486667
1053	-2.038333333	-1.8685	-3.142	9.191	407.422	804.853	399.5693333
1054	2.476666667	-1.7765	2.6645	0.863	388.604	807.651	411.206
1055	0.825666667	-1.1225	0.2755	5.106	376.804	778.918	427.4713333
1056	-2.717333333	-1.915	0.17	10.587	323.012	777.624	432.4133333
1057	1.329	-3.477	0.129	-0.654	324.056	757.06	444.3053333
1058	0.886333333	0.38	0.3555	4.52	281.726	743.116	455.518
1059	0.56	-0.9105	-2.0795	3.678	254.182	722.003	469.248
1060	-2.106333333	-4.3535	4.5695	4.692	248.306	711.88	473.1386667
1061	0.331	-1.237	4.614	2.07	233.208	698.815	486.9126667
1062	0.314	-4.302	-0.6785	-0.193	235.584	667.934	493.2586667
1063	-3.846333333	0.9075	1.6195	-8.645	192.938	664.347	496.5966667
1064	-1.239333333	0.588	0.2635	7.605	190.446	642.079	502.9486667
1065	2.554333333	1.754	-1.1045	-6.097	167.964	628.335	518.2106667
1066	1.230666667	-4.5775	6.529	1.608	176.782	611.649	518.2066667
1067	2.304	-1.456	2.2615	7.406	124.634	584.648	529.0353333
1068	-2.200333333	-1.8725	3.4705	0.318	132.476	568.841	531.2573333
1069	1.089333333	-0.97	-1.882	-1.47	109.28	545.287	534.5053333
1070	-2.270666667	1.1905	-1.88	2.312	113.144	519.877	546.0053333
1071	-0.475666667	-1.614	1.008	0.707	108.548	511.293	540.332
1072	0.670666667	0.931	-0.998	2.744	107.252	490.424	550.742
1073	-3.924666667	2.145	3.1275	2.159	81.266	470.269	549.2613333
1074	0.466666667	-0.1525	-1.1115	2.538	74.174	451.583	554.8433333
1075	-0.21	0.0485	0.586	-1.227	63.902	437.67	555.3366667
1076	0.916	0.409	-1.653	4.118	47.568	420.594	552.6473333
1077	-0.134	4.0375	0.808	0.16	58.24	397.45	556.1313333
1078	-2.352	-1.281	1.2705	0.173	49.07	388.142	562.0793333
1079	-0.105	-2.236	-1.119	-4.692	49.47	365.199	556.6546667
1080	0.151	-0.5765	2.4875	-10.166	44.604	349.242	554.8126667
1081	1.404	-1.95	-0.6285	5.965	41.42	328.592	548.806
1082	1.433333333	1.439	-0.1415	-6.386	34.58	314.662	548.566
1083	-1.224666667	-2.338	-2.03	-1.275	35.028	304.113	544.9093333
1084	-0.396333333	2.236	-1.512	3.987	12.19	282.583	540.188
1085	-0.588666667	0.463	0.04	5.333	7.584	266.292	538.54
1086	4.606333333	-0.4635	-6.083	-5.641	43.928	254.307	532.4973333
1087	-0.562	1.985	3.2595	2.163	36.848	243.053	530.266
1088	0.197	-0.652	1.787	-4.582	30.618	226.286	518.9366667
1089	1.252	2.2515	0.9695	-4.568	6.094	213.369	509.6686667
1090	1.640333333	0.419	3.937	-8.719	9.15	203.219	506.2726667
1091	-2.525666667	2.34	-0.7605	4.731	33.328	194.892	491.594
1092	1.338333333	1.5225	-2.9995	9.584	-2.62	174.263	489.3046667
1093	-0.197666667	0.8905	-0.3835	3.611	20.108	174.269	481.648
1094	-1.544333333	-1.7865	-2.1845	-3.053	0.702	160.79	471.2233333
1095	-0.440333333	2.707	-1.212	-0.69	2.692	142.226	462.9353333
1096	-1.528333333	0.51	0.402	0.34	-5.626	133.868	454.266
1097	0.856333333	2.584	1.78	4.132	-22.54	134.602	439.476
1098	-0.159	0.986	2.569	0.848	13.03	118.032	431.0353333
1099	-3.749333333	-1.367	2.3395	1.143	9.344	108.632	428.716
1100	-0.291666667	-1.4835	-0.4755	-5.972	13.618	103.95	420.836
1101	1.169666667	0.019	2.7895	0.328	24.308	93.335	406.5173333
1102	-0.105666667	1.107	-1.436	2.567	-11.696	81.527	391.106
1103	-4.376333333	0.2015	2.438	2.133	21.35	81.987	381.262
1104	-0.284333333	-0.1845	4.802	-2.139	12.034	78.825	361.3793333
1105	1.584666667	-1.4585	0.4465	0.08	1.312	70.88	355.082
1106	-0.256666667	2.938	-2.4515	6.072	-1.482	63.16	349.8713333
1107	-2.239333333	-1.6475	-0.336	9.062	-12.392	51.71	336.588
1108	-2.933333333	4.258	-0.3255	3.447	9.23	55.558	326.31
1109	-0.063666667	-0.3755	2.3365	2.197	0.376	59.714	311.3873333
1110	0.202333333	-3.8445	-1.5275	-5.919	-6.088	52.908	304.5426667
1111	1.438333333	4.732	-1.4645	-3.822	-8.45	46.807	294.9946667
1112	-0.604	-0.293	0.5655	-1.294	1.568	31.744	276.0366667
1113	0.978666667	6.397	-2.0455	-1.339	9.116	27.07	273.3433333
1114	0.985666667	0.1635	-1.621	1.656	1.486	36.244	260.9166667
1115	-1.192666667	0.0605	-0.8805	-6.37	0.398	16.054	244.732
1116	0.904333333	0.109	5.357	-2.754	5.752	17.3	233.4866667
1117	0.156333333	-1.953	-2.488	-8.317	-2.224	17.555	224.11
1118	0.950666667	-0.7345	0.7265	5.201	-6.166	23.4	218.504
1119	1.400333333	0.5115	-1.564	2.649	-1.448	24.2	211.4973333
1120	-2.094	0.5215	2.173	-2.134	0.55	16.002	197.3453333
1121	0.541333333	3.103	0.2495	3.532	-4.8	19.777	184.4133333
1122	-0.218666667	0.286	-4.4145	1.978	-1.836	16.371	170.44
1123	-2.285333333	-1.827	0.9265	-8.826	-13.346	3.946	172.3966667
1124	-2.339666667	0.744	0.537	1.145	1.114	5.634	159.9526667
1125	-0.252666667	-0.1555	-0.7655	-2.679	-2.642	6.716	148.19
1126	1.052333333	3.4545	-0.1605	-1.596	-3.19	7.237	142.7806667
1127	1.577333333	1.9055	2.0555	3.849	-28.706	6.189	139.03
1128	1.164	-2.324	2.607	4.261	7.444	8.58	134.2833333
1129	-1.658666667	0.074	0.0815	-0.255	-3.774	10.139	123.0233333
1130	0.653	6.035	-3.0415	-7.105	-4.482	6.912	107.3093333
1131	-0.014666667	0.9075	-0.106	-5.728	0.576	6.729	102.6346667
