#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_311	9	7	12	11	7	3	31	23	21	41	12	7	6	19	21	12	15	15
ASV_354	18	22	8	19	13	22	14	14	17	15	16	15	9	10	18	14	17	9
ASV_356	9	18	11	13	6	9	20	21	15	13	19	15	18	17	11	21	14	13
ASV_290	14	20	7	10	20	16	18	10	12	16	17	12	6	5	23	17	11	13
ASV_293	2	0	4	1	41	2	7	0	40	3	57	1	63	1	23	3	0	0
ASV_304	11	16	4	11	2	5	30	15	21	16	17	14	10	16	12	16	19	17
ASV_531	31	9	5	1	106	5	1	40	1	8	15	5	1	6	2	3	1	9
ASV_299	17	35	9	17	12	12	11	5	14	11	11	7	22	10	20	25	5	25
ASV_298	16	25	12	4	40	10	2	4	11	8	10	17	4	50	7	6	5	7
ASV_340	16	20	8	7	2	10	13	24	21	12	21	22	28	4	11	21	5	13
ASV_412	17	12	15	27	17	14	22	8	8	8	18	8	12	16	8	13	21	9
