处方编号,处方组成
P0185,荆芥、枫香、檀香、降香、草乌、山桂、当归、苍术、羌活、白芨、乌豆、地龙、滴青、麝香、川芎、五灵脂、乳香、没药、川乌、骨碎补、川牛膝、细辛、花桑木、白芷、赤芍、牵牛子、天南星、自然铜、大栗间、木鳖子
P0186,川芎、青皮、甘草、白芍、滑石、牡丹皮、桃仁
P0187,蝙蝠、当归、骨碎补、肉桂、补骨脂、大黄
P0188,当归、红花、桃仁、甘草、柴胡、大黄、生地黄、蒲黄
P0189,苏木、莪术、木香、陈皮
P0190,当归、赤芍、姜黄、伸筋草、松节、海桐皮、落得打、路路通、羌活、防风、续断、甘草
P0191,何首乌、当归、赤芍、白芷、乌药、枳壳、防风、甘草、川芎、陈皮、香附、紫苏、羌活、独活、肉桂
P0192,当归、川芎、白芍、生地黄、桃仁、牛膝、延胡索、红花、肉桂
P0193,生地黄、红花、当归、槐花、木通、地骨皮、陈皮、青皮、香附、乌药、白芷、甘草
P0194,当归、延胡索、生地黄、丹参、木香、独活、桃仁、没药、红花、牛膝、桑枝
P0195,三棱、莪术、黄柏、黄连、青皮、赤芍、紫苏、香附、柴胡、乳香、红花、苏木、石菖蒲、千里马
P0196,土鳖虫、血竭、西红花、乳香、没药、牛膝、白芷、儿茶、骨碎补、杜仲、续断、赤木、当归、生地黄、川芎、自然铜、桃仁、大黄、马钱子、朱砂、冰片、蜜糖
P0197,当归、羌活、独活、荆芥、川芎、桃仁、木通、乌药、续断、陈皮、五加皮、红花、防风、苏木、乳香、没药、甘草
P0198,土鳖虫、当归、乳香、自然铜、三七
P0199,乳香、没药、赤芍、白芷、川芎、当归、生地黄、牡丹皮、甘草
P0200,当归、苏木、落得打、川芎、红花、乳香、没药、三七、赤芍、陈皮、土鳖虫、紫荆藤
P0201,当归、生地黄、青皮、天门冬、羌活、续断、红花、苏木、陈皮、防风、枳实、甘草、川芎、白芍、五加皮、乳香、没药
P0202,白芷、穿山甲、小茴香、甘草、当归、川芎、独活、羌活、木瓜、肉桂、淮乌、草乌、麝香
P0203,桃仁、三棱、莪术
P0204,大黄、当归、桃仁
P0205,大黄、苦杏仁
P0206,当归、赤芍、大黄、降香、苏木、甘草
P0207,鸡苏、生地黄、桑白皮、生姜、葛根、小蓟、竹茹
P0208,当归、川芎、枳壳、陈皮、香附、厚朴、木香、苏木、刘寄奴、落得打、三七、乳香、没药、萹蓄
P0209,当归、赤芍、香附、羌活、薄荷、枳壳、陈皮、紫苏、五灵脂、人中黄、延胡索、川芎、乌药、白芷、防风、甘草
P0210,当归、自然铜、桃仁、红花、陈麻皮、土鳖虫、骨碎补、大黄、乳香、没药、老鹰骨、血竭、朱砂、雄黄、麝香
P0211,杜仲、乳香、没药、当归、赤芍、生地黄、补骨脂、土鳖虫、地龙、续断、远志、骨碎补
P0212,大黄、厚朴、枳实、羌活、防风、当归、生地黄、芒硝
P0213,大黄、芒硝、枳实、厚朴、当归、肉桂、甘草
P0214,龟甲、鹿角、虎骨、何首乌、川牛膝、杜仲、锁阳、当归、威灵仙、黄柏、人参、羌活、干姜、白芍、白术、熟地黄、附子
