Sample	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15
OTU_1517	0	16	4	0	0	0	7	11	0	1	0	6	1	18	1
OTU_1578	0	23	1	0	8	1	2	12	1	17	0	0	0	0	0
OTU_1945	0	0	7	18	5	2	2	8	6	13	0	2	0	2	0
OTU_2010	0	0	1	10	11	7	1	5	8	3	3	5	2	6	3
OTU_2145	0	7	3	1	4	0	2	17	4	25	0	2	0	0	0
OTU_2247	0	0	0	0	0	0	0	0	0	0	15	5	20	10	15
OTU_2306	0	0	4	0	0	9	1	2	1	0	4	10	17	6	11
OTU_3042	0	14	0	5	0	2	1	0	33	10	0	0	0	0	0
OTU_3186	0	0	41	0	0	0	1	4	2	5	5	6	0	0	1
OTU_3248	0	0	6	0	1	11	25	16	0	2	0	1	3	0	0
OTU_3254	0	0	0	0	0	0	0	0	0	0	11	0	26	2	26
OTU_3276	0	2	17	29	3	4	0	1	0	6	0	2	1	0	0
OTU_3875	0	0	0	0	0	13	4	0	0	0	9	7	3	15	14
OTU_3950	0	0	1	0	0	1	0	2	0	0	12	5	19	16	9
OTU_4173	0	0	0	0	0	8	10	0	23	0	4	8	4	1	7
OTU_4318	0	0	14	0	0	1	10	1	5	0	3	7	8	5	11
OTU_4390	0	0	0	0	0	0	1	0	0	0	25	2	7	20	10
OTU_4394	0	0	3	0	0	7	10	9	8	1	16	6	3	0	2
OTU_4612	0	0	0	0	0	0	0	0	0	0	0	0	4	3	58
OTU_4729	0	0	0	0	0	0	0	0	0	0	21	1	14	10	19
OTU_4732	0	0	0	0	0	0	0	0	0	0	16	18	7	13	11
OTU_4926	0	0	63	0	0	0	0	0	0	0	0	1	0	0	1
OTU_499	0	0	3	2	0	2	31	1	4	1	5	4	5	7	0
OTU_5284	0	0	0	0	0	0	0	0	0	0	3	11	8	15	28
OTU_5369	0	0	0	0	0	1	0	0	0	0	2	7	17	36	2
OTU_5383	0	0	0	60	0	0	0	0	2	3	0	0	0	0	0
OTU_5522	0	0	0	3	1	1	0	15	4	41	0	0	0	0	0
OTU_562	0	0	0	0	2	0	2	0	3	4	4	18	11	11	10
OTU_5643	0	0	56	0	0	0	1	0	1	1	0	4	0	2	0
OTU_5742	0	0	0	0	0	0	0	0	0	0	15	10	8	23	9
OTU_5827	0	0	0	0	62	0	0	0	0	0	0	3	0	0	0
OTU_5828	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0
OTU_5851	0	0	0	0	0	1	0	0	62	2	0	0	0	0	0
OTU_5892	0	0	6	0	1	8	23	11	8	8	0	0	0	0	0
OTU_6199	0	0	0	0	0	28	4	1	0	0	0	4	7	18	3
OTU_6204	0	0	0	17	0	2	10	3	17	1	1	2	6	3	3
OTU_6402	0	0	0	0	0	4	17	8	23	13	0	0	0	0	0
OTU_6508	0	0	62	2	0	0	0	0	0	1	0	0	0	0	0
OTU_6518	0	0	0	0	0	5	11	9	15	0	0	21	0	3	1
OTU_6884	0	0	0	0	0	0	0	0	15	50	0	0	0	0	0
OTU_6990	0	0	37	0	0	3	6	3	14	0	0	2	0	0	0
OTU_7106	0	0	0	0	0	0	0	0	0	0	20	1	13	0	31
OTU_7371	0	0	1	0	0	0	1	0	0	0	7	2	8	13	33
OTU_8028	0	28	24	0	3	0	2	1	5	1	0	1	0	0	0
OTU_8301	0	0	3	0	0	0	0	0	42	0	9	0	0	0	11
OTU_8787	0	0	11	0	3	15	10	7	19	0	0	0	0	0	0
OTU_9554	0	0	0	0	0	6	8	49	2	0	0	0	0	0	0
OTU_9802	0	0	4	2	1	21	12	7	3	1	7	2	2	0	3
OTU_9803	0	0	0	0	0	27	9	6	13	0	0	2	5	3	0
OTU_10124	0	23	0	6	0	0	0	3	0	32	0	0	0	0	0
OTU_10443	0	0	0	0	46	3	0	0	0	0	0	11	4	0	0
OTU_10475	0	0	0	0	0	0	0	0	0	0	0	1	0	0	63
OTU_11030	0	0	0	0	18	0	3	43	0	0	0	0	0	0	0
OTU_11527	0	0	61	0	0	3	0	0	0	0	0	0	0	0	0
OTU_11599	0	0	0	0	0	0	0	1	2	61	0	0	0	0	0
OTU_12013	0	0	0	0	0	3	14	2	36	1	0	2	4	1	1
OTU_1218	0	6	11	2	0	18	12	3	6	5	0	1	0	0	0
OTU_1226	0	0	17	0	20	5	2	11	0	2	0	5	0	2	0
OTU_1376	0	0	4	11	0	2	3	11	7	10	0	4	4	3	5
OTU_14657	0	0	0	0	0	55	0	2	0	0	2	0	1	1	3
OTU_1896	0	0	23	0	4	3	7	26	0	1	0	0	0	0	0
OTU_2282	0	0	0	0	0	1	0	0	9	0	10	9	7	5	23
OTU_2385	0	0	0	54	0	0	1	0	3	6	0	0	0	0	0
OTU_2558	0	0	0	0	0	2	0	0	0	0	18	12	9	6	17
OTU_2618	0	0	26	0	0	0	0	0	0	0	5	1	2	6	24
OTU_2798	0	0	8	0	0	4	7	12	14	7	3	4	0	3	2
OTU_2894	0	0	9	0	0	0	0	0	1	1	23	9	7	5	9
OTU_2914	0	0	0	0	0	0	4	1	0	0	2	9	32	16	0
OTU_3089	0	0	0	0	0	5	0	0	5	1	0	46	6	0	1
OTU_3264	0	0	0	0	0	0	0	0	0	0	31	0	3	6	24
OTU_3310	0	0	1	3	0	0	1	1	2	0	11	6	14	10	15
OTU_3510	0	0	8	0	0	24	3	2	0	0	3	7	7	4	6
OTU_3897	0	0	11	0	1	0	3	2	2	1	10	9	18	5	2
OTU_4169	0	0	0	0	0	0	0	0	0	0	10	1	13	5	35
OTU_4284	0	0	0	0	0	0	0	0	0	0	8	1	32	18	5
OTU_4399	0	2	3	0	0	2	9	17	2	29	0	0	0	0	0
OTU_4626	0	6	0	0	0	0	0	1	1	56	0	0	0	0	0
OTU_4690	0	0	0	0	0	0	0	0	0	0	14	2	12	26	10
OTU_4710	0	1	7	4	0	12	14	3	20	0	3	0	0	0	0
OTU_4866	0	0	0	0	0	0	0	0	0	0	7	7	41	4	5
OTU_4870	0	0	0	0	0	0	0	0	0	0	23	4	1	8	28
OTU_5130	0	0	27	0	0	6	12	1	6	0	1	4	2	5	0
OTU_5142	0	0	6	0	0	0	0	0	5	0	6	10	10	13	14
OTU_5156	0	0	0	0	1	4	0	0	2	0	6	3	21	10	17
OTU_519	5	14	0	0	18	2	0	2	0	0	0	8	0	0	15
OTU_5332	0	0	0	0	0	1	19	0	21	0	1	8	2	9	3
OTU_5670	0	0	0	0	28	7	2	1	1	25	0	0	0	0	0
OTU_5923	0	0	0	0	0	0	0	0	0	0	10	0	1	1	52
OTU_6014	0	15	0	0	0	0	0	0	0	0	16	5	5	5	18
OTU_6031	0	0	13	0	0	2	9	1	8	31	0	0	0	0	0
OTU_6082	0	1	38	0	0	7	10	3	3	2	0	0	0	0	0
OTU_6084	0	0	11	0	0	17	27	5	4	0	0	0	0	0	0
OTU_6102	0	0	0	0	0	0	0	0	0	0	14	8	28	4	10
OTU_6670	0	0	0	0	62	2	0	0	0	0	0	0	0	0	0
OTU_6753	0	5	3	14	0	6	3	8	4	15	0	6	0	0	0
OTU_6931	0	0	0	0	0	18	29	14	2	0	0	0	1	0	0
OTU_7023	0	7	0	0	0	5	3	3	5	1	4	9	5	18	4
OTU_7176	0	0	0	1	0	1	0	0	8	47	2	2	1	0	2
OTU_754	0	16	0	3	0	0	10	10	3	19	2	1	0	0	0
OTU_7706	0	1	4	0	0	3	15	18	3	4	0	1	6	6	3
OTU_7770	0	0	0	28	0	2	1	6	4	14	5	1	0	3	0
OTU_7792	0	0	0	0	0	2	3	26	2	31	0	0	0	0	0
OTU_8110	0	2	17	5	38	0	1	1	0	0	0	0	0	0	0
OTU_8303	0	0	0	55	0	0	0	0	0	9	0	0	0	0	0
OTU_8843	0	0	0	2	0	0	0	0	4	0	2	17	3	12	24
OTU_9119	0	37	3	7	13	0	0	2	1	1	0	0	0	0	0
OTU_929	0	0	1	6	0	3	15	26	5	7	0	0	0	1	0
OTU_9821	0	0	0	0	0	0	6	9	48	0	0	0	0	1	0
OTU_9943	0	0	11	0	0	9	44	0	0	0	0	0	0	0	0
OTU_10095	0	5	9	0	1	0	4	3	31	6	0	1	3	0	0
OTU_11614	0	9	0	21	0	0	2	4	1	20	1	3	0	0	2
OTU_12689	0	0	7	0	0	7	0	0	0	0	12	5	14	6	12
OTU_13201	0	0	3	0	0	23	10	21	6	0	0	0	0	0	0
OTU_1321	0	0	0	0	0	0	3	58	1	1	0	0	0	0	0
OTU_13709	0	0	1	0	0	2	0	0	26	34	0	0	0	0	0
OTU_14337	0	0	0	38	6	2	4	1	5	1	0	1	0	5	0
OTU_1487	0	0	0	0	0	7	0	0	0	0	3	3	31	0	19
OTU_1730	0	0	0	0	0	26	0	2	0	0	3	7	9	12	4
OTU_1765	0	0	0	0	0	1	1	37	3	11	0	3	1	4	2
OTU_1832	0	0	0	0	0	0	0	0	0	0	3	28	27	5	0
OTU_2000	0	6	28	0	0	20	3	0	2	4	0	0	0	0	0
OTU_2002	0	0	0	0	0	0	0	0	0	0	22	0	14	0	27
OTU_2215	18	19	0	0	0	4	0	1	0	1	4	0	16	0	0
OTU_2414	0	3	13	0	4	0	8	10	8	17	0	0	0	0	0
OTU_2754	0	0	0	0	0	1	5	1	15	0	7	26	2	3	3
OTU_2812	0	0	0	0	0	0	0	0	2	0	16	4	6	7	28
OTU_3057	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3132	0	0	0	0	0	1	4	0	0	0	10	8	11	25	4
OTU_3358	0	0	14	0	0	3	7	9	16	0	0	0	1	9	4
OTU_3440	0	0	0	0	0	0	0	0	0	0	13	10	25	11	4
OTU_3512	0	0	3	0	0	36	1	0	0	0	10	3	4	1	5
OTU_3576	0	0	1	0	0	16	1	39	3	0	0	2	0	1	0
OTU_3836	0	0	0	0	0	0	0	0	0	0	0	18	1	22	22
OTU_3864	0	0	0	0	0	0	0	0	0	0	6	16	3	35	3
OTU_3990	0	0	0	0	0	0	1	0	0	0	1	34	25	2	0
OTU_4004	0	0	0	0	0	35	18	8	2	0	0	0	0	0	0
OTU_4158	0	2	2	0	0	3	18	17	0	8	0	2	5	3	3
OTU_4310	0	0	0	0	0	0	0	0	0	0	13	2	3	1	44
OTU_4532	0	0	0	0	0	0	0	0	0	0	24	1	23	2	13
OTU_4762	0	0	0	0	0	0	0	0	0	0	25	3	1	7	27
OTU_4911	0	0	2	0	0	7	3	4	4	0	2	12	28	1	0
OTU_5008	0	0	0	0	0	0	0	0	0	0	17	2	4	10	30
OTU_5041	0	0	0	0	0	0	0	0	0	0	11	10	7	9	26
OTU_505	0	2	2	0	0	29	10	1	3	0	4	6	2	4	0
OTU_5347	0	0	0	0	0	0	0	0	2	0	6	13	11	23	8
OTU_5548	0	0	0	0	0	0	0	0	0	0	14	8	10	15	16
OTU_5771	0	3	5	6	1	0	2	5	5	36	0	0	0	0	0
OTU_5821	0	0	0	0	0	3	0	1	0	0	14	6	10	22	7
OTU_5857	0	0	0	0	8	0	5	3	1	44	2	0	0	0	0
OTU_5882	0	0	0	0	14	34	8	7	0	0	0	0	0	0	0
OTU_600	0	0	1	0	2	0	6	30	3	5	3	4	5	3	1
OTU_6137	60	0	0	0	0	0	0	0	0	3	0	0	0	0	0
OTU_6379	0	0	0	0	0	3	0	2	7	0	17	1	12	19	2
OTU_6693	0	0	13	3	0	3	0	2	16	19	0	0	2	4	1
OTU_6734	0	0	0	0	0	0	0	0	0	0	12	4	5	41	1
OTU_6816	0	3	3	23	20	3	2	3	0	0	2	0	0	1	3
OTU_6871	0	0	0	0	0	29	6	0	3	0	3	15	2	4	1
OTU_6927	0	0	1	0	0	1	10	14	7	21	2	4	3	0	0
OTU_7199	0	22	0	39	0	0	2	0	0	0	0	0	0	0	0
OTU_7330	0	0	0	0	3	23	17	7	0	0	3	1	7	2	0
OTU_7431	0	0	0	0	0	0	0	0	0	0	27	0	1	0	35
OTU_7931	0	0	0	0	0	36	10	14	3	0	0	0	0	0	0
OTU_8103	0	0	0	0	0	2	9	1	34	17	0	0	0	0	0
OTU_8329	0	0	0	0	0	0	0	0	0	0	21	7	9	13	13
OTU_8345	0	0	0	0	0	0	0	0	0	0	6	23	2	0	32
OTU_8416	0	0	60	0	0	0	0	0	0	0	0	0	0	1	2
OTU_8548	0	0	0	0	44	0	0	0	0	19	0	0	0	0	0
OTU_9300	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0
OTU_9332	0	0	0	0	0	61	0	0	0	0	0	0	0	2	0
OTU_9347	0	0	3	0	0	0	60	0	0	0	0	0	0	0	0
OTU_1221	0	1	0	1	0	5	16	10	14	14	0	1	0	0	0
OTU_12669	0	0	0	0	0	7	43	0	1	0	2	0	7	0	2
OTU_13480	0	0	35	0	14	0	2	2	1	0	1	0	0	1	6
OTU_13618	0	0	0	0	0	0	0	0	0	0	15	7	5	4	31
OTU_13639	0	0	0	0	0	0	0	0	0	0	41	1	12	0	8
OTU_14005	0	0	0	0	0	35	20	4	3	0	0	0	0	0	0
OTU_14696	0	0	16	0	0	0	6	15	8	17	0	0	0	0	0
OTU_1644	0	0	0	0	0	4	2	32	9	14	0	1	0	0	0
OTU_2004	0	0	0	0	0	0	1	1	4	0	8	31	14	3	0
OTU_2137	0	0	0	0	7	0	1	21	2	30	0	0	0	0	1
OTU_2156	0	0	0	0	0	0	0	0	0	0	12	3	6	30	11
OTU_2287	0	0	0	0	1	5	11	6	1	2	0	31	4	1	0
OTU_2711	0	0	0	0	0	1	1	2	0	0	10	11	32	5	0
OTU_2789	0	0	0	0	0	0	0	3	10	1	2	8	3	24	11
OTU_2941	0	3	1	0	0	0	22	22	1	7	0	6	0	0	0
OTU_3565	0	0	0	0	0	0	0	0	0	0	1	7	14	36	4
OTU_3588	0	0	8	0	0	10	25	8	5	4	0	1	0	1	0
OTU_3590	0	0	3	0	0	4	2	12	0	0	1	17	11	6	6
OTU_3762	0	0	0	0	0	1	0	0	3	0	10	7	26	11	4
OTU_3963	0	1	18	1	0	12	10	1	6	11	0	2	0	0	0
OTU_4190	7	23	0	32	0	0	0	0	0	0	0	0	0	0	0
OTU_4404	0	0	0	1	2	1	1	5	30	10	1	1	0	8	2
OTU_4480	0	0	52	0	0	0	1	6	3	0	0	0	0	0	0
OTU_4913	0	0	0	0	0	0	1	0	49	0	3	1	2	5	1
OTU_4976	0	9	0	46	0	0	0	3	0	2	0	0	0	0	2
OTU_4985	0	0	0	0	0	0	0	0	0	0	30	7	6	2	17
OTU_5052	0	6	13	6	0	2	5	9	1	6	0	3	3	5	3
OTU_5078	0	0	10	0	0	16	10	7	2	0	4	2	10	1	0
OTU_5202	0	0	0	0	0	26	4	17	0	0	1	11	1	0	2
OTU_5516	0	0	0	0	0	1	0	0	0	0	2	12	25	4	18
OTU_5519	0	0	0	0	0	4	7	5	0	0	8	6	17	15	0
OTU_5535	0	0	0	0	0	0	0	0	0	0	26	0	7	2	27
OTU_5556	0	0	0	0	0	1	0	0	0	0	5	17	11	16	12
OTU_5886	35	1	19	0	0	5	0	2	0	0	0	0	0	0	0
OTU_6397	0	0	0	0	0	2	4	5	2	0	1	41	1	2	4
OTU_6498	0	0	0	0	0	0	0	0	0	0	4	6	16	29	7
OTU_6558	0	0	0	0	0	0	0	0	0	0	10	7	14	9	22
OTU_6743	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0
OTU_6873	0	0	0	0	0	0	37	4	21	0	0	0	0	0	0
OTU_7275	0	16	5	9	0	0	0	0	3	28	0	0	1	0	0
OTU_7297	0	0	0	0	0	0	0	0	0	0	9	17	19	1	16
OTU_7357	0	6	13	43	0	0	0	0	0	0	0	0	0	0	0
OTU_7460	0	0	0	0	4	17	8	4	3	0	2	8	3	1	12
OTU_7540	0	0	9	0	1	23	5	1	5	4	0	7	3	4	0
OTU_7547	0	0	0	0	0	51	5	2	0	0	0	4	0	0	0
OTU_7758	0	0	0	0	0	0	2	0	3	0	4	3	5	32	13
OTU_7906	0	0	0	0	0	0	0	0	0	0	2	0	0	4	56
OTU_8055	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0
OTU_8543	0	0	2	0	0	0	0	0	25	35	0	0	0	0	0
OTU_9564	0	0	0	0	0	52	0	2	0	0	7	1	0	0	0
OTU_960	0	0	0	0	0	0	0	0	0	0	9	5	41	7	0
OTU_9715	0	0	2	0	2	1	1	0	2	0	18	6	3	7	20
OTU_10001	0	0	1	0	0	10	18	6	0	0	2	13	2	6	3
OTU_10226	0	0	51	0	0	3	7	0	0	0	0	0	0	0	0
OTU_10348	0	0	0	19	27	1	4	0	0	0	0	3	0	4	3
OTU_10681	0	13	5	0	0	0	18	13	2	0	4	0	0	4	2
OTU_11358	0	0	20	0	18	2	2	0	4	0	2	2	10	1	0
OTU_1148	0	0	1	0	0	1	2	43	2	12	0	0	0	0	0
OTU_11610	0	0	1	0	1	1	2	2	7	2	7	7	8	9	14
OTU_13233	0	0	1	0	6	1	1	3	7	22	19	0	1	0	0
OTU_14031	0	0	2	0	0	2	9	5	0	3	9	7	5	7	12
OTU_1469	0	6	3	0	40	0	2	0	5	2	0	0	3	0	0
OTU_1943	0	3	0	0	0	3	49	6	0	0	0	0	0	0	0
OTU_1953	0	26	0	17	0	2	0	0	1	15	0	0	0	0	0
OTU_2095	0	0	0	0	19	0	0	0	0	0	1	0	4	37	0
OTU_2299	0	0	1	0	0	7	15	9	28	1	0	0	0	0	0
OTU_2343	0	0	0	0	0	2	0	0	0	0	1	12	14	31	1
OTU_2352	0	0	0	0	0	0	0	0	0	0	19	7	24	7	4
OTU_2392	0	0	1	0	0	0	0	0	0	0	10	0	19	2	29
OTU_2505	0	0	0	0	1	9	14	11	6	1	0	7	7	5	0
OTU_2506	0	17	6	0	0	3	16	2	2	5	0	8	2	0	0
OTU_2809	0	0	4	0	0	0	5	4	6	0	7	3	17	8	7
OTU_2837	0	0	0	0	0	1	2	2	0	2	4	14	20	15	1
OTU_2847	0	0	0	0	1	19	10	1	3	0	6	8	2	8	3
OTU_2882	0	0	0	0	0	1	0	0	0	0	26	1	11	15	7
OTU_3149	0	13	3	0	0	24	3	2	3	1	0	2	1	5	4
OTU_3407	0	21	3	11	15	0	3	0	0	8	0	0	0	0	0
OTU_3825	0	0	0	0	0	0	4	0	1	0	8	30	5	7	6
OTU_3874	0	0	12	0	0	9	10	20	2	2	0	6	0	0	0
OTU_4028	0	2	12	0	0	6	26	3	6	0	0	1	4	1	0
OTU_4138	0	0	0	0	0	5	1	0	4	0	6	4	25	16	0
OTU_4321	0	0	3	0	0	10	8	3	1	0	10	2	11	8	5
OTU_4341	0	0	10	0	0	11	16	5	9	0	3	1	1	5	0
OTU_4495	0	0	0	9	0	3	1	6	2	18	4	7	1	3	7
OTU_4521	0	0	30	0	0	8	4	1	18	0	0	0	0	0	0
OTU_4604	0	0	0	0	0	0	0	0	1	0	29	12	13	1	5
OTU_4775	0	22	3	0	0	2	1	2	2	5	2	9	4	7	2
OTU_4798	0	0	0	0	0	0	1	0	0	0	0	39	18	2	1
OTU_4823	0	0	4	0	6	0	4	5	2	31	3	1	0	4	1
OTU_4940	0	0	0	0	0	0	1	1	0	0	26	8	1	15	9
OTU_5075	0	0	0	0	0	0	0	0	0	0	19	7	10	5	20
OTU_5083	0	0	1	0	0	10	6	9	0	27	0	0	2	0	6
OTU_5318	0	0	0	0	0	0	0	0	0	0	15	8	10	12	16
OTU_5338	0	0	0	0	0	11	5	0	2	0	5	20	0	17	1
OTU_5377	0	0	0	0	0	0	11	5	1	0	3	17	7	14	3
OTU_5382	0	0	0	1	0	0	0	0	54	0	0	3	0	3	0
OTU_5638	0	0	0	55	0	0	1	4	1	0	0	0	0	0	0
OTU_5744	0	0	0	0	0	0	0	0	2	0	12	1	12	17	17
OTU_5986	0	0	0	0	0	0	1	1	6	38	6	4	0	4	1
OTU_6527	0	0	0	5	4	0	0	29	0	23	0	0	0	0	0
OTU_658	0	5	4	0	1	7	7	13	9	12	0	3	0	0	0
OTU_6788	0	0	0	0	0	0	0	0	0	0	14	4	8	0	35
OTU_6944	0	0	13	0	0	0	1	9	18	4	6	4	0	1	5
OTU_7163	0	0	0	0	0	2	0	0	0	0	2	25	29	3	0
OTU_7216	0	0	0	0	0	0	0	0	0	0	19	2	15	5	20
OTU_7246	0	0	0	0	0	5	12	7	16	0	8	4	8	1	0
OTU_7595	0	0	0	0	0	24	0	0	0	0	9	8	1	18	1
OTU_7699	0	11	2	0	0	12	4	7	6	9	3	1	0	3	3
OTU_817	0	0	0	0	0	3	2	1	3	1	12	8	10	14	7
OTU_8173	0	0	4	6	0	7	13	0	23	0	0	4	3	0	1
OTU_8184	0	0	0	2	7	1	0	0	11	38	0	2	0	0	0
OTU_8246	0	0	0	0	0	0	0	4	0	0	9	10	2	15	21
OTU_8282	0	0	4	0	0	32	21	1	3	0	0	0	0	0	0
OTU_8559	0	14	0	5	1	1	1	3	4	3	1	12	6	2	8
OTU_8785	0	0	22	0	0	3	10	15	0	0	0	5	0	1	5
OTU_8872	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8885	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0
OTU_9091	0	0	1	0	0	26	11	7	15	0	1	0	0	0	0
OTU_9192	0	0	0	0	2	6	14	5	0	0	1	18	12	2	1
OTU_9203	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0
OTU_9402	0	0	0	0	0	0	0	0	0	0	5	9	34	5	8
OTU_9682	0	0	0	18	28	1	1	6	4	3	0	0	0	0	0
OTU_9700	0	0	6	6	1	1	7	12	8	1	5	3	4	7	0
OTU_9952	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0
OTU_11573	0	0	4	0	4	12	13	4	3	1	0	5	6	8	0
OTU_12434	0	0	0	0	1	27	15	5	0	0	0	10	2	0	0
OTU_15169	0	0	0	0	0	0	0	0	0	0	22	6	4	10	18
OTU_1640	0	0	0	0	2	2	5	23	3	24	0	1	0	0	0
OTU_1685	0	0	0	0	0	0	0	0	0	0	8	13	12	12	15
OTU_1857	0	0	0	0	0	0	0	0	0	0	7	30	14	6	3
OTU_2846	0	0	0	0	59	0	0	0	0	0	1	0	0	0	0
OTU_3063	1	1	2	0	0	4	7	6	22	2	2	7	1	4	1
OTU_3126	0	0	0	0	0	0	0	0	0	0	3	25	12	13	7
OTU_3268	0	3	2	13	10	0	9	3	1	12	0	4	1	1	1
OTU_3360	0	9	9	0	3	4	2	11	6	16	0	0	0	0	0
OTU_3477	0	0	0	0	0	0	0	0	0	0	13	4	23	11	9
OTU_3553	0	0	0	0	0	0	0	0	0	0	17	7	25	3	8
OTU_3670	0	19	0	25	0	0	0	1	2	13	0	0	0	0	0
OTU_3949	0	0	0	55	0	1	0	2	1	1	0	0	0	0	0
OTU_4012	0	0	2	1	0	0	9	16	3	0	5	8	4	8	4
OTU_4128	0	0	0	0	0	0	0	0	0	0	14	3	3	25	15
OTU_4246	0	0	6	0	0	1	6	15	6	5	0	1	6	1	13
OTU_4354	0	1	47	8	1	0	1	0	0	1	1	0	0	0	0
OTU_4678	0	0	0	6	18	5	6	1	4	17	0	0	0	1	2
OTU_5263	0	0	9	0	0	1	6	0	7	35	0	0	1	0	1
OTU_536	0	0	4	0	7	5	12	7	2	5	3	3	3	3	6
OTU_605	0	0	0	0	58	0	2	0	0	0	0	0	0	0	0
OTU_6171	0	0	0	0	0	0	1	0	2	57	0	0	0	0	0
OTU_6501	0	0	0	0	0	0	0	0	0	0	23	4	13	12	8
OTU_6536	55	0	0	0	0	0	0	0	0	0	0	0	3	2	0
OTU_672	49	0	0	0	9	0	0	0	2	0	0	0	0	0	0
OTU_6771	0	0	0	59	0	0	0	0	1	0	0	0	0	0	0
OTU_6833	0	0	0	0	0	0	0	3	0	0	1	6	13	15	22
OTU_7170	0	0	4	0	4	9	6	12	12	13	0	0	0	0	0
OTU_7180	0	0	0	0	0	2	0	0	0	0	6	0	0	0	52
OTU_7374	0	0	0	0	0	1	0	0	0	0	32	6	5	0	16
OTU_7606	0	1	0	0	54	2	2	1	0	0	0	0	0	0	0
OTU_7639	0	0	2	0	0	3	1	2	5	1	4	7	2	9	24
OTU_7727	0	0	9	0	0	0	0	6	2	0	3	7	4	28	1
OTU_7951	0	0	0	0	0	0	5	0	6	43	6	0	0	0	0
OTU_8338	0	0	0	0	0	0	0	0	0	0	8	0	4	4	44
OTU_8381	0	0	0	0	0	0	2	0	2	55	0	0	0	0	1
OTU_8439	0	0	0	0	0	34	2	6	9	0	2	1	2	4	0
OTU_8755	0	0	0	0	0	0	0	0	0	0	9	2	36	0	13
OTU_938	0	4	2	0	1	0	4	34	0	15	0	0	0	0	0
OTU_9646	0	0	0	0	0	0	0	6	1	1	21	5	6	13	7
OTU_10053	0	25	0	34	0	0	0	0	0	0	0	0	0	0	0
OTU_10098	0	0	0	47	0	0	0	12	0	0	0	0	0	0	0
OTU_10714	0	18	0	25	0	2	1	1	7	4	0	0	0	1	0
OTU_10925	0	0	0	0	0	0	0	0	0	0	7	10	6	5	31
OTU_11239	0	0	0	0	0	0	0	0	0	0	9	0	11	6	33
OTU_1133	0	0	0	0	0	0	0	0	0	0	0	0	10	1	48
OTU_11408	0	0	2	41	0	0	1	3	0	3	0	1	3	2	3
OTU_12870	0	0	0	0	0	2	0	0	0	0	1	0	27	17	12
OTU_14620	0	1	58	0	0	0	0	0	0	0	0	0	0	0	0
OTU_15009	0	0	0	0	0	38	0	0	0	0	15	2	0	3	1
OTU_1874	0	0	0	0	0	0	0	0	1	0	11	8	9	2	28
OTU_2068	0	0	0	0	1	0	35	5	10	8	0	0	0	0	0
OTU_2245	0	3	0	21	13	0	2	0	1	18	0	1	0	0	0
OTU_2368	0	0	9	0	0	1	1	0	2	0	16	9	5	16	0
OTU_2427	19	10	0	24	6	0	0	0	0	0	0	0	0	0	0
OTU_3058	0	0	0	0	44	6	4	3	0	0	1	0	1	0	0
OTU_3096	0	0	7	0	0	0	2	2	0	0	8	11	13	10	6
OTU_3170	0	0	3	1	0	5	7	1	1	0	1	17	19	4	0
OTU_3333	0	0	0	0	0	6	0	0	0	0	26	5	2	7	13
OTU_3431	0	0	0	0	0	0	0	0	0	0	9	16	14	19	1
OTU_3495	0	5	0	0	49	0	1	1	0	3	0	0	0	0	0
OTU_3551	0	0	44	0	0	2	0	0	0	0	0	4	0	9	0
OTU_3691	0	0	6	0	0	0	5	2	1	0	6	0	0	27	12
OTU_3727	0	0	12	0	0	38	2	0	1	0	0	5	1	0	0
OTU_3728	0	0	5	0	0	2	21	8	0	0	2	6	6	9	0
OTU_3732	0	0	0	0	0	0	3	5	0	0	16	0	11	21	3
OTU_4011	0	0	5	34	0	0	1	4	10	2	0	3	0	0	0
OTU_4125	0	0	0	0	0	0	0	2	0	0	15	2	7	9	24
OTU_4279	0	0	0	0	58	0	0	0	0	0	0	0	1	0	0
OTU_4351	0	0	0	2	0	0	1	0	29	3	4	2	8	3	7
OTU_462	0	0	24	0	7	4	1	0	0	0	0	4	3	15	1
OTU_4630	0	0	0	0	0	0	0	0	0	0	6	5	17	7	24
OTU_4769	0	0	5	0	1	6	5	2	9	24	0	1	5	0	1
OTU_4780	0	0	0	0	0	10	37	10	2	0	0	0	0	0	0
OTU_4959	0	0	0	0	0	0	0	1	0	0	8	3	5	19	23
OTU_5211	0	13	0	23	0	0	0	0	1	21	0	1	0	0	0
OTU_5700	0	7	0	0	52	0	0	0	0	0	0	0	0	0	0
OTU_594	0	0	52	0	1	1	0	1	2	0	1	0	1	0	0
OTU_5983	0	0	0	34	11	0	3	3	0	1	0	5	0	1	1
OTU_6265	0	0	6	0	6	7	17	4	13	6	0	0	0	0	0
