"","Kingdom","Phylum","Class","Order","Famiy","Genus","N Patients","N Control","","BC-OA in Patients","BC-OA in Control","Beta","SE","P","FDR","FC","FC lower","FC upper","NA"
"k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068|g__GGB9760","Bacteria","Firmicutes","CFGB3068","OFGB3068","FGB3068","GGB9760",5,3,"",0.00344638669717453,0.000355661321533886,-9.05546063060624,2.01372181933281,6.89586446341396e-06,0.00157956969452015,0.000116751754860142,2.25501170012283e-06,0.00604474569341709,""
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium",6,4,"",0.00288767707671746,0.00133068929400812,1.33652123548937,3.7815049769787,0.723761354696954,0.86032010086619,3.80578103423722,0.00229912073242431,6299.786294949,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus_Cibionibacter","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Candidatus Cibionibacter",5,3,"",0.00273218993534522,0.000574548430903973,-1.12199704322396,3.25415746182202,0.730253154377825,0.863961478418836,0.325628849968717,0.000553003809103013,191.742165580992,""
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella",7,4,"",0.0168752372935609,0.00104548368288445,1.19799717417454,3.54345397868565,0.735297318715,0.864668058917312,3.31347396138799,0.00319179244805006,3439.79436993268,""
"k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936|f__FGB14936|g__GGB3256","Bacteria","Firmicutes","CFGB14936","OFGB14936","FGB14936","GGB3256",2,1,"",0.000253034682877805,9.81692779017607e-05,0.446882602542819,1.38199409272403,0.746422075083503,0.864668058917312,1.56343074571824,0.104160133462959,23.4669025028307,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Cellulomonadaceae|g__Cellulomonas","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Cellulomonadaceae","Cellulomonas",2,0,"",6.69599616626425e-05,2.7091970264003e-05,-0.250880782985699,0.778326016699451,0.747199829355913,0.864668058917312,0.778115130592272,0.169246376645613,3.57740690499044,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__GGB58233","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","GGB58233",3,2,"",0.000103584904047045,0.000108497092195038,0.599039399429553,1.8707196564877,0.748802555306328,0.864668058917312,1.82036931244552,0.0465340429737359,71.2111869489541,""
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",1,2,"",6.73581009990751e-05,0.000290291633094979,-0.532541356560034,1.68035397136583,0.751302691072216,0.864668058917312,0.587111013718842,0.0217958620715174,15.8148983187234,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB33586","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","GGB33586",2,0,"",6.40099783992646e-05,2.7091970264003e-05,-0.23210750384204,0.733817751510938,0.751773829606689,0.864668058917312,0.792860883133803,0.188173607746886,3.34068304014921,""
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Catenibacterium",3,2,"",0.000506044838898808,0.000269630156304901,-1.08370136902533,3.47089008909131,0.754868940324638,0.864668058917312,0.338340880669601,0.000375727675735049,304.674259910002,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Microbacterium",2,0,"",6.56836164461661e-05,2.7091970264003e-05,-0.242861896149323,0.799117588625873,0.761194485693633,0.867968372827128,0.784379832167006,0.163796189680747,3.75620289036954,""
"k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226|f__FGB1226|g__GGB58485","Bacteria","Firmicutes","CFGB1226","OFGB1226","FGB1226","GGB58485",0,2,"",1.5579749128273e-05,0.000116290683644709,0.290829075434561,0.985706590706945,0.767958516319686,0.871704299412213,1.33753594666029,0.193755961468753,9.23327672112397,""
"k__Bacteria|p__Fusobacteria|c__CFGB76375|o__OFGB76375|f__FGB76375|g__GGB4386","Bacteria","Fusobacteria","CFGB76375","OFGB76375","FGB76375","GGB4386",1,1,"",4.50582489407452e-05,9.74061013390034e-05,1.04833655721024,3.60800705151145,0.771389122098902,0.871704299412213,2.85290153034408,0.00242152623072311,3361.12284829935,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter",6,8,"",0.00558281073930743,0.119963127103686,-0.767910995477954,2.87644025142387,0.789495540823031,0.88818248342591,0.463981315689158,0.00165205735119082,130.309435779252,""
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB9424","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","GGB9424",1,1,"",4.4184419476994e-05,5.07219101401358e-05,-0.536751005680332,2.08750173835776,0.797081494573294,0.89273127392209,0.584644677204284,0.00977180175476069,34.9791581083577,""
"k__Bacteria|p__Firmicutes|c__CFGB32970|o__OFGB32970|f__FGB32970|g__GGB51884","Bacteria","Firmicutes","CFGB32970","OFGB32970","FGB32970","GGB51884",0,2,"",1.5579749128273e-05,0.000191728201898454,0.296134035740144,1.1952459358801,0.804320168486104,0.896547923674945,1.34465037596226,0.129180064563271,13.9966227737087,""
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella",5,2,"",0.00405753172253813,0.00016816824924035,-0.72142820281745,2.96253355920065,0.807604677278621,0.896547923674945,0.486057571210051,0.00146193558395033,161.602169838586,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Rothia",5,2,"",0.0013977404641437,0.000135954891350354,-0.738877268483224,3.23912719934006,0.819560735018596,0.905830286073185,0.477649887170914,0.00083542784159868,273.092903245597,""
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila",8,9,"",0.162180837812376,0.549465124466219,-0.710746729969617,3.28473727013996,0.828692674813073,0.911923816824866,0.491277209042011,0.000785781511440461,307.150642526151,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Dorea",8,9,"",0.134961226057858,0.647408799048505,-0.535179429912112,2.54275848797176,0.833299313582553,0.912454348378687,0.585564212982811,0.0040099116659938,85.5094765388553,""
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",3,1,"",0.000126062376859675,5.62866286468684e-05,0.196409688356771,0.972672557899945,0.839973121347007,0.912454348378687,1.21702540435078,0.180860633470979,8.18945951039614,""
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio",6,7,"",0.0130398920780643,0.106498892390403,0.793048044567877,4.01987303345568,0.843606970981478,0.912454348378687,2.21012272258176,0.000836818714110202,5837.15727971749,""
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",2,0,"",5.12235103872538e-05,2.7091970264003e-05,-0.139257349761714,0.727352458201253,0.848166887625291,0.912454348378687,0.870004104297142,0.209115579515516,3.61956360806542,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Fusicatenibacter","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Fusicatenibacter",6,8,"",0.0107123122340151,0.105784625073616,0.490425546688829,2.61920276702731,0.851470661746318,0.912454348378687,1.63301099453693,0.00962672805554705,277.012593779658,""
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella",3,5,"",0.000480634465870334,0.0041987726857715,0.834940061923422,4.58090352768319,0.85537447665689,0.912454348378687,2.30467590630611,0.000290580226648259,18279.0518624565,""
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae|g__Coprobacillus","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Coprobacillus",0,3,"",1.5579749128273e-05,0.000275538684330376,0.359960390478702,1.98000005622163,0.855741119269437,0.912454348378687,1.43327264219274,0.0295745903714009,69.4606566332924,""
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Allisonella",2,2,"",8.59552767782208e-05,0.000172513759346013,-0.504617424133299,2.85781300653841,0.859842482052069,0.912454348378687,0.603736506267085,0.00222960482675021,163.480884426889,""
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus",2,0,"",4.93541083269521e-05,2.7091970264003e-05,-0.123766681963917,0.723807317079225,0.864228512114647,0.912454348378687,0.88358597337862,0.21386099663578,3.65061504731071,""
"k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047|f__FGB3047|g__GGB52130","Bacteria","Firmicutes","CFGB3047","OFGB3047","FGB3047","GGB52130",3,1,"",0.000227779035752785,6.89169860063994e-05,-0.415532822290846,2.46891223089619,0.866342528275673,0.912454348378687,0.659988530402402,0.00522343109642669,83.3905630650901,""
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter",3,3,"",0.000160826707406668,0.000510406972366299,0.435882050359235,2.64293365655195,0.869004141313035,0.912454348378687,1.54632639534978,0.00870142984798459,274.796827961473,""
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania",8,7,"",0.0319163464579624,0.0209135170255706,0.463076802761205,2.91190035351614,0.873645971371853,0.913521928571399,1.58895537388999,0.00527778967995769,478.378134278763,""
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella",3,1,"",0.000134516921608515,7.06873022291029e-05,0.395698460879269,2.72413027015905,0.884508117144229,0.921058039340272,1.48542133736902,0.00712891044759131,309.511048810649,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas",6,8,"",0.00593851821686223,0.0650768600844894,-0.395269076703696,3.06355330707186,0.897339388003716,0.930574180152002,0.673498792030356,0.00166183384816769,272.951849769145,""
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister",3,3,"",0.000227187231649885,0.00120314354748395,0.530735555852142,4.35307258795132,0.902960748501768,0.932566018944448,1.70018242793047,0.000335031260176679,8627.91217368549,""
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Raoultibacter","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Raoultibacter",3,2,"",0.000177586035524797,0.000138484666228127,-0.287237992775227,2.57159951437522,0.911064261881548,0.936424690011116,0.750333133720898,0.00485584064945058,115.94281036037,""
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB4684","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","GGB4684",0,2,"",1.5579749128273e-05,0.000184190058719251,0.132693356778296,1.23055503184196,0.914128864058471,0.936424690011116,1.14189978880885,0.102366629258979,12.7378925839479,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella",3,6,"",0.000328274210288014,0.0185032462285409,0.218011419704978,2.92405157809497,0.940566397069431,0.955820932933707,1.24360126909758,0.00403346418359089,383.42825078076,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Culturomica","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Culturomica",2,2,"",8.55545005775436e-05,0.000130369996443004,0.225573702870258,3.02970715699658,0.94064917209349,0.955820932933707,1.25304138345966,0.00330389790295659,475.230395968784,""
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__GGB79734","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","GGB79734",1,3,"",5.17875844952246e-05,0.000451557561955538,0.125650159353213,2.96503811613092,0.966197964503223,0.977838903834587,1.13388541967907,0.00339373379833941,378.844134914145,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospira","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospira",5,6,"",0.0019472726645061,0.0477567746620933,0.0895932718548534,3.58314591267989,0.980051708188746,0.98575250366178,1.09372934271948,0.000974707904481963,1227.28447119894,""
"k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__GGB80055","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","GGB80055",1,1,"",4.37731575357977e-05,6.36800122448501e-05,0.0541106895657708,2.3773253331874,0.981840787377408,0.98575250366178,1.0556014397536,0.00999723260805913,111.460285390539,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruthenibacterium","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruthenibacterium",10,10,"",0.755266383964716,0.555963538681693,0.00924940237130356,1.14139548542081,0.993534340487244,0.993534340487244,1.00929231028223,0.107756012719558,9.45349537242061,""
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__GGB4248","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","GGB4248",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB74403","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB74403",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae|g__GGB80108","Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","GGB80108",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107|f__FGB12107|g__GGB34797","Bacteria","Actinobacteria","CFGB12107","OFGB12107","FGB12107","GGB34797",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB2932|o__OFGB2932|f__FGB2932|g__GGB9261","Bacteria","Firmicutes","CFGB2932","OFGB2932","FGB2932","GGB9261",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Lentisphaerae|c__CFGB2345|o__OFGB2345|f__FGB2345|g__GGB6470","Bacteria","Lentisphaerae","CFGB2345","OFGB2345","FGB2345","GGB6470",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Bacilliculturomica","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII Incertae Sedis","Bacilliculturomica",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227|g__GGB3000","Bacteria","Firmicutes","CFGB1227","OFGB1227","FGB1227","GGB3000",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1538|o__OFGB1538|f__FGB1538|g__GGB3892","Bacteria","Firmicutes","CFGB1538","OFGB1538","FGB1538","GGB3892",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3537","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3537",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9495","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9495",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__CFGB642|o__OFGB642|f__FGB642|g__GGB1582","Bacteria","Bacteroidetes","CFGB642","OFGB642","FGB642","GGB1582",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__CFGB59744|o__OFGB59744|f__FGB59744|g__GGB59744","Bacteria","Bacteroidetes","CFGB59744","OFGB59744","FGB59744","GGB59744",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalicoccus","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalicoccus",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Angelakisella","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Angelakisella",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Lawsonellaceae|g__Lawsonella","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Lawsonellaceae","Lawsonella",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227|g__GGB3005","Bacteria","Firmicutes","CFGB1227","OFGB1227","FGB1227","GGB3005",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB76388|o__OFGB76388|f__FGB76388|g__GGB9186","Bacteria","Firmicutes","CFGB76388","OFGB76388","FGB76388","GGB9186",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Parvimonas",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__GGB3524","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","GGB3524",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Luxibacter","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Luxibacter",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__CFGB2987|o__OFGB2987|f__FGB2987|g__GGB9359","Bacteria","Actinobacteria","CFGB2987","OFGB2987","FGB2987","GGB9359",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB3528","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","GGB3528",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__GGB9759","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","GGB9759",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1422|o__OFGB1422|f__FGB1422|g__GGB3486","Bacteria","Firmicutes","CFGB1422","OFGB1422","FGB1422","GGB3486",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1473|o__OFGB1473|f__FGB1473|g__GGB3730","Bacteria","Firmicutes","CFGB1473","OFGB1473","FGB1473","GGB3730",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB4559|o__OFGB4559|f__FGB4559|g__GGB2983","Bacteria","Firmicutes","CFGB4559","OFGB4559","FGB4559","GGB2983",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__CFGB2429|o__OFGB2429|f__FGB2429|g__GGB80073","Bacteria","Proteobacteria","CFGB2429","OFGB2429","FGB2429","GGB80073",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1215","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","GGB1215",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Amedibacterium","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacterium",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__GGB32387","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII Incertae Sedis","GGB32387",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__GGB2980","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII Incertae Sedis","GGB2980",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB33085","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","GGB33085",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1146","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","GGB1146",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9527","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","GGB9527",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB72926|o__OFGB72926|f__FGB72926|g__GGB3614","Bacteria","Firmicutes","CFGB72926","OFGB72926","FGB72926","GGB3614",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB3189","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB3189",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB31455|o__OFGB31455|f__FGB31455|g__GGB4700","Bacteria","Firmicutes","CFGB31455","OFGB31455","FGB31455","GGB4700",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB9061","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","GGB9061",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB58251|o__OFGB58251|f__FGB58251|g__GGB9762","Bacteria","Firmicutes","CFGB58251","OFGB58251","FGB58251","GGB9762",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB2949|o__OFGB2949|f__FGB2949|g__GGB9290","Bacteria","Firmicutes","CFGB2949","OFGB2949","FGB2949","GGB9290",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB9120|o__OFGB9120|f__FGB9120|g__GGB4642","Bacteria","Firmicutes","CFGB9120","OFGB9120","FGB9120","GGB4642",0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
