"","S1","S2","S3","S4","S5","S6","S7","S9","S10","S11","S12","S13","S15","S16","S17","S18","S19","S20","S22","S23","S24","S25","S26","S27","S28","S30","S34","S35","S36","S37","S61","S62","S63","S65","S85","S86","S87","S88","S89","S112","S113","S114","S161","S162","S164","S165","S166","S167","S168","S169","S170","S171","S172","S173","S174","S175","S176","S177","S179","S182","S187","S188","S191","S194","S196","S197","S198","S201","S202","S203","S204","S205","S206","S207","S208","S209","S210","S213","S214","S215","S216","S217","S218","S219","S220","S221","S222","S223","S224","S225"
"OTU_7092",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_1",164,193,116,72,53,41,37,145,74,36,31,38,69,70,89,112,37,89,100,63,38,46,58,85,62,100,20,27,32,38,203,615,911,2939,1996,293,2683,350,3854,49,62,74,3,11,7,5,8,2,8,5,5,5,1,4,4,3,5,3,4,5,24,51,72,5,5,13,5,36,26,13,15,5,3,11,12,4,4,6,10,8,0,10,84,15,14,15,12,5,21,27
"OTU_2268",5,1,0,1,2,6,1,1,1,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,2,1,0,1,0,0,8,3,3,2,0,1,0,2,1,3,0,2,0,1,1,1,5,8,0,1,0,3,0,0,0,0,12,22,1,0,0,0,2,1,1,6,1,1,0,0,0,1,2,0,17,0,19,1,3,2,9,0,0,2,0,0,3,5
"OTU_6141",0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_3095",3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,15,2,1,0,0,0,0,0,1,4,2,1,1,0,0,0,1,0,2,0,0,0,0,0,1,0,1,1,0,1,0,1
"OTU_296",2,3,1,2,5,5,2,1,9,0,2,0,4,5,1,11,5,2,3,1,1,2,3,2,1,1,3,1,2,1,2,2,3,4,1,1,0,3,4,8,3,5,4,6,6,8,4,6,1,13,1,0,1,1,0,1,0,0,2,7,91,101,27,0,0,0,3,0,1,2,5,0,2,1,1,0,0,0,9,2,0,1,3,1,0,0,0,2,2,3
"OTU_2883",0,0,0,1,2,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,1,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_3998",1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,1,0,1,2,1,2,1,0,0,2,1,1,2,1,1,2,1,2,0,1,4,1,1,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,3,2,1,0,0,0,0,2,0,0,0,0,0,6,0,1,5,0,2,1,1
"OTU_1515",6,8,5,2,3,2,5,4,1,1,1,3,4,4,2,6,4,9,4,3,2,4,42,5,3,1,2,0,1,27,2,1,2,13,0,5,3,3,1,3,3,4,0,0,0,0,0,9,4,1,0,0,1,1,0,0,0,0,12,4,0,1,2,0,0,1,2,2,2,0,0,1,1,0,2,1,3,2,0,1,0,2,1,1,2,1,0,1,3,0
"OTU_6339",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU_13667",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1952",1,1,0,1,1,0,1,1,0,1,0,0,5,3,5,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,3,3,2,1,1,0,0,0,2,2,2,1,0,1,2,4,3,19,0,1,0,0,4,10,11,2,19,0,3,17,10,8,10,2,7,8,2,28,13,5
"OTU_3897",0,0,1,0,1,1,0,4,0,0,1,0,1,0,2,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,2,0,2,0,2,0,0,1,1,2,2,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,3,15,1,0,1,0,0,1,0,0,0,4,0,0,0,0,0,10,0,0,3,0,0,0,0
"OTU_7112",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_791",1,1,1,1,1,0,1,2,1,0,0,2,1,3,1,1,1,1,0,1,0,1,0,0,4,1,1,0,0,0,3,2,5,4,2,3,0,0,1,1,2,1,1,1,0,0,0,1,1,2,0,1,0,0,1,0,0,0,0,2,1,0,0,0,2,1,2,2,5,10,0,0,0,1,0,1,1,1,4,0,0,10,3,1,3,4,3,4,0,4
"OTU_5644",0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
"OTU_1628",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,2,8,2,1,3,13,0,2,0,0,1,0,1,0,0,0,1,3,5,0,4,0,1,6,3,0,1,1,10,17,14,1,1,0,0,0,0,9,6,0,0,2,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,1
