	Site	Sitetre	Treatment	Soiltype	ComTreament	Compartments	SiteCom	Maize.variety	Growing.day
SEJXNPK5	JX	JXNPK	NPK	RS	SEJXNPK	SE	JXSE	YD13	77d
SEJXNPK6	JX	JXNPK	NPK	RS	SEJXNPK	SE	JXSE	YD13	77d
SEJXNPK7	JX	JXNPK	NPK	RS	SEJXNPK	SE	JXSE	YD13	77d
SEJXNPK8	JX	JXNPK	NPK	RS	SEJXNPK	SE	JXSE	YD13	77d
SEJXNPK9	JX	JXNPK	NPK	RS	SEJXNPK	SE	JXSE	YD13	77d
SEJXNPKM1	JX	JXNPKM	NPKM	RS	SEJXNPKM	SE	JXSE	YD13	77d
SEJXNPKM2	JX	JXNPKM	NPKM	RS	SEJXNPKM	SE	JXSE	YD13	77d
SEJXNPKM3	JX	JXNPKM	NPKM	RS	SEJXNPKM	SE	JXSE	YD13	77d
SEJXNPKM4	JX	JXNPKM	NPKM	RS	SEJXNPKM	SE	JXSE	YD13	77d
SEJXNPKM5	JX	JXNPKM	NPKM	RS	SEJXNPKM	SE	JXSE	YD13	77d
SEJXNPKM8	JX	JXNPKM	NPKM	RS	SEJXNPKM	SE	JXSE	YD13	77d
SEJXNPKM9	JX	JXNPKM	NPKM	RS	SEJXNPKM	SE	JXSE	YD13	77d
SEHLCK1	HL	HLCK	CK	BS	SEHLCK	SE	HLSE	KW6	102d
SEHLCK2	HL	HLCK	CK	BS	SEHLCK	SE	HLSE	KW6	102d
SEHLCK3	HL	HLCK	CK	BS	SEHLCK	SE	HLSE	KW6	102d
SEHLNPK1	HL	HLNPK	NPK	BS	SEHLNPK	SE	HLSE	KW6	102d
SEHLNPK2	HL	HLNPK	NPK	BS	SEHLNPK	SE	HLSE	KW6	102d
SEHLNPK3	HL	HLNPK	NPK	BS	SEHLNPK	SE	HLSE	KW6	102d
SEHLNPKM1	HL	HLNPKM	NPKM	BS	SEHLNPKM	SE	HLSE	KW6	102d
SEHLNPKM2	HL	HLNPKM	NPKM	BS	SEHLNPKM	SE	HLSE	KW6	102d
