OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_2128	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Sporacetigenium	Sporacetigenium_mesophilum	6	5	4	1	2	1	3	1	2	3	0	0	7	3	6	7	3	2
ASV_991	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	Bdellovibrio_exovorus	3	0	3	2	11	0	1	0	8	3	6	1	4	2	0	7	1	4
ASV_1100	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned	0	6	0	0	3	4	2	1	0	0	4	2	8	1	1	3	15	5
ASV_1149	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Unassigned	Unassigned	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0
ASV_1172	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Unassigned	Unassigned	Unassigned	3	4	1	2	0	3	6	4	2	6	5	4	3	3	2	3	1	3
ASV_1178	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	4	2	1	0	0	1	5	2	3	5	3	1	1	1	6	8	7	5
ASV_1195	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Unassigned	Unassigned	Unassigned	5	3	0	3	0	8	8	1	6	2	1	3	0	0	4	3	4	4
ASV_1209	Bacteria	Firmicutes	Bacilli	Bacillales	Unassigned	Unassigned	Unassigned	0	8	0	2	0	1	0	1	0	0	0	2	0	4	2	35	0	0
ASV_1214	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0	7	0	8	3	9	8	2	1	1	4	2	3	1	3	1	1	1
ASV_1273	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	4	1	1	2	1	1	8	2	9	1	1	2	7	2	4	6	1	2
ASV_1281	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Unassigned	Unassigned	2	3	1	3	5	2	2	6	2	3	1	4	0	0	3	9	3	6
ASV_1289	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Unassigned	Unassigned	Unassigned	1	1	0	2	0	1	5	7	9	5	0	0	4	2	3	2	6	7
ASV_1349	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned	5	4	1	1	0	3	5	2	3	3	5	6	4	1	3	4	2	3
ASV_1352	Bacteria	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella	Gaiella_occulta	3	4	4	4	0	4	3	6	2	3	4	2	4	4	3	3	1	1
ASV_1355	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Unassigned	Unassigned	1	5	7	5	1	2	1	2	2	0	4	0	9	1	5	2	4	4
ASV_1368	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Unassigned	0	2	6	1	1	2	3	10	3	2	5	3	3	1	3	4	4	2
ASV_1377	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Unassigned	Unassigned	3	2	5	3	2	5	4	5	2	0	3	3	3	2	3	2	2	6
ASV_1409	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Unassigned	Reyranella	Reyranella_massiliensis	5	12	0	3	2	2	7	4	2	0	1	5	6	2	3	0	0	1
ASV_1415	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Byssovorax	Byssovorax_cruenta	8	5	0	1	3	6	2	3	4	3	1	6	0	5	1	6	0	1
ASV_1446	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Unassigned	Unassigned	1	0	1	3	0	2	8	1	9	5	2	5	2	1	3	6	4	2
ASV_1518	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Unassigned	Unassigned	3	0	6	11	1	2	7	2	1	1	1	2	4	3	1	7	3	0
ASV_1536	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned	2	6	3	3	1	2	3	1	3	4	2	3	4	5	4	5	1	3
ASV_1844	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Unassigned	Unassigned	3	6	0	9	0	2	3	5	5	9	0	2	5	0	3	2	0	1
ASV_2117	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Unassigned	Unassigned	3	1	2	0	3	1	2	1	3	2	5	3	2	3	4	7	8	5
ASV_2257	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amaricoccus	Unassigned	8	1	2	3	2	2	4	7	1	2	2	4	4	0	6	0	5	2
