"","from","to","r","FDR","linecolor","linesize"
"445","K00007","Species03",0,1,"negative",0
"446","K00008","Species03",0,1,"negative",0
"447","K00009","Species03",0,1,"negative",0
"448","K00010","Species03",0,1,"negative",0
"449","K00011","Species03",0,1,"negative",0
"450","K00012","Species03",0,0.881865891241918,"negative",0
"451","K00013","Species03",0,1,"negative",0
"452","K00014","Species03",0,1,"negative",0
"453","K00015","Species03",0,1,"negative",0
"454","K00016","Species03",0,1,"negative",0
"455","K00017","Species03",0,1,"negative",0
"456","K00018","Species03",0,1,"negative",0
"457","K00019","Species03",0,1,"negative",0
"458","K00020","Species03",0,1,"negative",0
"459","K00021","Species03",0,1,"negative",0
"460","K00022","Species03",0,1,"negative",0
"461","K00023","Species03",0,1,"negative",0
"462","K00024","Species03",0,1,"negative",0
"463","K00025","Species03",0,1,"negative",0
"464","K00026","Species03",0,1,"negative",0
"465","K00027","Species03",0,1,"negative",0
"466","K00028","Species03",0,1,"negative",0
"467","K00029","Species03",0,0.841583227041194,"negative",0
"468","K00030","Species03",0,1,"negative",0
"469","K00031","Species03",0,1,"negative",0
"470","K00032","Species03",0,1,"negative",0
"471","K00033","Species03",0,1,"negative",0
"472","K00034","Species03",0,1,"negative",0
"473","K00035","Species03",0,1,"negative",0
"474","K00036","Species03",0,1,"negative",0
"475","K00037","Species03",0,1,"negative",0
"476","K00038","Species03",0,1,"negative",0
"477","K00039","Species03",0,1,"negative",0
"478","Species01","Species04",0,1,"negative",0
"479","Species02","Species04",0,1,"negative",0
"480","Species03","Species04",0,1,"negative",0
"481","Species04","Species04",1,0,"positive",1
"482","Species05","Species04",0.51657247428264,0.313766918309214,"positive",0.51657247428264
"483","Species06","Species04",0,1,"negative",0
"484","Species07","Species04",0,1,"negative",0
"485","Species08","Species04",0,1,"negative",0
"486","Species09","Species04",0,1,"negative",0
"487","Species10","Species04",0.4673264996815,0.444959362221047,"positive",0.4673264996815
"488","Species11","Species04",0,1,"negative",0
"489","Species12","Species04",0,0.846059535606322,"negative",0
"490","Species13","Species04",0,1,"negative",0
"491","Species14","Species04",0,1,"negative",0
"492","Species15","Species04",0,1,"negative",0
"493","Species16","Species04",0,1,"negative",0
"494","Species17","Species04",0,1,"negative",0
"495","Species18","Species04",0.47066811744731,0.435148309899325,"positive",0.47066811744731
"496","Species19","Species04",0,1,"negative",0
"497","Species20","Species04",0,1,"negative",0
"498","Species21","Species04",0,0.786882350144567,"negative",0
"499","Species22","Species04",0.542117266966946,0.257455711889382,"positive",0.542117266966946
"500","Species23","Species04",0.568093385214008,0.204204752023418,"positive",0.568093385214008
"501","Species24","Species04",0,0.748056045281223,"negative",0
"502","Species25","Species04",0,0.984817140679965,"negative",0
"503","Species26","Species04",0,0.593333002475482,"negative",0
"504","Species27","Species04",0,1,"negative",0
"505","Species28","Species04",0,1,"negative",0
"506","Species29","Species04",0,1,"negative",0
"507","Species30","Species04",0,1,"negative",0
"508","Species31","Species04",NA,NA,NA,NA
"509","Species32","Species04",0,1,"negative",0
"510","Species33","Species04",0,1,"negative",0
"511","Species34","Species04",0,0.997367252756972,"negative",0
"512","Species35","Species04",0,1,"negative",0
"513","Species36","Species04",0,1,"negative",0
"514","Species37","Species04",0,1,"negative",0
"515","Species38","Species04",0,1,"negative",0
"516","Species39","Species04",NA,NA,NA,NA
"517","Species40","Species04",0,1,"negative",0
"518","Species41","Species04",0,1,"negative",0
"519","Species42","Species04",0,1,"negative",0
"520","Species43","Species04",0,1,"negative",0
"521","Species44","Species04",0,0.929492379385089,"negative",0
"522","Species45","Species04",0,1,"negative",0
"523","Species46","Species04",NA,NA,NA,NA
"524","Species47","Species04",0,1,"negative",0
"525","Species48","Species04",0.638132295719844,0.0860402796018859,"positive",0.638132295719844
"526","Species49","Species04",0,1,"negative",0
"527","Species50","Species04",0,1,"negative",0
"528","Species51","Species04",0.444845720893708,0.512757802128332,"positive",0.444845720893708
"529","Species52","Species04",0,0.968774716732539,"negative",0
"530","Species53","Species04",0,0.893300925795762,"negative",0
"531","Species54","Species04",0,1,"negative",0
"532","Species55","Species04",0,1,"negative",0
"533","Species56","Species04",0,0.762988359634328,"negative",0
"534","Species57","Species04",0,0.674784415268247,"negative",0
"535","Species58","Species04",0,1,"negative",0
"536","Species59","Species04",0,1,"negative",0
"537","Species60","Species04",0,1,"negative",0
"538","Species61","Species04",0,1,"negative",0
"539","Species62","Species04",NA,NA,NA,NA
"540","Species63","Species04",0,1,"negative",0
"541","Species64","Species04",0,1,"negative",0
"542","Species65","Species04",0,0.811465950645138,"negative",0
"543","Species66","Species04",0,1,"negative",0
"544","Species67","Species04",0,1,"negative",0
"545","Species68","Species04",0,0.867747116749099,"negative",0
"546","Species69","Species04",0.501718089771846,0.349893620965084,"positive",0.501718089771846
"547","Species70","Species04",0,1,"negative",0
"548","Species71","Species04",NA,NA,NA,NA
"549","Species72","Species04",0,1,"negative",0
"550","Species73","Species04",0,1,"negative",0
"551","Species74","Species04",0,1,"negative",0
"552","Species75","Species04",0,1,"negative",0
"553","Species76","Species04",0,1,"negative",0
"554","Species77","Species04",0.457789224177796,0.475065555057493,"positive",0.457789224177796
"555","Species78","Species04",0.543989555500801,0.254169157023416,"positive",0.543989555500801
"556","Species79","Species04",0,1,"negative",0
"557","Species80","Species04",0,1,"negative",0
