"","Healthy01","Healthy02","Healthy03","Healthy04","Healthy05","Healthy06","Healthy07","Healthy08","Healthy09","Healthy10","Healthy11","Healthy12","Healthy13","Healthy14","Healthy15","Healthy16","Healthy17","Healthy18","Healthy19","Healthy20","Healthy21","Healthy22","Healthy23","Healthy24","Healthy25","Healthy26","Healthy27","Healthy28","Healthy29","Healthy30","Patients01","Patients02","Patients03","Patients04","Patients05","Patients06","Patients07","Patients08","Patients09","Patients10","Patients11","Patients12","Patients13","Patients14","Patients15","Patients16","Patients17","Patients18","Patients19","Patients20","Patients21","Patients22","Patients23","Patients24","Patients25","Patients26","Patients27","Patients28","Patients29","Patients30"
"Species1030",0.0283935458919047,0.0227329142284901,0.0509998067946011,0.131350411362786,0,0.0306476183505224,0,0,0.0325575328906908,0,0,0,0,0.122137604715275,0,0,0,0.00991035866676386,0,0,0.00741957676066377,0,0.0128762833772116,0.00564580525144707,0,0.0298403966830961,0.0563639051002815,0,0,0.0114850800192851,0.00301856556999383,0.0330742771585507,0.0383358429136928,0,0.0113069594204278,0,0.00596053220899726,0,0,0.417968721945912,0,0,0,0.0793145272131242,0,0,0.0911120548411854,0.000571447112817688,0,0.0727401301895192,0,0,0.00584371967913162,0.0208153299540151,0,0.0185645967696781,0,0,0,0.0401120588989014
"Species1031",0,0,2.10382464568078,0,0.180899280854123,0,1.55741191415579,0,0,0,0.117853702339797,0.876674336613604,0.279945694167977,0,0,0,0,0,1.11989374647107,0.082883834801925,0.0319868908484551,0.0490274435348599,0.190029434379574,0.0388075408589895,0.283085098148019,0,0.168285351267609,0,0.0541423765735642,0,0,0,0,0,0,0,0,1.59827435782027,1.37439213551005,0,1.30201218932459,0,0,0,0.18453550406213,0.207961120904215,0,0,0,0,0,0,0,0,0,0,0.0171395137539743,0,0,0.139916958098997
"Species1032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261778164241783,0,0,0,0,0,0,0,0,0.0492181831372774,0,0,0,0,0,0,0,0,0,0,0,0.502414748705615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241452874583173,0,0,0,0,0,0,0,0,0,0,0,0,0.0997511825518691,0,0,0,0,0,0,0,0
"Species106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110581871859532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110457545866299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
