"","Kingdom","Phylum","Class","Order","Famiy","Genus","N Patients","N Control","","BC-OA in Patients","BC-OA in Control","Beta","SE","P","FDR","FC","FC lower","FC upper","NA"
"k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806|f__FGB4806|g__GGB516472","Bacteria","Firmicutes","CFGB4806","OFGB4806","FGB4806","GGB51647",5,2,"",0.0035711,0.03891962,-1.33995787895855,3.5493707059823,0.710748204788828,0.870174429650474,0.395032189155165,0.00318007286416843,49.0713380271959,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus2","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",2,0,"",7.67e-05,0,-0.110001662122173,0.292628856421281,0.71192245514354,0.870174429650474,0.926586994373236,0.62262947466329,1.37893160070189,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified2","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","Clostridia unclassified",7,7,"",0.00056706,0.00066326,0.752493262515422,2.07556039736773,0.721686045866215,0.870174429650474,1.68470181424244,0.100439237307911,28.2580819905154,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Cellulomonadaceae|g__Cellulomonas2","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Cellulomonadaceae","Cellulomonas",2,0,"",1.487e-05,0,-0.132562688347382,0.369496708477549,0.724460696639953,0.870174429650474,0.912209633821619,0.552185061239582,1.50697017077745,""
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister2","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister",3,3,"",0.00583559,0.00418337,1.10614681104522,3.0975365487358,0.725679354232783,0.870174429650474,2.15269930068067,0.0320168498005817,144.739857544225,""
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter2","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",2,0,"",4.29e-06,0,-0.136755967865897,0.384324679769954,0.726612727139677,0.870174429650474,0.909562091386051,0.539602022112341,1.53317290185085,""
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__GGB797342","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","GGB79734",1,3,"",0.00065713,0.00023186,-0.447979623060147,1.28549706948302,0.732017341739846,0.870174429650474,0.73306873254437,0.127843092794399,4.20351037266014,""
"k__Bacteria|p__Firmicutes|c__CFGB76046|o__OFGB76046|f__FGB76046|g__GGB515102","Bacteria","Firmicutes","CFGB76046","OFGB76046","FGB76046","GGB51510",2,0,"",4.489e-05,0,-0.150900808573659,0.435180393084914,0.73329421065139,0.870174429650474,0.900687903847208,0.498665956867679,1.62681789074272,""
"k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783|f__FGB76783|g__GGB800112","Bacteria","Firmicutes","CFGB76783","OFGB76783","FGB76783","GGB80011",1,4,"",0.00135898,0.00390598,0.505504878559459,1.47590536160484,0.736429029704555,0.870174429650474,1.41962007263656,0.19114380788013,10.5434812300929,""
"k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721|f__FGB75721|g__GGB95242","Bacteria","Firmicutes","CFGB75721","OFGB75721","FGB75721","GGB9524",1,1,"",8.26e-05,0.00010118,0.0840135167014346,0.249188471937463,0.740387133058703,0.870174429650474,1.05996271420873,0.755552605382643,1.48701883562923,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Phocea2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Phocea",5,8,"",0.00097785,0.00048077,0.754558006974693,2.28872824035804,0.745915217608866,0.870174429650474,1.6871146381422,0.0752925356257542,37.8039573056968,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Faecalicatena",6,4,"",0.00077446,0.00038235,-0.896322666102157,2.71990098590975,0.746020538753564,0.870174429650474,0.537254413300605,0.0133471118220314,21.625825006915,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB46052","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","GGB4605",2,0,"",0.00133891,0,-0.203400709054686,0.630590425037332,0.751208132035841,0.870174429650474,0.86850092520992,0.368731368243289,2.04564602323934,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospira2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospira",5,6,"",0.01136938,0.00857248,1.39801673984577,4.39204384215159,0.754369427255409,0.870174429650474,2.63539048219284,0.00675237530931364,1028.56886287895,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__GGB44562","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","GGB4456",1,2,"",2.625e-05,4.681e-05,0.357591505173545,1.13688896864774,0.757179047028104,0.870174429650474,1.28128508071914,0.273438657984774,6.00387476362202,""
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus2","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus",2,0,"",7.35e-06,0,-0.271051471177103,0.889085499313687,0.764398501043902,0.870174429650474,0.828715337799522,0.247644236495708,2.77320853827373,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus_Cibionibacter2","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Candidatus Cibionibacter",5,3,"",0.00295672,0.00088431,-1.05458316043296,3.49396318001473,0.766669435005019,0.870174429650474,0.4814363034121,0.00417863947596126,55.468033453589,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB335862","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","GGB33586",2,0,"",2.448e-05,0,-0.290165032545937,0.962732523656112,0.766993355007056,0.870174429650474,0.817808502584281,0.221116596715548,3.02469718163909,""
"k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047|f__FGB3047|g__GGB521302","Bacteria","Firmicutes","CFGB3047","OFGB3047","FGB3047","GGB52130",3,1,"",0.000244,4.984e-05,-0.536322518261737,1.79903340876395,0.769450326373519,0.870174429650474,0.689526298269282,0.0598531920615302,7.9435448574935,""
"k__Bacteria|p__Firmicutes|c__CFGB2107|o__OFGB2107|f__FGB2107|g__GGB60202","Bacteria","Firmicutes","CFGB2107","OFGB2107","FGB2107","GGB6020",2,0,"",0.00100671,0,-0.317506037037633,1.06835792503427,0.770144624917338,0.870174429650474,0.802455871412978,0.187961934978093,3.42588208426462,""
"k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226|f__FGB1226|g__GGB584852","Bacteria","Firmicutes","CFGB1226","OFGB1226","FGB1226","GGB58485",0,2,"",0,1.428e-05,-0.0915143729015365,0.314965983077108,0.775125332442485,0.870174429650474,0.938537065286087,0.611808603650475,1.43975063060579,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium2","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Microbacterium",2,0,"",8.745e-05,0,-0.39978944122057,1.38750097451279,0.776941455045066,0.870174429650474,0.757968899397833,0.115079969483549,4.99232711854767,""
"k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718|f__FGB9718|g__GGB514412","Bacteria","Firmicutes","CFGB9718","OFGB9718","FGB9718","GGB51441",1,2,"",4.047e-05,2.156e-05,0.318438264879078,1.12843992625456,0.781412887475862,0.871309945327068,1.24697994688668,0.269189867017679,5.77643952636365,""
"k__Bacteria|p__Firmicutes|c__CFGB32970|o__OFGB32970|f__FGB32970|g__GGB518842","Bacteria","Firmicutes","CFGB32970","OFGB32970","FGB32970","GGB51884",0,2,"",0,0.00017147,-0.082334726005116,0.302424004693327,0.788912381996534,0.874201592297909,0.944527871518116,0.626294981936634,1.42446119768656,""
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__GGB65682","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","GGB6568",0,2,"",0,0.00010962,0.0810528411910977,0.300685716354606,0.790944297793346,0.874201592297909,1.05778970627908,0.703054696040017,1.59151068759279,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__GGB13392","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","GGB1339",1,2,"",2.95e-06,0.00027988,-0.295379395120565,1.203525784397,0.80924504393839,0.887199583115411,0.814858015585904,0.158847035114465,4.18008170619065,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB96612","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9661",1,1,"",2.31e-05,5.79e-06,0.125155933403575,0.511319577759031,0.809745651256129,0.887199583115411,1.09062560634446,0.544487019573197,2.18455935670715,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus2","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",1,1,"",0.00017338,3.334e-05,0.109224521720269,0.571179069892423,0.850753764010303,0.919146773974249,1.07864828499526,0.496447665436957,2.3436148535398,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc2","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Leuconostoc",1,1,"",0.00176361,6.62e-06,-0.280172970697401,1.47688587353049,0.851925902324657,0.919146773974249,0.823492279440765,0.110730972351088,6.1242082490562,""
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified|g__Candidatus_Saccharibacteria_unclassified2","Bacteria","Candidatus Saccharibacteria","Candidatus Saccharibacteria unclassified","Candidatus Saccharibacteria unclassified","Candidatus Saccharibacteria unclassified","Candidatus Saccharibacteria unclassified",4,3,"",0.00026815,4.025e-05,-0.228678494584883,1.26589676488064,0.858914203602877,0.919146773974249,0.853416261224289,0.152847392537801,4.76500974487949,""
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium2","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium",9,9,"",0.01804797,0.01881511,0.332338070299762,1.86888451836709,0.861090757373136,0.919146773974249,1.25905217575184,0.0993955046106157,15.9485319529848,""
"k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936|f__FGB14936|g__GGB32562","Bacteria","Firmicutes","CFGB14936","OFGB14936","FGB14936","GGB3256",2,1,"",0.01000092,0.00187746,-0.0926016586026437,0.522140794367403,0.861459225333329,0.919146773974249,0.93783000421971,0.461372008866217,1.90632526445655,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__GGB582332","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","GGB58233",3,2,"",1.306e-05,9.73e-06,0.311527109017575,1.76451007899977,0.862076019974763,0.919146773974249,1.24102063931839,0.112897649435922,13.6418449357387,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB36162","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3616",1,1,"",6.927e-05,0.00012328,-0.0580353706092123,0.334500761444682,0.864435656475782,0.919146773974249,0.960571313301344,0.609772560790619,1.51318263114548,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Culturomica2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Culturomica",2,2,"",0.00012284,0.00056733,0.390716952407516,2.51206812720659,0.878344149462441,0.930011452371996,1.31104477033506,0.0431966554033784,39.7910063585266,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruthenibacterium2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruthenibacterium",10,10,"",0.00615975,0.0029271,-0.294712845248868,2.00139519748291,0.884771357943905,0.931016609913883,0.815234580958682,0.0537553653296698,12.3635551151962,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Sellimonas2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Sellimonas",4,3,"",0.00048729,0.00014938,0.20961304271784,1.44767325225164,0.886682485632269,0.931016609913883,1.15637798051313,0.161787658837919,8.26521654012714,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus2","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus",2,1,"",0.00052691,0.00011317,0.0654842949274602,0.497060947326063,0.896830009544664,0.937764159357906,1.04643615654809,0.532644488529605,2.05583396301354,""
"k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified2","Bacteria","Firmicutes","Firmicutes unclassified","Firmicutes unclassified","Firmicutes unclassified","Firmicutes unclassified",5,2,"",9.28e-05,0.00024627,0.129852159220192,1.16206520852024,0.912417351481349,0.950120547823553,1.09418156879994,0.225657142805094,5.3055413651833,""
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila2","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila",8,9,"",0.01041015,0.0070728,0.26671272912103,2.6393345131439,0.920763864366484,0.951245989921509,1.20306344695129,0.0333450652722566,43.4055727758472,""
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium2","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Catenibacterium",3,2,"",0.00151972,0.00277075,0.134380039985927,1.33459536231237,0.921047704527175,0.951245989921509,1.09762103883412,0.179067215362434,6.72804311192765,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter",6,8,"",0.00093362,0.00140679,-0.108984443428593,1.59050605724319,0.946219250716653,0.973254086451414,0.927240544810426,0.106847398299991,8.04675679164768,""
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas2","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",3,1,"",4.232e-05,5.48e-06,-0.0661001765457441,1.12943890313332,0.954055328648168,0.977324970810318,0.955216606617878,0.205926238880925,4.43090094063333,""
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__GGB519592","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","GGB51959",1,1,"",5.81e-05,3.3e-06,0.0359166569147457,0.851225013988666,0.966866047985234,0.986438235191413,1.0252080109111,0.322532317416865,3.25874775605151,""
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella2","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella",3,5,"",0.00375849,0.00208039,0.0685476353559253,2.7058572728163,0.980102576316433,0.989575041561828,1.04866046299642,0.0265538963858293,41.4134615377471,""
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Longicatena2","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Longicatena",2,1,"",2.421e-05,8.15e-06,0.0144955007069906,0.599537710757913,0.981009763677565,0.989575041561828,1.01009816120842,0.44732695119193,2.28087820901015,""
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella2","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Allisonella",2,2,"",0.00010265,0.00018533,-0.0299054541370182,1.28505399548576,0.981721271390702,0.989575041561828,0.979484485214206,0.170919477235982,5.61311017497874,""
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella2","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella",7,4,"",0.00265883,0.00024047,-0.0378447702324444,2.28692726396363,0.987001564951098,0.990933842102298,0.974109074192565,0.0435790269026925,21.7739714689607,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus2","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus",4,7,"",0.00188806,0.00038701,0.0090785790447526,2.91621711948382,0.997554566336538,0.997554566336538,1.00631263267762,0.0191474094340329,52.8878393798087,""
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__GGB42482","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","GGB4248",0,1,"",0,0.00075223,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB744032","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB74403",0,1,"",0,8.963e-05,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae|g__GGB801082","Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","GGB80108",0,1,"",0,5.698e-05,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107|f__FGB12107|g__GGB347972","Bacteria","Actinobacteria","CFGB12107","OFGB12107","FGB12107","GGB34797",0,1,"",0,5.642e-05,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB2932|o__OFGB2932|f__FGB2932|g__GGB92612","Bacteria","Firmicutes","CFGB2932","OFGB2932","FGB2932","GGB9261",0,1,"",0,2.691e-05,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Lentisphaerae|c__CFGB2345|o__OFGB2345|f__FGB2345|g__GGB64702","Bacteria","Lentisphaerae","CFGB2345","OFGB2345","FGB2345","GGB6470",0,1,"",0,2.266e-05,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Bacilliculturomica2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII Incertae Sedis","Bacilliculturomica",0,1,"",0,1.982e-05,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227|g__GGB30002","Bacteria","Firmicutes","CFGB1227","OFGB1227","FGB1227","GGB3000",0,1,"",0,1.437e-05,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1538|o__OFGB1538|f__FGB1538|g__GGB38922","Bacteria","Firmicutes","CFGB1538","OFGB1538","FGB1538","GGB3892",0,1,"",0,5.66e-06,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB35372","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3537",0,1,"",0,4.9e-06,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB94952","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9495",0,1,"",0,8.6e-07,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__CFGB642|o__OFGB642|f__FGB642|g__GGB15822","Bacteria","Bacteroidetes","CFGB642","OFGB642","FGB642","GGB1582",0,1,"",0,0.0003318,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__CFGB59744|o__OFGB59744|f__FGB59744|g__GGB597442","Bacteria","Bacteroidetes","CFGB59744","OFGB59744","FGB59744","GGB59744",0,1,"",0,3.073e-05,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalicoccus2","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalicoccus",0,1,"",0,2.741e-05,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Angelakisella2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Angelakisella",0,1,"",0,2.017e-05,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Lawsonellaceae|g__Lawsonella2","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Lawsonellaceae","Lawsonella",0,1,"",0,1.049e-05,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227|g__GGB30052","Bacteria","Firmicutes","CFGB1227","OFGB1227","FGB1227","GGB3005",0,1,"",0,7.86e-06,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB76388|o__OFGB76388|f__FGB76388|g__GGB91862","Bacteria","Firmicutes","CFGB76388","OFGB76388","FGB76388","GGB9186",0,1,"",0,2.87e-06,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas2","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Parvimonas",0,1,"",0,3.5e-07,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__GGB35242","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","GGB3524",0,1,"",0,0.00127139,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Luxibacter2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Luxibacter",0,1,"",0,1.88e-06,NA,NA,NA,NA,NA,NA,NA,""
"k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces2","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces",0,1,"",0,1.52e-06,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__CFGB2987|o__OFGB2987|f__FGB2987|g__GGB93592","Bacteria","Actinobacteria","CFGB2987","OFGB2987","FGB2987","GGB9359",0,1,"",0,6.318e-05,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB35282","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","GGB3528",0,1,"",0,3.51e-05,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__GGB97592","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","GGB9759",0,1,"",0,2.766e-05,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1422|o__OFGB1422|f__FGB1422|g__GGB34862","Bacteria","Firmicutes","CFGB1422","OFGB1422","FGB1422","GGB3486",0,1,"",0,1.878e-05,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1473|o__OFGB1473|f__FGB1473|g__GGB37302","Bacteria","Firmicutes","CFGB1473","OFGB1473","FGB1473","GGB3730",0,1,"",0,1.715e-05,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB4559|o__OFGB4559|f__FGB4559|g__GGB29832","Bacteria","Firmicutes","CFGB4559","OFGB4559","FGB4559","GGB2983",0,1,"",0,1.167e-05,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__CFGB2429|o__OFGB2429|f__FGB2429|g__GGB800732","Bacteria","Proteobacteria","CFGB2429","OFGB2429","FGB2429","GGB80073",0,1,"",0,1.91e-06,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB12152","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","GGB1215",0,1,"",0,1.09e-06,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Amedibacterium2","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacterium",0,1,"",0,5.209e-05,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__GGB323872","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII Incertae Sedis","GGB32387",0,1,"",0,7.49e-06,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__GGB29802","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII Incertae Sedis","GGB2980",0,1,"",0,5.41e-06,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB330852","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","GGB33085",0,1,"",0,0.00192953,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB11462","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","GGB1146",0,1,"",0,0.0008289,NA,NA,NA,NA,NA,NA,NA,""
