Genus	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	B28	B29	B30	B31	B32	B34	B35	B36	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	C18	C19	C20	C21	C22	C23	C24	C26	D27	D28	D29	D30	D31	D32	D33	D34	D35	D36	D37	D38	D40	D41	D42	D44	D45	D46	D47	D48	D49	D50	D51	D52
Meyerozyma	0	0.193	0	0	0	0	0	0.00333	0.00667	0.00334	0	0.217	0	0	0	0	0	0	0	0.217	0	0.02	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0.156	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0.00668	0	0	0.367	0.0267	0	0.00333	0.0933	0	0	0.00333	0	0.0233	0.31	0	0.0133	0	0	0.0467	0.0233	0	0	0.0367	0	0	0	0	0	0	0.0699	0	0	0	0	0	0.613	0	0.02	0	0	0	0.00333	0	0	0
Stachybotrys	0	0	0	0	0	0.0803	0.283	0	0.137	0.0567	0.00334	0.143	0	0.22	0.0601	0.00333	0.544	0.00333	0	0	0	0.00998	0.0468	0.00334	0	0	0	0.244	0.22	0.00333	0	0.0233	0	0.0334	0	0	0.0999	0.0898	0	0	0.00333	0.257	0	0	0.00333	0	0.00666	0	0	0	0	0	0.0167	0	0.01	0	0	0.0634	0	0	0	0	0	0.0466	0.0567	0	0	0.05	0	0	0	0	0	0	0	0	0.0932	0	0	0	0	0	0	0	0	0.0868	0	0	0	0	0	0	0.263	0.04	0.00667	0	0
Conocybe	0	0	0	0	0	0.0301	0	0	0	0.00334	0	0	0	0	0.00667	0	0	0	0	0	0.0868	0	0.0167	0.0901	0	0	0	0	0	0	0	0.0567	0	0	0.14	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167	0	0	0	0	0	0	0	0	0	0.00333	0.00334	0	0
Podospora	0.344	0.153	0	0.237	0	0.204	0.253	0	0.123	0.29	0.00334	0	0.03	0.0666	0.347	0.17	0	0.00333	0.844	0	0.0567	0.0965	0.407	0.354	0	0	0	0.214	0.194	0.0367	0.07	0.493	0	0.22	1.03	0	0	0.00333	0.0733	0	0.03	0.277	0.0467	0.34	0	0.26	0	0.00333	0	0.38	0	0.14	0	0	0.09	0.207	0	0.15	0.14	0	0.293	0	0	0	0	0.0701	0.634	0.137	0.0501	0	0.514	0	0.00334	0	0	0	0.02	0.0267	0	0	0	0.346	0	0.263	0.45	0.0434	0.26	0	0.0868	0.00333	0.1	0.133	0.693	0.0899	0	0	0
Chrysosporium	0	0	0	0	0	0.0268	0.0699	0	0.16	0	0	0	0	0.07	0.0868	0	0	0	0	0	0	0.0166	0.0234	0	0	0	0	0.04	0.0969	0.00333	0	0.0267	0	0.01	0	0	0	0	0	0	0.0167	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.00999	0.05	0	0	0	0	0	0	0	0.0501	0	0	0	0	0	0	0	0	0	0	0
Aureobasidium	0	0	0	0	0.484	0.0167	0.0366	0.466	0.467	0.0133	0	0.00333	0.0367	0.0633	0.0167	0.00666	0	0.0866	0.217	0.00667	0	0.0266	0.0234	0.0567	2.94	0.157	0	0.127	0.00668	0.0367	0.0333	0.0433	0.0134	0.00334	1.78	0.00334	0.147	0.00665	0.0566	0.00667	0	0.00333	0.0133	0	0.00666	0	0	0	0	0.00333	0	0	0	0	0	0	0	0.01	0	0.0533	0	0	0.0699	0.0133	0	0	0.00334	0.0167	0	0	0	0	0	0	0	0.157	0.00666	0	0.02	0	0.00333	0	0	0.08	0	0	0.703	0.5	0	0	0.774	0	0.79	0.0633	0.00334	0.33	0.217
Bipolaris	0.0834	0	0	0	0.00334	0.01	0.02	0.00333	0	0	0	0.00333	0	0.0333	0.0234	0	0	0	0	0	0	0	0.0134	0	0	0	0	0	0.0768	0	0	0	0	0.0234	0	0	0	0.00665	0	0	0.0133	0.06	0	0.0234	0	0	0	0	0	0	0	0.366	1.05	0	0.03	0.00334	1.44	0.177	0.756	0.0633	0	0.707	0.0599	0	1.07	0.787	0	0.753	0.18	0.31	0	0	0.00334	0	0.02	0.00333	0.0266	0.143	0.0367	0.207	0.317	1.37	0	0.456	0.38	0.995	0	0.00667	0.01	0	0.163	0	0.523	0.653	0.754	0	0
Sistotrema	0	0	0	0	0	0	0	0	0.107	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sistotremastrum	0	0	0	0	0	0	0	0	0	0	0	0.147	0	0	0	0	0	0	0	0	0.04	0	0.00668	0	0	0	0	0	0	0	0.00333	0	0	0.02	0	0	0	0	0.0899	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0.01	0	0.0233	0	0	0	0	0	0	0	0	0	1.06	0	0	0.00333	0.293	0	0	0	0	0	0.0133	0.00333	0	0.03	0	0.06	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0
Blastobotrys	0	0	0	0.163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0933	0.0366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Periconia	0.00334	0.00333	0	0	1.4	0.0234	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0.0166	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0.0699	0	0	0	0	0	0	0	0	0.00333	0.0866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333	0	0	0.407	0	0	0	0	0	0	0	0	0	0	0	0	0.147	0	0	0	0	0	0	0	0	0	0	0	0	0.00666	0	0	0	0
Diplodia	0.00334	0.216	0.00666	3.69	0.00334	0	0	0.00666	0	0.00667	0	0	0	0	0.137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0765	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103	0	0	0.02	0	0.0666	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coprinopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthrinium	0	0.526	0	0	0	0	0	0	0.0901	0.05	0	0	0	0	0.0467	0.00666	0.387	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.0434	0	0	0.0301	0.00334	0	0	0	0.236	0	0.00334	0	0	0.0534	0	0	0	0.0167	0.0999	0	0	0	0	0	0	0.0233	0	0.0133	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0.00333	0.0533	0	0	0	0	0.0233	0	0.12	0.137	0.507	0.00667	0	0	0	0.157	0	0	0	0
Melampsora	0	0	0	0	0	0	0	0	0.0834	0.01	0	0	0	0	0	0	0	0	0	0.403	0	0	0	0	0	0	0	0	0.0167	0	0	0	0	0.00334	0	0	0	0	0.03	0	0	0.0466	0	0	0.00333	0	0	0	0	0	0	0	0.00334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0566	0	0	0
Lepiota	1.54	0	1.36	1.97	1.45	2.99	0.273	0.0499	0.957	3.95	0.00334	0.00999	0.377	0.22	4.51	1.85	0.187	0.00666	3.81	0.00333	0.0834	0.113	6.61	5.75	0	0.00666	0.183	2.93	0.341	0.00333	0.287	6.1	1.22	1.82	8.58	0.0334	0.147	0.0299	0.0233	0.0334	0.153	1.49	0.0767	8.43	0.04	1.66	0.00999	0.0166	0.387	2.01	1.36	0.605	0.347	1.16	2.34	3.92	0.187	0.464	1.22	0.16	2.75	0.17	0.0866	0.619	0.217	0.934	1.04	0.406	0.123	1.37	1.03	1.05	2.29	0.00333	0.626	0.00333	0.423	1.04	0.49	0.417	1.94	0.52	3.34	1.25	1.18	1.61	2.94	2.41	5.04	0.0167	0.82	0.42	0.943	0.46	0.247	4.43	0
Lentinula	0	0	0	0	0	0	0	0	0	0	0	0.0366	0	0	0	0	0	0	0	0.00667	0	0	0.00334	0	0	0.00666	0	0.707	0	0.04	0	0.0167	0	0	0	0	0	0	0	0.397	0	0	0	0	0	0	0	0	0.0133	0	0	0.303	0.0167	0	0.00333	0	0.00666	0	0	0.00333	0.44	0	0	0	0.03	0.0901	0	0.0766	0	0	0	0	0.0133	0	0	0	0	0.0566	0	0	0	0	0.0566	0	0	0.144	0	0.327	0.00334	0	0	0.22	0	0	0.00334	0	0
Trichoderma	0	0	0	0	0	0.0334	0.00665	0.00999	0	0.00667	0	0	0	0.06	0	0.0167	0	0	0	0	0.0434	0	0	0	0	0	0.24	0.0334	0.0134	0	0	0	0	0	0	0	0	0	0.0466	0	0	0	0.0434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0.147	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00334	0	0	0	0	0	0	0	0	0	0	0
Baeospora	0	0	0	0.107	0	0	0	0	0	0	0	0	0	0	0.0167	0	0	0	0	0	0	0.00333	0.00334	0	0	0	0.13	0	0	0	0	0	0.127	0	0	0	0	0	0	0	0.0233	0	0	0	0	0	0	0	0	0.26	0	0.0466	0.117	0	0	0	0.0633	0	0	0.0133	0.00333	0.183	0.0832	0.0466	0.00333	0	0	0.00666	0	0	0	0.0567	0.0701	0	0.0233	0.32	0.00333	0.177	0.01	0.0901	0	0.00333	0	0	0.353	0.00334	0.297	0	0	0	0.1	0.0867	0.447	0	0.0734	0	0
Aplosporella	0	0.00333	0.00333	0.0701	0	0.0201	0.0166	0	0	0.0133	0	0	0	0.03	0.02	0.0633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.273	0	0	0	0	0	0	0	0	0	0
Peniophorella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Botrytis	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0.137	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00666	0	0	0.01	3.02	0	0.0167	0	0.00333	0.22	0	0	0	0	0	0.0733	0	0.00333	0	0.45	0	0.00333	0	0.723	0	0	0.0701	0	0	0	0.0133	0	0.01	0	0	0	0.00333	0	0.117	0	0	0	0	0	0.343	0	0	0.103	0.05	0	0
Venturia	0	0	0.146	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0234	0	0	0	0	0	0.0167	0	0	0	0	0.0267	0	0	0	0	0	0	0	0.0333	0	0	0	0	0	0	0	0	0	0	0	0	0.0433	0.277	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.127	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cystofilobasidium	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.143	0	0	0	0	0	0	0.0433	0	0	0.0267	0.287	0	0	0	0	0.01	0	0.0233	0	0	0	0	0	0.0133	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0
Hyphoderma	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0.113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.476	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0
Cystobasidium	0	0	0	0	0	0	0	0	0	0.00334	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.00666	0	0	0	0	0	0	0	0	0	0	0.00333	0	0.00333	0	0	0	0	0	0	0	0	0	0	0.0799	0	0	0	0.167	0	0	0	0	0	0	0.00666	0.0633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23
Sydowia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333	0	0	0	0.207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parasola	0.05	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0.05	0	0	0	0	0	0	0.01	0.04	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.607	0
Metarhizium	0	0	0.156	0	0	0.00669	0.0632	0	0	0	0	0.00333	0	0.02	0.0133	0	0	0	0	0	0	0.0133	0.0134	0.0534	0	0	0	0	0.0668	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0.03	0	0	0	0	0	0	0	0.0233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gloeoporus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psathyrella	0	0	0	0	0	0	0	0.103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0
Cabalodontia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0.00333	0	0	0	0.407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193	0	0	0	0	0	0	0	0	0	0	0	0.00334	0	0
Dactylonectria	0	0	0	0	0	0.01	0.203	0	0	0	0	0	0	0.0766	0.03	0	0	0	0	0	0	0.0599	0.0601	0	0	0	0	0.0868	0.167	0	0	0	0	0.0133	0	0	0	0	0	0	0	0.167	0	0	0	0	0	0	0	0	0	0	0	0	0.0533	0	0	0	0	0.117	0	0	0	0	0	0	0	0.0766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dioszegia	0	0	0	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00665	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0134	0	0	0	0	0	0	0.09	0.00666	0	0	0
Bjerkandera	0	0	0.00666	0	0	0	0	0	0	0	0	0	0.0167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0
Tylospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.444	0	0	0	0	0	0	0	0	0	0.00666	0	0	0.427	0.0133	0	0.00333	0.05	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0
Capronia	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0.0133	0.02	0	0	0	0	0	0	0	0.00668	0	0	0	0	0	0.00334	0	0	0.01	0	0.0267	0.0467	0	0	0	0	0	0	0.0133	0	0.0167	0	0	0	0	0	0	0	0.0832	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0	0	0	0.00666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cephaliophora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.433	0	0	0.0634	0	0	0	0.04	0	0	0	0	0.0933	0	0	0	0.0901	0	0.0167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233	0	0	0	0	0	0	0	0	0	0	0	0	0
Diaporthe	0	0.00333	0	0	1.67	0	0	0	0.15	0	0	0	0	0.00333	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233	0	0	0	0	0	0	0	0	0.00666	0	0	0	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Debaryomyces	0	0	0.0899	0	1.62	0.00669	0.00333	0	0	0	0	0.22	0.11	0	0.0234	0.00666	0.00334	2.69	0	0	0.04	0.00998	0.00334	0.0734	9.84	0.11	2.49	0	0.0134	0.04	0	0.00667	0.164	0	0	0	0	0	0	0	0	0	0	0	0.00999	0.14	0	0	0	0.00666	0.137	0	0	0	0.00666	0	0.00333	0.0934	0	0.117	0	0	0.00666	0.03	0	0.29	0	5.55	0.177	0.327	0	0	0	0.0466	0	0	0	0	0	0.244	0	0.157	0	0.0899	0.127	0.0868	0.657	0.557	0.00334	0.00666	0.193	0.04	0.287	0	0.00334	0	0
Tremella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163	0	0	0	0.117	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coprinellus	0.334	0	0.243	0.357	0	0.652	0.0532	0.0633	0.791	0.934	0	0	0.0967	0.153	0.501	0.416	0.0667	0	0.00334	0	0.0901	0	1.05	1.19	0	0	0.173	0.127	0.0501	0.01	0.0733	1.57	0	0.15	2	0	0	0.00665	0.00333	0.00334	0.0133	0.25	0.0434	1.71	0.02	0.881	0.00333	0.00666	0	0	0	0.193	0.03	0.677	0.42	2.84	0	0.13	0.989	0.0233	0	0.06	0.00666	0.33	0.0133	0.187	0.547	0.0933	0.414	0.536	0.273	0.23	0.707	0.00333	0.00666	0.21	0.0732	0.153	0.0933	0.214	0.36	0.28	1.03	0.273	0.727	0.584	0.76	0.95	0.737	0	0.53	0.103	0.203	0.0133	0.0234	1.38	0
Elmerina	0	0	0	0	0	0	0	0	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torulaspora	0	0	0	0	0	0	0.0632	0	0	0.0167	0	0	0	0	0	0	0	0	0	0.16	0	0	0.0434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00998	0	0	0	0	0.11	0	0	0	0.00666	0	0	0	0.217	0.00998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.627	0	0	0	0	0	0	0	0	0	0
Erysiphe	0	0	0	0	0	0.00669	0.0166	0.0633	0.0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0.00333	0	0	0	0	0	0	0	0	0	0	0.0266	0	0	0	1.62	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233	0	0	0	0
Eremothecium	0	0.496	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0134	0	0	0	0	0	0	0	0	0	0	0
Coniochaeta	0	0	0	0	0	0.0201	0.23	0	0	0	0	0	0	0.07	0.0434	0	0	0	0	0	0	0.02	0.0468	0	0	0.00333	0	0.0834	0.104	0	0	0	0	0.00667	0	0	0	0	0	0	0	0.163	0	0	0	0	0	0	0	0	0	0	0.0467	0	0.04	0	0.103	0	0	0	0	0.123	0	0.0233	0.0467	0.14	0	0.0866	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0.0366	0.19	0	0	0	0.00667	0	0	0	0	0	0.0167	0	0
Tetracladium	0	0	0	0	0	0.0869	0.0865	0	0	0	0	0	0	0.08	0.0367	0	0	0	0	0	0	0.0333	0.00668	0	0	0.0833	0	0.0267	0.127	0	0	0	0	0	0	0	0	0	0	0	0.0367	0.143	0	0	0	0	0	0	0.0367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0366	0	0	0	0.0167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anthracocystis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0.00667	0	0	0.00333	0.674	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38
Scedosporium	0	0	0	0	0	0.0201	0	0	0	0	0	0.263	0	0	0.0234	0	0	0	0	0	0	0.00665	0	0.00334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptosphaeria	0	0	0	0	0	0.0702	0.0832	0	0	0	0	0	0	0.2	0.00667	0	0	0.00333	0	0	0.0767	0	0.02	0	0	0	0	0	0.0768	0	0	0	0	0.00667	0	0	0	0	0	0	0.02	0.153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00666	0	0	0	0	0	0	0	0	0	0	0	0.0234	0	0	0	0	0	0	0	0
Sarocladium	0	0	0	0	0	0	0	0	0	0.00334	0	0	0	0	0	0	0	0	0	0	0.0901	0	0.01	0	0	0.00666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0566	0	0.0767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trichomonascus	0	0	0	0	0	0	0	0	0	0	0	0.283	0	0	0	0	0	0	0	0.283	0	0	0	0.00334	0	0	0	0	0	0	0	0	0.0401	0	0	0	0	0.00333	0.00333	0	0.00667	0	0	0	0.00333	0	0	0	0	0	0	0	0.00334	0	0	0	0	0.0634	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0.00333	0.173	0	0	0	0.00667	0	0	0	0	0.0366	0	0	0
Zopfiella	0.117	0	0	0	0	0.0602	0.143	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0399	0.00668	0	0	0	0	0	0.13	0	0	0	0	0.00667	0	0	0	0	0.02	0	0.0133	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00334	0	0	0	0	0	0	0	0
Wardomyces	0	0	0	0	0	0	0.0898	0	0	0.00667	0	0	0	0	0.0467	0	0	0	0	0	0	0	0.0234	0	0	0	0.267	0.0901	0.134	0	0	0	0	0.02	0.0467	0	0	0.0133	0	0	0	0.113	0	0	0	0	0	0	0	0	0	0	0.00334	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167	0	0	0	0	0	0	0	0	0	0	0
