source,target,correlation,direct,cor
ASV_281,ASV_76,-1,undirected,-
ASV_277,ASV_75,-1,undirected,-
ASV_607,ASV_92,-1,undirected,-
ASV_260,ASV_140,-1,undirected,-
ASV_278,ASV_133,-1,undirected,-
ASV_203,ASV_133,1,undirected,+
ASV_342,ASV_151,1,undirected,+
ASV_506,ASV_151,1,undirected,+
ASV_490,ASV_157,-1,undirected,-
ASV_494,ASV_157,-1,undirected,-
ASV_258,ASV_155,-1,undirected,-
ASV_359,ASV_117,1,undirected,+
ASV_350,ASV_117,1,undirected,+
ASV_186,ASV_148,1,undirected,+
ASV_228,ASV_111,1,undirected,+
ASV_374,ASV_111,1,undirected,+
ASV_285,ASV_237,1,undirected,+
ASV_337,ASV_237,1,undirected,+
ASV_281,ASV_282,-1,undirected,-
ASV_376,ASV_221,1,undirected,+
ASV_203,ASV_278,-1,undirected,-
ASV_268,ASV_146,1,undirected,+
ASV_495,ASV_146,-1,undirected,-
ASV_474,ASV_194,1,undirected,+
ASV_665,ASV_194,1,undirected,+
ASV_395,ASV_242,1,undirected,+
ASV_205,ASV_324,-1,undirected,-
ASV_389,ASV_324,1,undirected,+
ASV_506,ASV_342,1,undirected,+
ASV_389,ASV_205,-1,undirected,-
ASV_374,ASV_228,1,undirected,+
ASV_387,ASV_265,1,undirected,+
ASV_361,ASV_265,1,undirected,+
ASV_361,ASV_387,1,undirected,+
ASV_495,ASV_268,-1,undirected,-
ASV_411,ASV_441,-1,undirected,-
ASV_611,ASV_441,-1,undirected,-
ASV_229,ASV_393,-1,undirected,-
ASV_350,ASV_359,1,undirected,+
ASV_112,ASV_283,1,undirected,+
ASV_286,ASV_283,1,undirected,+
ASV_286,ASV_112,1,undirected,+
ASV_337,ASV_285,1,undirected,+
ASV_388,ASV_412,-1,undirected,-
ASV_494,ASV_490,1,undirected,+
ASV_381,ASV_507,1,undirected,+
ASV_400,ASV_644,-1,undirected,-
ASV_421,ASV_644,1,undirected,+
ASV_665,ASV_474,1,undirected,+
ASV_421,ASV_400,-1,undirected,-
ASV_611,ASV_411,1,undirected,+
ASV_440,ASV_767,1,undirected,+
ASV_363,ASV_11,1,undirected,+
ASV_508,ASV_14,1,undirected,+
ASV_184,ASV_24,1,undirected,+
ASV_682,ASV_23,1,undirected,+
ASV_386,ASV_12,-1,undirected,-
ASV_116,ASV_22,-1,undirected,-
ASV_70,ASV_30,1,undirected,+
ASV_347,ASV_51,1,undirected,+
ASV_261,ASV_54,1,undirected,+
ASV_185,ASV_73,1,undirected,+
ASV_1156,ASV_34,1,undirected,+
ASV_188,ASV_79,1,undirected,+
ASV_456,ASV_85,-1,undirected,-
ASV_452,ASV_141,1,undirected,+
ASV_312,ASV_114,1,undirected,+
ASV_426,ASV_102,-1,undirected,-
ASV_731,ASV_107,1,undirected,+
ASV_512,ASV_118,-1,undirected,-
ASV_279,ASV_108,-1,undirected,-
ASV_436,ASV_101,1,undirected,+
ASV_267,ASV_130,-1,undirected,-
ASV_289,ASV_167,-1,undirected,-
ASV_341,ASV_127,1,undirected,+
ASV_478,ASV_176,1,undirected,+
ASV_305,ASV_218,1,undirected,+
ASV_222,ASV_322,1,undirected,+
ASV_241,ASV_162,1,undirected,+
ASV_410,ASV_145,1,undirected,+
ASV_307,ASV_211,-1,undirected,-
ASV_439,ASV_251,1,undirected,+
ASV_233,ASV_232,1,undirected,+
ASV_486,ASV_136,-1,undirected,-
ASV_380,ASV_207,-1,undirected,-
ASV_379,ASV_257,1,undirected,+
ASV_231,ASV_178,1,undirected,+
ASV_721,ASV_152,-1,undirected,-
ASV_578,ASV_170,1,undirected,+
ASV_1072,ASV_301,1,undirected,+
ASV_259,ASV_212,-1,undirected,-
