Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Roseiflexus	0.04	0.0567	0.03	0.0333	0.00667	0.0433	0.02	0.05	0.0367	0.07	0.0467	0.03	0.0367	0.0433	0.0167	0.0267	0.0167	0.0467	0.0
Sphingorhabdus	0	0	0.00667	0.01	0.00667	0	0.00333	0.0133	0	0	0.0133	0.00333	0	0.0233	0.0167	0.00333	0.0133	0.01	0.0
Uliginosibacterium	0.00333	0.01	0.0133	0	0	0	0.00333	0	0.0233	0	0.00333	0.00333	0	0	0.00667	0	0.00333	0	0.0
Umezawaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177	0	0	0	0.0
Cryptosporangium	0.00667	0	0	0	0	0.05	0.01	0.0133	0.01	0.00667	0.00667	0.03	0.00333	0	0.01	0.00333	0.0267	0	0.0
Dokdonella	0.01	0	0.0167	0	0.00667	0.00333	0.00667	0.0167	0.00667	0.0133	0.01	0.00667	0.00667	0.0133	0.01	0.0133	0.01	0.08	0.0
Fictibacillus	0.01	0.0167	0.0167	0.01	0.0133	0.0167	0.0133	0.01	0.01	0.01	0.0133	0.02	0	0.00667	0.0133	0.01	0.03	0.00667	0.0
Clostridium_III	0.00667	0	0	0.00667	0	0	0.00333	0.00667	0.0167	0	0.01	0.0133	0.00333	0.00333	0.00333	0	0	0.00333	0.0
Clostridium_XI	0.00333	0.0167	0.00333	0	0	0.00333	0.00333	0.00667	0	0.00667	0.0133	0.02	0	0.00333	0.00333	0.00667	0.00333	0	0.0
Couchioplanes	0.127	0.177	0.0167	0.00333	0	0.02	0.04	0.0133	0.03	0.0333	0.0233	0.0433	0.0367	0.01	0.00667	0	0.00667	0.00667	0.0
Gemmatimonas	0.00667	0.00333	0.00333	0.00333	0	0	0	0.00667	0.00333	0.00333	0	0.01	0	0.01	0.00333	0.00333	0	0.00333	0.0
Gp5	0.01	0.00667	0	0.00333	0.00333	0.0133	0.02	0.00333	0.0167	0.0233	0.00667	0.0167	0.00333	0.0133	0.0167	0.0167	0.00667	0.00667	0.0
Gp7	0.00667	0.00333	0	0.00667	0.00333	0.00667	0.00667	0.01	0.00667	0.01	0.00333	0.00333	0.0133	0	0.00667	0.01	0	0	0.0
Gracilibacillus	0	0.00667	0.00667	0.0567	0	0	0.00667	0.00667	0.00333	0	0	0.01	0.00667	0	0	0	0	0	0.0
Geodermatophilus	0.0167	0.02	0.00333	0.0133	0.01	0.00667	0.0133	0.03	0.01	0.01	0.0133	0.0267	0.01	0.00667	0.0133	0.0133	0.0267	0.0133	0.0
Gordonia	0.00333	0.01	0.0233	0.00333	0.00667	0.00333	0.00667	0	0	0.00333	0.00667	0.00667	0	0	0	0.0133	0.00667	0.00333	0.0
Gp11	0	0	0	0	0	0	0.0133	0	0.0133	0	0.0133	0.01	0	0.00667	0.0133	0.00333	0.00333	0.00333	0.0
Ammoniibacillus	0.00333	0.01	0	0.01	0.0233	0.01	0	0.0133	0	0	0.01	0.00333	0.00333	0.00333	0.00333	0.00333	0	0	0.0
Aridibacter	0	0	0.00333	0	0.00333	0	0.01	0.00333	0	0.01	0.00333	0.0167	0.01	0	0.00667	0.00667	0.00667	0.00333	0.0
Armatimonas/Armatimonadetes_gp1	0	0.00667	0.00333	0	0.00333	0	0.01	0.00667	0.01	0.01	0.00333	0.00667	0.0167	0.00333	0	0	0.00667	0.01	0.0
Achromobacter	0.02	0	0.00333	0.00333	0	0	0.00667	0.0867	0.00333	0.0167	0	0.0233	0.00333	0	0.00333	0.0133	0	0	0.0
Actinocorallia	0.807	0.86	0.143	1.21	0.31	0.497	0.5	0.867	0.443	0.793	0.767	0.59	1.06	1.21	0.66	0.88	1.25	0.67	0.0
Aggregicoccus	0.00333	0	0	0.00333	0	0	0.00333	0.00333	0.00333	0.00667	0	0.00333	0	0	0.0433	0.00667	0	0	0.0
Asticcacaulis	0.03	0.02	0.0367	0.107	0.0767	0.05	0.03	0.0167	0.0367	0.00667	0.01	0.02	0.00333	0.103	0.0133	0.0333	0.0433	0.02	0.0
Cedecea	0	0	0	0	0	0	0.00333	0	0	0.0167	0	0.103	0	0.00333	0	0	0	0.00333	0.0
Chitinophaga	0	0	0	0	0	0	0.00667	0.00667	0.0133	0.00667	0.00333	0	0	0	0.00333	0.00667	0.00667	0.00333	0.0
Chlamydophila	0.01	0.00667	0	0	0.00333	0.0267	0.0333	0.03	0.03	0.0433	0.00667	0.01	0	0.0133	0.117	0.0167	0	0.0667	0.0
Azohydromonas	0.0133	0	0	0	0.00667	0.0133	0.0667	0	0.00333	0	0.00667	0	0	0	0	0	0	0	0.0
Blastocatella	0	0.00333	0	0	0	0.00333	0.01	0.01	0	0.00333	0	0.01	0.00667	0	0.00333	0.00667	0	0.00667	0.0
Byssovorax	0.0233	0.01	0	0.00333	0.00667	0.02	0.00667	0.01	0.0133	0.01	0	0.0167	0	0.0167	0.00333	0.0133	0	0.00333	0.0
Nitrosospira	0.0133	0.00667	0	0.0133	0	0.00333	0.01	0.00667	0.00333	0.00667	0.00333	0.0267	0.0133	0.00667	0.01	0.00667	0.00333	0.00667	0.0
Novosphingobium	0.0167	0.0233	0.0233	0	0.00333	0	0.00667	0.00667	0.02	0.0167	0.00667	0.02	0	0.00667	0.0233	0.00667	0	0.0133	0.0
Ochrobactrum	0	0	0.0333	0	0.01	0.0267	0.00333	0.00333	0	0.00667	0.00333	0	0.00333	0.0233	0	0.0133	0.0233	0.00667	0.0
Mizugakiibacter	0.0233	0.0267	0.00333	0.0233	0.07	0.03	0.05	0.03	0.0333	0.0367	0.0167	0.0567	0	0.02	0.06	0.147	0.00667	0.06	0.0
Neochlamydia	0.00333	0.00667	0	0	0	0	0.01	0.01	0	0	0	0.00667	0.00333	0.00333	0.0133	0	0	0.00333	0.0
Nitrososphaera	0.00333	0.00667	0	0	0	0	0.01	0.01	0.00333	0	0.00333	0.02	0.00667	0	0.00333	0.00333	0.00333	0.00333	0.0
Oligoflexus	0.00667	0.00667	0	0	0	0	0.0233	0.0267	0.00333	0	0.0167	0.0167	0.01	0.01	0	0.00667	0.00667	0	0.0
Polaromonas	0.19	0.2	0.217	0.227	0.29	0.183	0.08	0.0867	0.13	0.157	0.167	0.22	0.16	0.187	0.143	0.13	0.2	0.09	0.0
Polyangium	0.00333	0	0	0.0167	0	0	0	0.00333	0.0333	0.0133	0.0467	0.00333	0.01	0.01	0.00333	0.00667	0.01	0.00333	0.0
Povalibacter	0	0	0.0133	0	0	0	0.01	0.00667	0.00667	0.00333	0.00333	0.0133	0	0	0.00667	0.00333	0	0.0167	0.0
Pelagibius	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Phycicoccus	0	0.00333	0	0	0.00333	0.00333	0.01	0.01	0	0.00333	0.00667	0	0	0	0.00667	0.00333	0.01	0.00333	0.0
Planosporangium	0.00667	0.00667	0	0.00333	0	0.00333	0.0467	0.00333	0	0.0167	0	0.00333	0	0.00333	0	0.0267	0	0.0133	0.0
Inquilinus	0	0.01	0	0.00667	0	0.00667	0.01	0	0.01	0.02	0.00667	0.01	0.00333	0	0.0167	0.0133	0.00333	0.00667	0.0
Intrasporangium	0.0133	0.05	0.0433	0.00667	0.0133	0.0133	0.01	0.0167	0.02	0.0133	0.00667	0.01	0.02	0.0233	0.0233	0.02	0.00333	0.0167	0.0
Kaistia	0.0133	0.00667	0.02	0	0	0.0167	0.00667	0.00667	0.0133	0.00333	0.00667	0.00667	0.00333	0	0	0	0.00667	0.00667	0.0
Herbaspirillum	0.06	0.00667	0.0167	0.0267	0.0233	0.0367	0.0133	0.00667	0.03	0.0267	0.0133	0.0267	0.00667	0.0167	0.01	0.01	0.00667	0.0133	0.0
Hydrogenophaga	0.233	0.0433	0.08	0.143	0.777	0.0767	0.09	0.17	0.05	0.333	0.227	0.127	0.08	0.02	0.153	0.173	0.0967	0.18	0.0
Iamia	0.0267	0.0667	0.137	0.04	0.04	0.0467	0.0467	0.11	0.05	0.05	0.0333	0.05	0.0533	0.0333	0.0733	0.05	0.04	0.05	0.0
Kribbella	0.44	1.06	0.507	0.343	0.25	0.413	0.51	0.607	0.46	0.48	0.573	0.507	0.593	0.86	0.527	0.783	0.957	0.603	0.0
Lutispora	0.0233	0.0133	0.00333	0.0167	0	0.00333	0.00667	0.01	0.00333	0	0.00333	0.02	0.0133	0	0	0	0	0.00333	0.0
Methylophilus	0.00667	0	0.00333	0.00667	0.02	0.00667	0.00333	0.00667	0.0167	0	0.0167	0.01	0.01	0.01	0.0167	0.0233	0.00333	0.00333	0.0
Methyloversatilis	0.00333	0	0.00333	0.00333	0.00333	0.0133	0.00333	0.00667	0	0.01	0.00333	0	0.00667	0.01	0.00333	0.0133	0.0167	0.02	0.0
Lacibacter	0.00333	0.00333	0	0.00333	0	0	0.00333	0.00333	0.01	0.0133	0.00333	0.0133	0.00667	0.00333	0.00667	0.00667	0.0167	0	0.0
Leptospira	0	0	0	0	0	0	0.00333	0	0.00333	0.00333	0	0.00333	0	0.00333	0.00667	0.0233	0	0	0.0
Luteolibacter	0.00333	0.00667	0.02	0	0.00667	0	0.0267	0.0267	0.0333	0.0167	0.0467	0.0633	0.04	0.0433	0.00667	0.0267	0.0233	0.00667	0.0
