Family	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae	66	60	110	76	120	91	55	45	33	40	73	41	32	56	62	63	74	67
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae	523	545	1113	944	1020	820	407	394	361	420	490	507	360	509	391	637	577	461
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Unassigned	8	6	14	6	6	38	7	8	6	4	9	8	6	12	6	7	3	8
Bacteria|Proteobacteria|Alphaproteobacteria|Unassigned|Unassigned	62	35	41	44	63	41	72	51	47	59	43	62	36	40	38	45	45	63
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae	8	0	8	1	8	0	8	41	2	89	5	47	3	2	2	9	0	7
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae	23	33	48	72	39	75	38	34	21	33	34	38	29	59	34	23	54	30
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiales_incertae_sedis	493	433	722	603	1099	671	531	431	503	511	525	419	500	660	724	645	582	519
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae	4006	2914	4547	4468	5979	4457	2008	1954	3174	3002	3044	2174	3269	3599	2924	3359	3766	3286
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae	2288	1533	1740	2862	3127	3402	1394	1061	1820	1592	1387	1567	2306	2837	1662	1655	2002	1808
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Unassigned	1428	1112	1518	1440	2406	1611	650	615	808	821	832	746	999	1224	1007	1111	1021	1079
Bacteria|Proteobacteria|Betaproteobacteria|Methylophilales|Methylophilaceae	69	111	53	52	156	163	47	118	62	67	76	47	98	126	169	97	88	80
Bacteria|Proteobacteria|Betaproteobacteria|Unassigned|Unassigned	364	296	387	315	275	432	334	254	346	425	287	299	292	313	367	320	275	347
Bacteria|Proteobacteria|Deltaproteobacteria|Bdellovibrionales|Bacteriovoracaceae	27	32	67	65	198	48	31	45	44	70	48	36	81	175	44	27	74	38
Bacteria|Proteobacteria|Deltaproteobacteria|Bdellovibrionales|Bdellovibrionaceae	24	29	25	42	62	33	29	22	39	32	24	14	22	47	34	33	22	23
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfuromonadales|Geobacteraceae	10	8	8	14	5	9	17	6	10	8	11	9	12	13	19	6	5	20
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfuromonadales|Unassigned	18	11	12	20	6	6	37	30	18	21	34	30	19	16	27	20	12	33
Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Cystobacteraceae	20	15	8	3	6	5	16	7	10	31	5	8	3	3	6	10	4	7
Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Haliangiaceae	9	6	3	4	2	5	28	19	23	16	24	13	13	13	10	9	10	14
Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Labilitrichaceae	9	25	21	24	10	13	19	9	20	19	14	19	11	22	27	15	17	25
Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Myxococcaceae	14	28	5	3	9	14	9	12	18	3	10	16	6	6	4	2	5	5
Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Nannocystaceae	11	5	5	2	3	6	12	12	5	9	5	9	5	10	12	3	13	11
Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Polyangiaceae	78	42	33	109	63	85	120	49	83	75	94	111	58	85	79	80	73	64
Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Sandaracinaceae	63	56	93	100	104	51	43	39	48	47	57	45	69	73	72	74	66	92
Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Unassigned	183	165	218	254	212	214	198	107	211	183	231	151	207	229	221	208	253	197
Bacteria|Proteobacteria|Deltaproteobacteria|Unassigned|Unassigned	448	533	313	313	281	804	444	319	391	404	361	499	383	451	449	452	352	460
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae	0	0	1	2	0	0	220	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae	2192	975	1599	1839	3113	1533	1403	1826	1877	2478	1901	1761	2413	3400	1816	1933	2768	1996
Bacteria|Proteobacteria|Gammaproteobacteria|Unassigned|Unassigned	276	275	262	234	227	222	384	280	287	224	277	371	249	246	352	288	225	395
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Sinobacteraceae	784	732	706	717	360	663	1111	737	836	756	950	933	720	1005	1062	1049	788	1073
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Unassigned	35	40	40	23	22	22	48	32	26	36	41	46	24	32	40	37	26	51
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae	656	497	787	882	947	972	480	531	641	553	916	710	536	710	729	853	800	898
Bacteria|Proteobacteria|Unassigned|Unassigned|Unassigned	1376	1474	1315	1238	1279	1684	1591	1140	1073	1474	1394	1356	1488	1602	1970	1522	1482	1736
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Leptospiraceae	14	6	33	17	42	15	25	19	29	46	31	22	29	48	47	40	21	44
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae	6	4	7	4	2	0	6	11	11	8	7	10	3	19	16	9	1	10
Bacteria|Unassigned|Unassigned|Unassigned|Unassigned	563	549	292	547	352	432	478	604	517	522	429	426	645	400	515	453	523	432
Bacteria|Verrucomicrobia|Opitutae|Opitutales|Opitutaceae	3	3	11	4	7	8	23	17	21	17	42	61	32	21	52	26	17	18
Bacteria|Verrucomicrobia|Spartobacteria|Unassigned|Unassigned	4	7	5	1	4	4	34	11	20	7	11	39	12	13	17	15	5	9
Bacteria|Verrucomicrobia|Subdivision3|Unassigned|Unassigned	14	16	8	5	1	4	15	10	9	8	10	8	10	7	14	4	4	13
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Verrucomicrobiaceae	1	2	11	0	3	2	9	11	11	5	14	19	12	16	5	12	8	3
