ID,prevalence,Group
IF_093__18093,0,Y
IF_028__38897,0.0153846,Y
IF_038__99221,0.0769231,Y
S_6G13__k141_2811,0.0769231,Y
KWS_10656__106243,0.0923077,Y
IF_087-3__k141_5106,0.0615385,Y
IF_025__k141_2344,0.0307692,Y
IF_092__217808,0.0153846,Y
KWS_10464__64864,0.0461538,Y
KWS_10452__k141_68844,0.338462,Y
IF_169__7922,0.0461538,Y
IF_067__k141_100082,0.0307692,Y
IF_001__k141_38556,0.0615385,Y
S_7G26__34084,0.846154,Y
KWS_10473__158492,0.153846,Y
IF_007__k141_20119,0.0615385,Y
KWS_10894__90448,0.107692,Y
KWS_10993__k141_56466,0.769231,Y
S_7G19__16540,0.0615385,Y
IF_086-2__k141_44814,0.0769231,Y
KWS_10903__k141_115497,0.0153846,Y
KWS_10989__31344,0.830769,Y
IF_026__184049,0.0923077,Y
KWS_10641__107810,0.0307692,Y
S_7G6__52302,0.0461538,Y
KWS_10644__17671,0,Y
S_7G12__112749,0.0615385,Y
S_7G40__97335,0.123077,Y
KWS_10641__223152,0.0307692,Y
IF_100-2__69201,0,Y
IF_079__13971,0.0153846,Y
S_7G29__9946,0.0153846,Y
KWS_10906__159368,0.0461538,Y
IF_081__51746,0.0461538,Y
IF_026__k141_45990,0.0307692,Y
IF_046__38469,0.0307692,Y
KWS_10993__k141_9735,0.0153846,Y
IF_173__169335,0.107692,Y
S_7G15__27200,0.169231,Y
IF_007__k141_120179,0.492308,Y
S_6G16__102631,0.0307692,Y
IF_160__23624,0,Y
IF_151__36646,0.0923077,Y
S_7G25__180202,0.0307692,Y
IF_057re__k141_60400,0,Y
IF_151__131955,0.0307692,Y
IF_065__k141_123836,0.0769231,Y
S_6G3__k141_120863,0.323077,Y
KeioHC_126__149694,0,Y
IF_099__41852,0.323077,Y
KeioHC_3__2889,0.138462,Y
KeioHC_120__101088,0.476923,Y
KWS_10653__97267,0.230769,Y
KWS_10468__74577,0.0923077,Y
IF_042-2__k141_125187,0.0615385,Y
KWS_10461__30922,0.430769,Y
KWS_10467__130531,0.0461538,Y
KeioHC_U__86150,0,Y
IF_025__130222,0,Y
IF_118__195875,0.369231,Y
KWS_10560__84526,0.0307692,Y
IF_008__21147,0.0461538,Y
S_7G46__36646,0.184615,Y
IF_053__125112,0.107692,Y
S_7G29__k141_204923,0.153846,Y
S_7G26__k141_53442,0.476923,Y
IF_150__91683,0.984615,Y
IF_160__k141_17666,0,Y
IF_164re__25328,0.0307692,Y
IF_085__95741,0,Y
KWS_10920__18163,0.0153846,Y
IF_024-2__39505,0.723077,Y
KWS_10642__12076,0.0615385,Y
IF_013__38781,0.261538,Y
IF_173__k141_125466,0.0307692,Y
IF_002-2re__k141_1965,0.0769231,Y
S_6G10__2015,0.0769231,Y
S_6G16__13257,0.0615385,Y
S_7G20__k141_32594,0.0461538,Y
IF_179__7922,0.0153846,Y
IF_072__38069,0.0461538,Y
IF_032-2__5283,0.0307692,Y
S_6G4__38781,0.0153846,Y
IF_150__29877,0.369231,Y
IF_132__1618,0.0153846,Y
IF_188__k141_84825,0.323077,Y
IF_183__k141_13711,0.0153846,Y
KeioHC_2__48037,0.0153846,Y
KWS_10656__2024,0.0153846,Y
S_7G29__12792,0.123077,Y
IF_073-2wa__k141_97607,0.0307692,Y
KWS_10900__k141_24166,0.0307692,Y
KWS_10991__20934,0,Y
KWS_10477__16249,0.138462,Y
IF_110__23318,0.0153846,Y
S_6G15__18042,0.630769,Y
IF_153__40575,0.107692,Y
IF_138__2015,0.169231,Y
IF_101-2__11169,0.0461538,Y
IF_110__29251,0.123077,Y
KWS_10567__52968,0.2,Y
KeioHC_7__116262,0.0153846,Y
IF_069__264563,0.0615385,Y
IF_173__91048,0.107692,Y
IF_011__202164,0.953846,Y
S_6G14__69799,0.384615,Y
IF_114__261173,0.153846,Y
IF_086__22801,0.0615385,Y
S_6G12__89470,0.0461538,Y
KeioHC_124__6905,0.138462,Y
S_6G10__54370,0,Y
S_6G11__k141_16374,0.138462,Y
IF_123__184432,0.0153846,Y
IF_031__k141_3946,0,Y
IF_045__24144,0.338462,Y
KeioHC_110__59065,0.0307692,Y
IF_150__141023,0.892308,Y
KWS_11009__k141_121230,0,Y
IF_030-2__19357,0.215385,Y
KWS_10641__47065,0,Y
S_6G14__25092,0.123077,Y
IF_059__1729,0.584615,Y
S_7G28__171155,0.876923,Y
IF_087__2667,0.0615385,Y
KWS_10985__k141_115466,0.0461538,Y
KWS_10459__189900,0,Y
KWS_10547__18163,0.138462,Y
S_7G34__35304,0.769231,Y
IF_092-2__6697,0.215385,Y
IF_022__214989,0.230769,Y
IF_012__279532,0,Y
KeioHC_12__189388,0.0461538,Y
S_7G31__67163,0.261538,Y
IF_104__k141_81810,0.0153846,Y
S_7G30__3596,0.523077,Y
KeioHC_7__9060,0.138462,Y
KWS_10984__88369,0.107692,Y
KWS_11000__84656,0.0615385,Y
IF_128__36597,0.107692,Y
IF_164re__31484,0.0461538,Y
IF_093__16564,0.446154,Y
KWS_11003__14458,0.169231,Y
IF_173__7488,0,Y
IF_100__43939,0.0153846,Y
KWS_10636__k141_15331,0.0615385,Y
S_6G11__k141_103064,0.184615,Y
S_6G7__57087,0,Y
S_6G6__21255,0.2,Y
IF_020-2__11524,0.861538,Y
S_6G2__134962,0.0769231,Y
IF_030-2__120197,0.353846,Y
KWS_10567__125765,0.0769231,Y
S_7G47__190759,0.123077,Y
IF_065-2__k141_101873,0.153846,Y
KeioHC_9__39776,0.646154,Y
IF_095__208761,0,Y
KeioHC_14__16870,0.246154,Y
KWS_10999__104058,0.0923077,Y
IF_028__27063,0.692308,Y
IF_155__16870,0.0769231,Y
KeioHC_15__38139,0,Y
S_7G27__10902,0.907692,Y
S_6G15__k141_8635,0.984615,Y
KWS_10910__204925,0.0153846,Y
S_6G1__42191,0.0461538,Y
IF_057re__14026,0.169231,Y
IF_101__23542,0.0307692,Y
KWS_10648__133286,0.0153846,Y
KWS_10461__44896,0.123077,Y
IF_170__47388,0.0153846,Y
IF_093__2410,0.0153846,Y
S_6G1__113521,0.0615385,Y
IF_067__58878,0,Y
KWS_10638__19423,0.0153846,Y
IF_140__11672,0.0307692,Y
KWS_10641__k141_21241,0,Y
IF_073wa__16583,0.138462,Y
KWS_10476__95364,0.707692,Y
IF_114__265927,0.353846,Y
KWS_10550__77414,0,Y
KeioHC_124__65211,0.169231,Y
KWS_10476__10438,0,Y
IF_121wa__111404,0.0461538,Y
S_6G11__9946,0.523077,Y
S_6G14__7051,0.0769231,Y
KWS_10897__8385,0.0307692,Y
KWS_10543__61391,0.123077,Y
IF_049__k141_21465,0.0461538,Y
IF_165__39358,0,Y
S_7G2__60312,0,Y
KWS_11008__19993,0,Y
KWS_10649__k141_31852,0,Y
KWS_10910__82437,0.0461538,Y
S_7G29__13257,0.169231,Y
KWS_10633__6697,0.0923077,Y
S_7G18__122370,0.0615385,Y
KWS_10648__902,0,Y
IF_030-2__35497,0.0153846,Y
IF_101__10918,0,Y
S_6G12__289988,0.0769231,Y
KWS_10993__12238,0,Y
IF_130__171,0,Y
KWS_10987__k141_30382,0.0769231,Y
KWS_10997__133400,0.0615385,Y
S_7G8__k141_91970,0,Y
S_6G11__75251,0.0153846,Y
IF_100-2__k141_18033,0.0923077,Y
IF_148__k141_14737,0.0307692,Y
IF_099__34970,0.169231,Y
S_7G1__43172,0,Y
IF_025__36764,0.0615385,Y
S_7G10__1093,0.0769231,Y
KeioHC_5__23896,0.0615385,Y
S_7G16__28471,0,Y
IF_030-2__14414,0.169231,Y
S_7G30__220697,0.630769,Y
KWS_10632__14836,0.230769,Y
IF_086__k141_59579,0.353846,Y
S_7G10__2015,0.215385,Y
S_7G25__89,0.0461538,Y
KWS_10915__246368,0,Y
IF_62-2__65056,0.507692,Y
S_7G34__58269,0.861538,Y
IF_151__k141_67430,0.0769231,Y
S_6G6__14233,0.492308,Y
KWS_10648__194112,0.138462,Y
IF_121wa__79017,0.0769231,Y
S_7G21__41852,0.138462,Y
IF_073-2wa__3133,0.184615,Y
S_6G6__k141_157021,0.0615385,Y
IF_076__k141_75305,0.107692,Y
IF_008__3116,0.184615,Y
IF_148__k141_79956,0.169231,Y
KWS_10452__211928,0.0307692,Y
KeioHC_7__12951,0.938462,Y
IF_160__17108,0.0307692,Y
S_7G10__k141_108677,0.0153846,Y
KWS_10463__127927,0.0153846,Y
KWS_10639__153869,0.0153846,Y
KWS_10633__k141_68498,0.0307692,Y
IF_109__25807,0.246154,Y
KWS_10481__83245,0.107692,Y
KWS_11000__k141_115083,0,Y
