ID,Color,Type,Group
KeioHC_106__200672,#000000,ref,ref
KWS_10545__238221,#000000,ref,ref
IF_012__80267,#000000,ref,ref
IF_121wa__42694,#000000,ref,ref
IF_060__28881,#000000,ref,ref
IF_179__130228,#000000,ref,ref
IF_121wa__20136,#000000,ref,ref
KWS_11003__14458,#000000,ref,ref
IF_082__111626,#000000,ref,ref
IF_177__8829,#000000,ref,ref
IF_064__24534,#000000,ref,ref
KWS_11003__149242,#000000,ref,ref
KWS_10911__40404,#000000,ref,ref
KeioHC_108__110129,#000000,ref,ref
S_7G10__53746,#000000,ref,ref
KWS_10643__3405,#000000,ref,ref
IF_064__17799,#000000,ref,ref
S_7G16__342,#000000,ref,ref
KWS_10997__22752,#000000,ref,ref
KeioHC_113__268141,#000000,ref,ref
IF_004__12188,#000000,ref,ref
S_7G31__6708,#000000,ref,ref
KeioHC_K2__169156,#000000,ref,ref
IF_012__165645,#000000,ref,ref
KeioHC_4__55362,#000000,ref,ref
IF_163__120680,#000000,ref,ref
IF_048__76245,#000000,ref,ref
S_6G1__45899,#000000,ref,ref
IF_047-2__39847,#000000,ref,ref
S_7G20__59111,#000000,ref,ref
KeioHC_113__131747,#000000,ref,ref
IF_064__120845,#000000,ref,ref
S_6G3__129960,#000000,ref,ref
IF_068__100597,#000000,ref,ref
IF_114__25813,#000000,ref,ref
KeioHC_5__186525,#000000,ref,ref
IF_064__274203,#000000,ref,ref
KeioHC_124__77198,#000000,ref,ref
IF_030-2__5712,#000000,ref,ref
IF_092-2__89044,#000000,ref,ref
KWS_10476__64213,#000000,ref,ref
S_7G4__269683,#000000,ref,ref
IF_005__121874,#000000,ref,ref
S_7G44__179222,#000000,ref,ref
IF_001__19225,#000000,ref,ref
KWS_10896__156149,#000000,ref,ref
IF_176__18956,#000000,ref,ref
KWS_10652__17489,#000000,ref,ref
S_7G38__12928,#000000,ref,ref
IF_110__1241,#000000,ref,ref
IF_016__6498,#000000,ref,ref
IF_015__36054,#000000,ref,ref
KWS_10549__139362,#000000,ref,ref
IF_068__12188,#000000,ref,ref
KeioHC_110__13952,#000000,ref,ref
KeioHC_15__19541,#000000,ref,ref
KWS_10651__54552,#000000,ref,ref
IF_166__12306,#000000,ref,ref
KWS_10549__4986,#000000,ref,ref
IF_055-2__39701,#000000,ref,ref
KWS_11007__49707,#000000,ref,ref
KWS_10547__59915,#000000,ref,ref
S_6G3__34970,#000000,ref,ref
IF_100__8443,#000000,ref,ref
S_6G7__11434,#000000,ref,ref
IF_185__50056,#000000,ref,ref
KWS_10538__17551,#000000,ref,ref
S_7G26__41372,#000000,ref,ref
IF_157__80625,#000000,ref,ref
KWS_10480__111496,#000000,ref,ref
KWS_10784__10302,#000000,ref,ref
S_6G14__7051,#000000,ref,ref
KWS_10912__149392,#000000,ref,ref
S_7G3__202327,#000000,ref,ref
KWS_10985__94362,#000000,ref,ref
KWS_10465__76550,#000000,ref,ref
KWS_10661__31344,#000000,ref,ref
S_7G18__18608,#000000,ref,ref
IF_117__103964,#000000,ref,ref
KWS_10477__131586,#000000,ref,ref
KWS_10558__78299,#000000,ref,ref
S_7G39__182564,#000000,ref,ref
KWS_11001__20018,#000000,ref,ref
KWS_11007__232854,#000000,ref,ref
IF_155__14193,#000000,ref,ref
IF_082__19056,#000000,ref,ref
KeioHC_13__45354,#000000,ref,ref
IF_064__2265,#000000,ref,ref
KWS_10896__11163,#000000,ref,ref
KWS_10984__111578,#000000,ref,ref
IF_182__11672,#000000,ref,ref
KeioHC_124__6905,#000000,ref,ref
KeioHC_123__171544,#000000,ref,ref
KWS_10661__21242,#000000,ref,ref
IF_169__60386,#000000,ref,ref
KWS_10540__27072,#000000,ref,ref
S_7G10__33246,#000000,ref,ref
S_7G8__17058,#000000,ref,ref
KeioHC_113__20227,#000000,ref,ref
KWS_10997__65105,#000000,ref,ref
S_6G8__121048,#000000,ref,ref
KeioHC_10__27789,#000000,ref,ref
KWS_10547__43706,#000000,ref,ref
KWS_10661__6703,#000000,ref,ref
IF_149__106617,#000000,ref,ref
S_7G47__62329,#000000,ref,ref
IF_175re__34143,#000000,ref,ref
KeioHC_118__19859,#000000,ref,ref
S_7G15__205757,#000000,ref,ref
IF_028__26292,#000000,ref,ref
IF_032__52848,#000000,ref,ref
KWS_10539__76489,#000000,ref,ref
IF_076__143490,#000000,ref,ref
KWS_10895__101502,#000000,ref,ref
S_7G3__26659,#000000,ref,ref
S_7G19__149394,#000000,ref,ref
IF_082__18661,#000000,ref,ref
S_7G45__37420,#000000,ref,ref
IF_030-2__148157,#000000,ref,ref
IF_055__84945,#000000,ref,ref
KWS_10466__36970,#000000,ref,ref
IF_111__97872,#000000,ref,ref
IF_103__13575,#000000,ref,ref
KWS_10985__1093,#000000,ref,ref
IF_140__24484,#000000,ref,ref
IF_087-2__49506,#000000,ref,ref
IF_137__83433,#000000,ref,ref
IF_050__55627,#000000,ref,ref
IF_032-2__19056,#000000,ref,ref
KWS_10987__82306,#000000,ref,ref
IF_068__19406,#000000,ref,ref
KWS_10631__42322,#000000,ref,ref
IF_103__43500,#000000,ref,ref
S_6G15__109401,#000000,ref,ref
S_6G4__36452,#000000,ref,ref
KWS_10477__12366,#000000,ref,ref
IF_103__184677,#000000,ref,ref
KWS_10547__61722,#000000,ref,ref
KWS_10639__78162,#000000,ref,ref
IF_177__237633,#000000,ref,ref
KWS_10648__246651,#000000,ref,ref
IF_137__9409,#000000,ref,ref
IF_128__20896,#000000,ref,ref
IF_004__32207,#000000,ref,ref
IF_127__217685,#000000,ref,ref
KWS_10911__19225,#000000,ref,ref
IF_187__43500,#000000,ref,ref
IF_007__11272,#000000,ref,ref
KWS_10560__286018,#000000,ref,ref
IF_009__91927,#000000,ref,ref
S_7G10__16727,#000000,ref,ref
KWS_10548__19056,#000000,ref,ref
IF_114__265927,#000000,ref,ref
KWS_10996__26150,#000000,ref,ref
KeioHC_114__34532,#000000,ref,ref
KeioHC_13__14311,#000000,ref,ref
KWS_10992re__76754,#000000,ref,ref
KWS_10642__12076,#000000,ref,ref
IF_071__102395,#000000,ref,ref
KWS_10997__47543,#000000,ref,ref
IF_084__16230,#000000,ref,ref
S_7G34__44106,#000000,ref,ref
IF_008__7965,#000000,ref,ref
IF_026__69974,#000000,ref,ref
KWS_10546__157475,#000000,ref,ref
KeioHC_4__6326,#000000,ref,ref
KWS_10549__11395,#000000,ref,ref
S_6G5__38730,#000000,ref,ref
IF_171__47543,#000000,ref,ref
S_6G1__10617,#000000,ref,ref
S_7G28__16280,#000000,ref,ref
KeioHC_3__39662,#000000,ref,ref
IF_092__5624,#000000,ref,ref
IF_041__213587,#000000,ref,ref
IF_086__42326,#000000,ref,ref
KWS_10551__7571,#000000,ref,ref
IF_179__74152,#000000,ref,ref
IF_033__180513,#000000,ref,ref
KeioHC_114__43500,#000000,ref,ref
KWS_10549__62329,#000000,ref,ref
IF_087__14685,#000000,ref,ref
IF_085__53210,#000000,ref,ref
IF_096__26684,#000000,ref,ref
KeioHC_14__49019,#000000,ref,ref
IF_019__68470,#000000,ref,ref
IF_047__132127,#000000,ref,ref
KWS_10900__135854,#000000,ref,ref
KWS_10989__123507,#000000,ref,ref
IF_002-2re__141637,#000000,ref,ref
IF_053__51943,#000000,ref,ref
S_7G14__212491,#000000,ref,ref
S_7G6__82075,#000000,ref,ref
IF_025__25148,#000000,ref,ref
S_7G30__220697,#000000,ref,ref
IF_129__43103,#000000,ref,ref
IF_013__28521,#000000,ref,ref
S_7G32__28738,#000000,ref,ref
KeioHC_124__166682,#000000,ref,ref
KeioHC_4__185943,#000000,ref,ref
IF_047-2__17970,#000000,ref,ref
KeioHC_3__48245,#000000,ref,ref
IF_095__148567,#000000,ref,ref
KeioHC_10__45848,#000000,ref,ref
IF_063__156462,#000000,ref,ref
IF_022__43103,#000000,ref,ref
IF_091__172678,#000000,ref,ref
IF_030-2__97030,#000000,ref,ref
IF_163__20645,#000000,ref,ref
KWS_10996__274641,#000000,ref,ref
KWS_10461__127557,#000000,ref,ref
IF_131__77598,#000000,ref,ref
KeioHC_2__238453,#000000,ref,ref
KWS_11008__98753,#000000,ref,ref
IF_148__44529,#000000,ref,ref
S_6G6__104964,#000000,ref,ref
KWS_10549__38395,#000000,ref,ref
S_7G3__37605,#000000,ref,ref
KeioHC_119__106857,#000000,ref,ref
KeioHC_117__9870,#000000,ref,ref
KWS_10656__72538,#000000,ref,ref
IF_151__24671,#000000,ref,ref
IF_012__142294,#000000,ref,ref
KWS_10636__187844,#000000,ref,ref
KWS_10465__79083,#000000,ref,ref
S_7G19__72059,#000000,ref,ref
IF_072__76385,#000000,ref,ref
IF_62-2__21098,#000000,ref,ref
S_7G27__155489,#000000,ref,ref
IF_097__224867,#000000,ref,ref
KWS_10987__102976,#000000,ref,ref
IF_163__8258,#000000,ref,ref
KWS_10994__183661,#000000,ref,ref
IF_068__5085,#000000,ref,ref
IF_084__176064,#000000,ref,ref
KWS_11008__3879,#000000,ref,ref
IF_101__117023,#000000,ref,ref
IF_150__11332,#000000,ref,ref
KWS_10636__48807,#000000,ref,ref
IF_013__11929,#000000,ref,ref
KWS_10655__85615,#000000,ref,ref
KeioHC_I2__46130,#000000,ref,ref
S_7G45__86087,#000000,ref,ref
IF_007__14311,#000000,ref,ref
KWS_10539__212959,#000000,ref,ref
S_7G8__35944,#000000,ref,ref
IF_100__38885,#000000,ref,ref
IF_019__136617,#000000,ref,ref
IF_032-2__229848,#000000,ref,ref
IF_032-2__283778,#000000,ref,ref
KWS_10917__126789,#000000,ref,ref
KWS_10996__170045,#000000,ref,ref
IF_008__60088,#000000,ref,ref
IF_117__78602,#000000,ref,ref
IF_029__37083,#000000,ref,ref
S_6G4__34094,#000000,ref,ref
KWS_10466__19578,#000000,ref,ref
IF_154rewa__37814,#000000,ref,ref
S_6G15__209578,#000000,ref,ref
KWS_11002__138243,#000000,ref,ref
KeioHC_10__226873,#000000,ref,ref
IF_184__111337,#000000,ref,ref
KeioHC_109__34512,#000000,ref,ref
S_7G31__6057,#000000,ref,ref
IF_011__4541,#000000,ref,ref
KWS_10546__81925,#000000,ref,ref
KWS_10661__196760,#000000,ref,ref
IF_087-2__144270,#000000,ref,ref
KWS_10648__21704,#000000,ref,ref
S_7G15__139519,#000000,ref,ref
S_7G28__80864,#000000,ref,ref
IF_032-2__5283,#000000,ref,ref
S_7G46__3221,#000000,ref,ref
KWS_10912__55627,#000000,ref,ref
IF_068__15103,#000000,ref,ref
IF_124__43153,#000000,ref,ref
KWS_10631__66326,#000000,ref,ref
S_7G22__99835,#000000,ref,ref
IF_179__38449,#000000,ref,ref
S_7G34__224115,#000000,ref,ref
S_7G12__55362,#000000,ref,ref
KeioHC_I2__28924,#000000,ref,ref
IF_077__26858,#000000,ref,ref
IF_029__102480,#000000,ref,ref
IF_071__82151,#000000,ref,ref
KeioHC_13__65135,#000000,ref,ref
S_7G39__12951,#000000,ref,ref
IF_101-2__66568,#000000,ref,ref
S_7G31__32792,#000000,ref,ref
IF_155__16105,#000000,ref,ref
IF_014-2__4327,#000000,ref,ref
IF_156__12182,#000000,ref,ref
KWS_10547__166759,#000000,ref,ref
S_7G44__210388,#000000,ref,ref
KeioHC_4__222863,#000000,ref,ref
IF_095__34942,#000000,ref,ref
S_7G24__19357,#000000,ref,ref
IF_087__221574,#000000,ref,ref
KWS_10911__8191,#000000,ref,ref
KWS_10560__20136,#000000,ref,ref
KWS_10984__80267,#000000,ref,ref
IF_106__13586,#000000,ref,ref
IF_014-2__17551,#000000,ref,ref
S_6G14__19700,#000000,ref,ref
IF_011__240519,#000000,ref,ref
KWS_10911__27908,#000000,ref,ref
IF_038__23881,#000000,ref,ref
S_6G11__21937,#000000,ref,ref
S_7G5__280,#000000,ref,ref
KeioHC_4__49220,#000000,ref,ref
KWS_10563__102495,#000000,ref,ref
S_7G20__17058,#000000,ref,ref
KWS_10560__33078,#000000,ref,ref
IF_102-2__61829,#000000,ref,ref
S_7G7__208761,#000000,ref,ref
KWS_10477__159621,#000000,ref,ref
IF_029__5712,#000000,ref,ref
KWS_10549__17118,#000000,ref,ref
KWS_11008__235058,#000000,ref,ref
KWS_10476__56768,#000000,ref,ref
KWS_11008__11181,#000000,ref,ref
S_7G16__1679,#000000,ref,ref
S_7G14__13173,#000000,ref,ref
KWS_10994__196337,#000000,ref,ref
S_7G32__40463,#000000,ref,ref
IF_166__147471,#000000,ref,ref
IF_028__42067,#000000,ref,ref
S_7G8__105715,#000000,ref,ref
KeioHC_K2__3596,#000000,ref,ref
S_7G29__38116,#000000,ref,ref
KWS_10638__78626,#000000,ref,ref
KWS_10480__37844,#000000,ref,ref
S_7G45__156495,#000000,ref,ref
IF_187__116316,#000000,ref,ref
IF_164re__31484,#000000,ref,ref
KWS_10558__203804,#000000,ref,ref
IF_091__62620,#000000,ref,ref
KWS_10473__13886,#000000,ref,ref
IF_029-2__93621,#000000,ref,ref
IF_163__3941,#000000,ref,ref
IF_071-2__2410,#000000,ref,ref
S_7G8__65592,#000000,ref,ref
KWS_10486__73244,#000000,ref,ref
KWS_10904__82699,#000000,ref,ref
KWS_10466__119175,#000000,ref,ref
KWS_11001__209128,#000000,ref,ref
KWS_10998__12435,#000000,ref,ref
IF_096__18815,#000000,ref,ref
KWS_10997__14986,#000000,ref,ref
KeioHC_110__17309,#000000,ref,ref
IF_110__29251,#000000,ref,ref
IF_151__144272,#000000,ref,ref
S_6G5__52548,#000000,ref,ref
IF_036__34813,#000000,ref,ref
S_7G15__156891,#000000,ref,ref
S_7G33__29007,#000000,ref,ref
S_7G33__38746,#000000,ref,ref
IF_087-2__77508,#000000,ref,ref
IF_068__1069,#000000,ref,ref
S_6G8__34691,#000000,ref,ref
IF_008__65543,#000000,ref,ref
IF_087-3__91927,#000000,ref,ref
KWS_10637__167355,#000000,ref,ref
IF_160__17108,#000000,ref,ref
KWS_11007__52697,#000000,ref,ref
KeioHC_121__180817,#000000,ref,ref
IF_179__27908,#000000,ref,ref
KWS_10548__108944,#000000,ref,ref
KeioHC_13__286664,#000000,ref,ref
S_7G29__69023,#000000,ref,ref
KWS_10655__69187,#000000,ref,ref
KWS_11000__166234,#000000,ref,ref
IF_158__175024,#000000,ref,ref
IF_029__113798,#000000,ref,ref
KWS_10893__8093,#000000,ref,ref
IF_032-2__78171,#000000,ref,ref
IF_086-2__1093,#000000,ref,ref
IF_092__292815,#000000,ref,ref
S_6G3__208986,#000000,ref,ref
S_6G2__31524,#000000,ref,ref
S_7G7__225732,#000000,ref,ref
KeioHC_3__178401,#000000,ref,ref
IF_068-2__52395,#000000,ref,ref
IF_101-2__4919,#000000,ref,ref
KWS_10900__246467,#000000,ref,ref
S_7G30__51839,#000000,ref,ref
S_7G28__6905,#000000,ref,ref
S_7G25__114465,#000000,ref,ref
KWS_10463__19055,#000000,ref,ref
S_6G11__216448,#000000,ref,ref
IF_177__23580,#000000,ref,ref
KeioHC_116__224036,#000000,ref,ref
IF_011__12314,#000000,ref,ref
KWS_10650__216,#000000,ref,ref
IF_061__263994,#000000,ref,ref
IF_091__53749,#000000,ref,ref
IF_086-2__2410,#000000,ref,ref
IF_046-2__5426,#000000,ref,ref
KeioHC_113__116678,#000000,ref,ref
S_7G27__9847,#000000,ref,ref
KWS_10910__246890,#000000,ref,ref
IF_087-2__46011,#000000,ref,ref
KWS_10558__254344,#000000,ref,ref
KWS_10896__11309,#000000,ref,ref
S_7G25__18341,#000000,ref,ref
IF_163__106342,#000000,ref,ref
IF_071-2__35745,#000000,ref,ref
IF_101-2__9870,#000000,ref,ref
IF_022__33838,#000000,ref,ref
IF_029__115809,#000000,ref,ref
IF_014-2__165141,#000000,ref,ref
KWS_10551__15890,#000000,ref,ref
KeioHC_14__34928,#000000,ref,ref
IF_096__14920,#000000,ref,ref
KWS_10649__71909,#000000,ref,ref
IF_121wa__47529,#000000,ref,ref
KeioHC_13__473,#000000,ref,ref
KWS_10648__24329,#000000,ref,ref
S_7G15__23160,#000000,ref,ref
KWS_10996__230919,#000000,ref,ref
IF_086__15878,#000000,ref,ref
S_7G8__90914,#000000,ref,ref
KWS_10477__72537,#000000,ref,ref
IF_068-2__212395,#000000,ref,ref
KWS_10903__69216,#000000,ref,ref
IF_072__22201,#000000,ref,ref
S_6G8__209321,#000000,ref,ref
IF_017__71038,#000000,ref,ref
IF_159__6481,#000000,ref,ref
S_6G14__89101,#000000,ref,ref
IF_099__122944,#000000,ref,ref
IF_107__8912,#000000,ref,ref
KeioHC_107__108568,#000000,ref,ref
S_6G2__30145,#000000,ref,ref
S_7G43__19802,#000000,ref,ref
KWS_10657__1206,#000000,ref,ref
IF_158__23705,#000000,ref,ref
IF_130__141039,#000000,ref,ref
IF_067__42067,#000000,ref,ref
KWS_10987__186258,#000000,ref,ref
IF_050__2661,#000000,ref,ref
S_6G3__192672,#000000,ref,ref
S_7G22__26019,#000000,ref,ref
KWS_10555__85109,#000000,ref,ref
KWS_10539__25148,#000000,ref,ref
IF_127__4008,#000000,ref,ref
S_7G28__75560,#000000,ref,ref
KWS_10477__68374,#000000,ref,ref
IF_179__52681,#000000,ref,ref
KWS_10996__38337,#000000,ref,ref
KWS_10473__58287,#000000,ref,ref
KeioHC_114__19357,#000000,ref,ref
S_7G34__34396,#000000,ref,ref
IF_128__240520,#000000,ref,ref
KeioHC_10__235227,#000000,ref,ref
S_7G6__89114,#000000,ref,ref
S_6G2__99533,#000000,ref,ref
KWS_11003__257266,#000000,ref,ref
IF_022__20787,#000000,ref,ref
IF_012__91505,#000000,ref,ref
IF_100-2__35998,#000000,ref,ref
IF_042-2__23580,#000000,ref,ref
KWS_10452__113832,#000000,ref,ref
S_6G15__8052,#000000,ref,ref
S_7G25__5565,#000000,ref,ref
KWS_10655__16727,#000000,ref,ref
KWS_11008__36452,#000000,ref,ref
S_7G45__129596,#000000,ref,ref
IF_100-2__7922,#000000,ref,ref
IF_087-3__113453,#000000,ref,ref
KeioHC_15__98753,#000000,ref,ref
KWS_10454__98902,#000000,ref,ref
S_7G28__40944,#000000,ref,ref
IF_155__7527,#000000,ref,ref
IF_175re__19001,#000000,ref,ref
KWS_10631__178360,#000000,ref,ref
KWS_10644__146908,#000000,ref,ref
IF_151__33606,#000000,ref,ref
IF_108__27289,#000000,ref,ref
KeioHC_K2__14311,#000000,ref,ref
S_7G44__12650,#000000,ref,ref
S_7G29__226322,#000000,ref,ref
S_7G50__1696,#000000,ref,ref
KWS_10996__144189,#000000,ref,ref
KeioHC_10__21993,#000000,ref,ref
IF_003__92365,#000000,ref,ref
S_6G5__83885,#000000,ref,ref
KeioHC_111__38116,#000000,ref,ref
IF_167__44852,#000000,ref,ref
IF_083__92135,#000000,ref,ref
KWS_10549__91657,#000000,ref,ref
IF_167__87416,#000000,ref,ref
IF_050__12985,#000000,ref,ref
KeioHC_9__3391,#000000,ref,ref
IF_068-2__24226,#000000,ref,ref
KeioHC_14__14472,#000000,ref,ref
S_7G47__190759,#000000,ref,ref
KWS_10998__65278,#000000,ref,ref
IF_050__11507,#000000,ref,ref
S_7G22__75435,#000000,ref,ref
IF_129__25690,#000000,ref,ref
S_7G43__6215,#000000,ref,ref
S_7G33__63989,#000000,ref,ref
S_6G5__87966,#000000,ref,ref
KWS_10896__63548,#000000,ref,ref
KWS_10895__269711,#000000,ref,ref
IF_087-3__36764,#000000,ref,ref
KWS_10567__138576,#000000,ref,ref
KWS_10897__252610,#000000,ref,ref
KWS_10632__56223,#000000,ref,ref
IF_003__175336,#000000,ref,ref
KeioHC_12__98714,#000000,ref,ref
S_7G47__51382,#000000,ref,ref
IF_121wa__17850,#000000,ref,ref
KWS_10653__55812,#000000,ref,ref
IF_148__2149,#000000,ref,ref
S_6G2__8052,#000000,ref,ref
IF_016__121205,#000000,ref,ref
IF_087-2__40317,#000000,ref,ref
IF_076__189749,#000000,ref,ref
S_7G40__168817,#000000,ref,ref
KeioHC_I2__99792,#000000,ref,ref
KWS_10993__73317,#000000,ref,ref
S_7G10__31527,#000000,ref,ref
S_7G40__23140,#000000,ref,ref
IF_063__12306,#000000,ref,ref
IF_121wa__13398,#000000,ref,ref
IF_128__180950,#000000,ref,ref
KeioHC_107__159919,#000000,ref,ref
S_6G2__81713,#000000,ref,ref
IF_087-2__243478,#000000,ref,ref
S_7G15__234509,#000000,ref,ref
KeioHC_110__145191,#000000,ref,ref
KWS_10477__289270,#000000,ref,ref
IF_061-2__20136,#000000,ref,ref
IF_164re__23547,#000000,ref,ref
S_7G40__115247,#000000,ref,ref
KWS_10894__25409,#000000,ref,ref
IF_116__44811,#000000,ref,ref
KWS_10543__61391,#000000,ref,ref
KWS_10641__54567,#000000,ref,ref
KWS_10661__118436,#000000,ref,ref
IF_003__36890,#000000,ref,ref
KeioHC_I2__52697,#000000,ref,ref
S_7G34__23846,#000000,ref,ref
KWS_10476__183851,#000000,ref,ref
IF_004__29299,#000000,ref,ref
KWS_10454__74691,#000000,ref,ref
S_7G40__219496,#000000,ref,ref
IF_049__279686,#000000,ref,ref
KWS_10476__267596,#000000,ref,ref
KeioHC_121__183748,#000000,ref,ref
KWS_10478__39385,#000000,ref,ref
IF_048__52,#000000,ref,ref
KeioHC_10__150740,#000000,ref,ref
S_7G12__172469,#000000,ref,ref
IF_012__23612,#000000,ref,ref
KWS_10903__27536,#000000,ref,ref
IF_132__10689,#000000,ref,ref
IF_086__1912,#000000,ref,ref
IF_100-2__16230,#000000,ref,ref
IF_123__170,#000000,ref,ref
IF_047-2__11524,#000000,ref,ref
S_6G6__29375,#000000,ref,ref
IF_072__103964,#000000,ref,ref
S_7G39__231896,#000000,ref,ref
S_7G46__38081,#000000,ref,ref
IF_003__49777,#000000,ref,ref
IF_053__217131,#000000,ref,ref
IF_041__34942,#000000,ref,ref
IF_112__65567,#000000,ref,ref
KWS_10648__95637,#000000,ref,ref
IF_178__26078,#000000,ref,ref
S_6G2__72799,#000000,ref,ref
KWS_10549__63831,#000000,ref,ref
KWS_10997__179138,#000000,ref,ref
S_7G20__52904,#000000,ref,ref
KeioHC_15__167902,#000000,ref,ref
IF_123__5557,#000000,ref,ref
IF_004__13138,#000000,ref,ref
IF_118__30547,#000000,ref,ref
S_6G10__3552,#000000,ref,ref
IF_007__1710,#000000,ref,ref
KWS_10567__90993,#000000,ref,ref
IF_112__78298,#000000,ref,ref
IF_122__180251,#000000,ref,ref
IF_017__16673,#000000,ref,ref
KWS_10915__129370,#000000,ref,ref
KWS_10986__295410,#000000,ref,ref
S_7G34__39769,#000000,ref,ref
IF_101__77591,#000000,ref,ref
KeioHC_14__109886,#000000,ref,ref
IF_110__26383,#000000,ref,ref
IF_104__41181,#000000,ref,ref
IF_101__121988,#000000,ref,ref
IF_167__100944,#000000,ref,ref
KWS_10991__291599,#000000,ref,ref
IF_052__26937,#000000,ref,ref
IF_104__2410,#000000,ref,ref
S_6G14__25092,#000000,ref,ref
KWS_10637__14991,#000000,ref,ref
IF_079__45631,#000000,ref,ref
S_7G20__11272,#000000,ref,ref
S_7G47__6825,#000000,ref,ref
KWS_10550__35998,#000000,ref,ref
KeioHC_111__348,#000000,ref,ref
KeioHC_112__1596,#000000,ref,ref
IF_029__72785,#000000,ref,ref
KWS_10637__41419,#000000,ref,ref
KWS_10904__30790,#000000,ref,ref
IF_092-2__8046,#000000,ref,ref
IF_046-2__23896,#000000,ref,ref
IF_137__96223,#000000,ref,ref
S_6G10__152216,#000000,ref,ref
S_6G1__51217,#000000,ref,ref
IF_082__17906,#000000,ref,ref
KWS_10486__27536,#000000,ref,ref
KeioHC_13__194187,#000000,ref,ref
IF_032__9851,#000000,ref,ref
S_7G31__49008,#000000,ref,ref
S_6G3__30616,#000000,ref,ref
IF_157__155277,#000000,ref,ref
IF_166__2410,#000000,ref,ref
IF_042-2__36736,#000000,ref,ref
KWS_10476__136617,#000000,ref,ref
IF_177__57156,#000000,ref,ref
KWS_11009__51470,#000000,ref,ref
IF_166__19056,#000000,ref,ref
IF_106__12749,#000000,ref,ref
IF_126__12871,#000000,ref,ref
IF_130__34403,#000000,ref,ref
S_6G2__134962,#000000,ref,ref
S_6G16__1974,#000000,ref,ref
IF_068__37094,#000000,ref,ref
IF_042__7657,#000000,ref,ref
KeioHC_7__3294,#000000,ref,ref
S_7G38__252090,#000000,ref,ref
IF_022__46404,#000000,ref,ref
IF_016__18608,#000000,ref,ref
S_6G6__99902,#000000,ref,ref
IF_137__21704,#000000,ref,ref
IF_111__5565,#000000,ref,ref
KWS_10997__166968,#000000,ref,ref
S_7G30__51391,#000000,ref,ref
S_6G7__201732,#000000,ref,ref
KWS_10917__18050,#000000,ref,ref
IF_046__18191,#000000,ref,ref
S_7G20__18889,#000000,ref,ref
IF_086-2__23612,#000000,ref,ref
IF_009__72059,#000000,ref,ref
IF_162__151965,#000000,ref,ref
S_7G3__52757,#000000,ref,ref
S_7G33__25634,#000000,ref,ref
KWS_11008__164985,#000000,ref,ref
KWS_10486__41439,#000000,ref,ref
IF_081__64847,#000000,ref,ref
KeioHC_108__1237,#000000,ref,ref
KWS_10633__134497,#000000,ref,ref
S_7G20__115247,#000000,ref,ref
IF_171__6635,#000000,ref,ref
S_6G7__249670,#000000,ref,ref
S_6G4__141674,#000000,ref,ref
KeioHC_122__9851,#000000,ref,ref
KeioHC_5__60286,#000000,ref,ref
S_7G24__148713,#000000,ref,ref
IF_014-2__2265,#000000,ref,ref
KWS_10784__97659,#000000,ref,ref
IF_148__8838,#000000,ref,ref
IF_177__18191,#000000,ref,ref
S_6G1__190784,#000000,ref,ref
IF_104__72336,#000000,ref,ref
KWS_10543__9323,#000000,ref,ref
IF_161__45463,#000000,ref,ref
S_6G6__14233,#000000,ref,ref
IF_004__86349,#000000,ref,ref
KWS_10476__34263,#000000,ref,ref
S_7G34__829,#000000,ref,ref
S_7G7__8052,#000000,ref,ref
IF_171__11672,#000000,ref,ref
KWS_10562__29251,#000000,ref,ref
IF_081__215509,#000000,ref,ref
IF_091__89554,#000000,ref,ref
S_7G40__159588,#000000,ref,ref
KWS_10452__205480,#000000,ref,ref
IF_122__6498,#000000,ref,ref
IF_055-2__11672,#000000,ref,ref
KWS_10481__21429,#000000,ref,ref
KWS_10985__266830,#000000,ref,ref
IF_132__37849,#000000,ref,ref
S_7G7__187835,#000000,ref,ref
KWS_10653__21936,#000000,ref,ref
IF_047__137695,#000000,ref,ref
IF_188__136780,#000000,ref,ref
S_6G10__10174,#000000,ref,ref
IF_166__23170,#000000,ref,ref
KWS_10641__5565,#000000,ref,ref
IF_025__40525,#000000,ref,ref
KWS_10661__83205,#000000,ref,ref
KWS_10558__57356,#000000,ref,ref
IF_173__59783,#000000,ref,ref
KWS_10906__81077,#000000,ref,ref
KWS_10552__48577,#000000,ref,ref
IF_137__120031,#000000,ref,ref
IF_068__52840,#000000,ref,ref
KWS_10653__88030,#000000,ref,ref
IF_118__3876,#000000,ref,ref
IF_025__2265,#000000,ref,ref
IF_064__40975,#000000,ref,ref
KWS_10994__72625,#000000,ref,ref
KWS_10909__16480,#000000,ref,ref
KWS_10653__226292,#000000,ref,ref
KWS_10651__59783,#000000,ref,ref
KWS_10459__131893,#000000,ref,ref
KeioHC_5__23896,#000000,ref,ref
IF_022__31070,#000000,ref,ref
IF_155__4370,#000000,ref,ref
IF_173__45191,#000000,ref,ref
KWS_10647__73164,#000000,ref,ref
KWS_10656__9889,#000000,ref,ref
S_7G44__17778,#000000,ref,ref
IF_101__237613,#000000,ref,ref
KWS_10896__59243,#000000,ref,ref
S_7G34__31477,#000000,ref,ref
IF_072__17058,#000000,ref,ref
IF_012__58397,#000000,ref,ref
IF_065-2__186548,#000000,ref,ref
KeioHC_I2__18267,#000000,ref,ref
KWS_10997__23896,#000000,ref,ref
KWS_10661__79835,#000000,ref,ref
