ID,Color,HostFamily
IF_117__63735,#FFBE7A,Bacteroidota
S_7G1__16438,#FFBE7A,Bacteroidota
S_7G46__36646,#FFBE7A,Bacteroidota
IF_042-2__47711,#FFBE7A,Bacteroidota
IF_112__42769,#FFBE7A,Bacteroidota
KeioHC_126__149694,#FFBE7A,Bacteroidota
KeioHC_13__58287,#FFBE7A,Bacteroidota
IF_012__k141_106486,#FFBE7A,Bacteroidota
IF_012__k141_38305,#FFBE7A,Bacteroidota
IF_020-2__k141_70469,#FFBE7A,Bacteroidota
IF_022__k141_20323,#FFBE7A,Bacteroidota
IF_068-2__k141_21136,#FFBE7A,Bacteroidota
IF_072__k141_6188,#FFBE7A,Bacteroidota
IF_076__k141_52642,#FFBE7A,Bacteroidota
IF_082__k141_101062,#FFBE7A,Bacteroidota
IF_086-2__k141_18638,#FFBE7A,Bacteroidota
IF_086-2__k141_80281,#FFBE7A,Bacteroidota
IF_086-2__k141_30091,#FFBE7A,Bacteroidota
IF_093__k141_58947,#FFBE7A,Bacteroidota
IF_104__k141_15181,#FFBE7A,Bacteroidota
IF_104__k141_72318,#FFBE7A,Bacteroidota
IF_126__k141_84362,#FFBE7A,Bacteroidota
IF_128__k141_32693,#FFBE7A,Bacteroidota
IF_151__k141_50795,#FFBE7A,Bacteroidota
IF_151__k141_3193,#FFBE7A,Bacteroidota
IF_169__k141_903,#FFBE7A,Bacteroidota
IF_173__k141_71924,#FFBE7A,Bacteroidota
IF_177__k141_154515,#FFBE7A,Bacteroidota
KWS_10468__k141_15294,#FFBE7A,Bacteroidota
KWS_10468__k141_33545,#FFBE7A,Bacteroidota
KWS_10486__k141_23916,#FFBE7A,Bacteroidota
KWS_10545__k141_16840,#FFBE7A,Bacteroidota
KWS_10635__k141_38191,#FFBE7A,Bacteroidota
KWS_10639__k141_233253,#FFBE7A,Bacteroidota
KWS_10646__k141_56655,#FFBE7A,Bacteroidota
KWS_10648__k141_109555,#FFBE7A,Bacteroidota
KWS_10649__k141_80240,#FFBE7A,Bacteroidota
KWS_10656__k141_215662,#FFBE7A,Bacteroidota
KeioHC_109__k141_40901,#FFBE7A,Bacteroidota
KeioHC_11__k141_38123,#FFBE7A,Bacteroidota
KeioHC_124__k141_25381,#FFBE7A,Bacteroidota
S_7G16__k141_132660,#FFBE7A,Bacteroidota
S_7G26__k141_99746,#FFBE7A,Bacteroidota
S_7G26__k141_151881,#FFBE7A,Bacteroidota
S_7G26__k141_55056,#FFBE7A,Bacteroidota
S_7G26__k141_42265,#FFBE7A,Bacteroidota
S_7G32__k141_91801,#FFBE7A,Bacteroidota
S_7G44__k141_148566,#FFBE7A,Bacteroidota
S_7G44__k141_148694,#FFBE7A,Bacteroidota
S_7G50__k141_4383,#FFBE7A,Bacteroidota
S_7G4__456,#aeb6b8,Desulfobacterota
IF_061-2__141,#aeb6b8,Desulfobacterota
S_7G40__347,#aeb6b8,Desulfobacterota
S_6G5__1101,#aeb6b8,Desulfobacterota
KWS_10893__674,#aeb6b8,Desulfobacterota
IF_104__229968,#aeb6b8,Desulfobacterota
IF_116__k141_5109,#aeb6b8,Desulfobacterota
KWS_10461__k141_15282,#aeb6b8,Desulfobacterota
KeioHC_U__k141_39361,#aeb6b8,Desulfobacterota
S_7G2__165273,#aeb6b8,Desulfobacterota
KeioHC_117__20517,#aeb6b8,Desulfobacterota
IF_027__31626,#aeb6b8,Desulfobacterota
KWS_10895__17945,#aeb6b8,Desulfobacterota
IF_126__51406,#aeb6b8,Desulfobacterota
S_7G19__210065,#aeb6b8,Desulfobacterota
KWS_10991__321,#aeb6b8,Desulfobacterota
IF_104__k141_66215,#aeb6b8,Desulfobacterota
IF_104__k141_57248,#aeb6b8,Desulfobacterota
KWS_10558__k141_108988,#aeb6b8,Desulfobacterota
IF_183__1088,#FA7F6F,Firmicutes
KWS_10991__348,#FA7F6F,Firmicutes
KWS_10993__1153,#FA7F6F,Firmicutes
IF_095__2630,#FA7F6F,Firmicutes
KeioHC_106__2630,#FA7F6F,Firmicutes
S_7G33__560,#FA7F6F,Firmicutes
S_6G7__234,#FA7F6F,Firmicutes
S_6G1__234,#FA7F6F,Firmicutes
IF_073wa__146,#FA7F6F,Firmicutes
IF_007__326,#FA7F6F,Firmicutes
IF_073-2wa__326,#FA7F6F,Firmicutes
S_7G6__792,#FA7F6F,Firmicutes
IF_087-2__9,#FA7F6F,Firmicutes
S_7G7__494,#FA7F6F,Firmicutes
IF_046__178,#FA7F6F,Firmicutes
S_7G51__46,#FA7F6F,Firmicutes
S_7G42__191,#FA7F6F,Firmicutes
KWS_10993__477,#FA7F6F,Firmicutes
S_6G6__80,#FA7F6F,Firmicutes
IF_091__80,#FA7F6F,Firmicutes
IF_073-2wa__154,#FA7F6F,Firmicutes
KWS_10989__318,#FA7F6F,Firmicutes
IF_016__70,#FA7F6F,Firmicutes
IF_015-2__70,#FA7F6F,Firmicutes
S_7G39__1136,#FA7F6F,Firmicutes
KWS_10893__57,#FA7F6F,Firmicutes
KWS_11002__346,#FA7F6F,Firmicutes
IF_086__197,#FA7F6F,Firmicutes
IF_017__79,#FA7F6F,Firmicutes
S_6G5__907,#FA7F6F,Firmicutes
S_6G12__215,#FA7F6F,Firmicutes
IF_175re__776,#FA7F6F,Firmicutes
IF_016__776,#FA7F6F,Firmicutes
KeioHC_4__343,#FA7F6F,Firmicutes
IF_016__114,#FA7F6F,Firmicutes
IF_036__55,#FA7F6F,Firmicutes
IF_027__73,#FA7F6F,Firmicutes
IF_177__97,#FA7F6F,Firmicutes
IF_030-2__515,#FA7F6F,Firmicutes
KWS_10903__151,#FA7F6F,Firmicutes
S_7G14__192,#FA7F6F,Firmicutes
S_7G20__40,#FA7F6F,Firmicutes
KeioHC_10__135,#FA7F6F,Firmicutes
IF_087__327,#FA7F6F,Firmicutes
KWS_10911__764,#FA7F6F,Firmicutes
S_7G4__435,#FA7F6F,Firmicutes
IF_081__435,#FA7F6F,Firmicutes
KeioHC_6__579,#FA7F6F,Firmicutes
IF_080__603,#FA7F6F,Firmicutes
IF_121wa__11,#FA7F6F,Firmicutes
S_6G11__19,#FA7F6F,Firmicutes
KeioHC_109__144,#FA7F6F,Firmicutes
IF_161__431,#FA7F6F,Firmicutes
IF_073wa__115,#FA7F6F,Firmicutes
KWS_10986__18,#FA7F6F,Firmicutes
S_6G15__153,#FA7F6F,Firmicutes
