Phylum	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
p__Ascomycota	0	0	0	0	0	0	0	234	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	35	0	43	0	0	0	0	266	92
p__Ascomycota	27	0	0	0	22	22	0	0	0	30
p__Ascomycota	0	0	0	28	25	0	0	0	26	0
p__Basidiomycota	0	0	0	0	0	0	0	0	24	42
p__Ascomycota	229	28	8202	6232	60	205	24	78	2042	220
p__Ascomycota	0	0	0	0	0	0	0	0	39	45
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	23	0	0	0	28	28
p__Basidiomycota	28	26	0	0	0	0	0	0	0	28
p__Basidiomycota	0	0	0	0	0	0	0	0	26	0
p__Basidiomycota	0	0	0	0	0	0	0	0	25	42
p__Basidiomycota	26	0	0	0	63	32	22	36	62	63
p__Basidiomycota	0	0	0	0	0	0	0	0	0	0
p__Basidiomycota	25	24	25	0	0	0	24	0	38	0
p__Basidiomycota	0	0	0	27	0	0	0	0	29	20
p__Basidiomycota	25	0	0	0	0	0	32	0	30	25
p__Basidiomycota	0	0	0	24	25	0	0	0	36	28
p__Basidiomycota	94	0	30	0	29	0	0	0	30	52
p__Basidiomycota	44	23	24	38	0	0	0	0	39	36
p__Basidiomycota	22	22	0	0	0	0	0	0	0	36
p__Basidiomycota	0	0	0	26	29	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	25
p__Ascomycota	0	0	94	93	0	0	0	0	42	27
p__Ascomycota	0	25	0	0	0	0	0	0	40	27
p__Ascomycota	0	0	22	26	0	0	0	0	29	32
p__Ascomycota	22	0	0	0	0	23	23	0	22	23
p__Ascomycota	0	0	23	0	0	0	22	0	36	40
p__Ascomycota	0	0	27	22	0	27	0	0	26	33
p__Ascomycota	28	0	0	0	27	0	25	0	32	22
p__Ascomycota	30	0	0	0	25	20	0	0	0	0
p__Ascomycota	0	0	0	25	26	0	25	0	58	32
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	22	0	0	24	23	26	0	0	32	26
p__Ascomycota	0	0	0	0	0	0	0	0	0	22
p__Ascomycota	29	0	25	0	27	26	0	0	37	23
p__Ascomycota	0	0	0	28	28	0	0	0	0	0
p__Basidiomycota	26	0	27	28	20	0	24	0	32	40
p__Ascomycota	24	23	22	24	22	0	25	0	26	33
p__Ascomycota	65	0	66	30	28	25	24	22	48	66
p__Ascomycota	29	0	0	0	27	0	0	0	22	26
p__Basidiomycota	0	26	0	0	26	0	0	23	29	28
p__Basidiomycota	47	0	24	23	29	0	0	27	32	29
p__Ascomycota	48	0	27	27	43	0	0	0	27	23
p__Ascomycota	24	24	24	23	28	0	0	0	28	88
p__Ascomycota	84	42	245	82	50	22	67	43	85	72
p__Basidiomycota	45	29	24	22	20	0	24	22	54	67
p__Basidiomycota	22	22	38	26	24	0	0	22	25	28
p__Mucoromycota	42	0	0	28	27	26	26	28	59	35
p__Mucoromycota	225	443	252	289	258	372	322	86	2420	2492
p__Mucoromycota	0	0	0	20	43	0	0	0	23	29
p__Ascomycota	58	24	35	37	32	26	23	29	29	36
p__Mucoromycota	27	26	50	43	37	26	42	26	62	48
p__Ascomycota	29	22	0	32	24	0	0	0	27	24
p__Mucoromycota	26	29	0	26	22	22	26	24	52	48
p__Ascomycota	28	0	0	29	20	26	0	62	32	22
p__Ascomycota	62	37	82	22	23	0	227	0	29	27
p__Ascomycota	20	0	28	29	22	0	27	25	36	29
p__Ascomycota	22	0	30	20	24	0	25	22	27	54
p__Ascomycota	28	0	22	20	0	0	26	22	22	23
p__Ascomycota	24	0	0	22	22	0	0	22	47	53
p__Ascomycota	565	479	222	377	358	354	205	225	2284	2244
p__Ascomycota	25	28	0	22	25	25	0	25	23	35
p__Ascomycota	222	22	74	57	26	50	29	32	64	68
p__Basidiomycota	22	0	0	0	0	0	0	0	0	0
p__Basidiomycota	88	0	44	42	40	0	0	26	27	66
p__Basidiomycota	22	28	235	25	0	0	0	20	22	29
p__Basidiomycota	28	0	0	24	0	0	0	25	24	79
p__Basidiomycota	50	0	24	0	23	0	23	22	39	27
p__Basidiomycota	25	0	24	27	22	0	20	0	25	26
p__Basidiomycota	42	27	30	0	47	0	0	0	45	72
p__Ascomycota	32	0	25	28	0	27	0	25	0	40
p__Ascomycota	22	0	22	0	0	0	27	22	26	24
p__Ascomycota	73	27	56	205	65	23	28	28	63	227
p__Ascomycota	23	0	0	23	29	0	0	22	0	24
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	28	0	0	0	0	24	28
p__Basidiomycota	23	0	0	0	20	0	0	0	22	25
p__Basidiomycota	78	22	66	243	83	53	26	48	67	92
p__Basidiomycota	0	0	0	0	0	0	0	0	0	0
p__Basidiomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	59	0	22	39	29	24	29	26	58	86
p__Ascomycota	40	22	0	22	36	0	0	0	37	32
p__Ascomycota	0	0	0	28	0	0	0	0	32	34
p__Ascomycota	0	0	0	20	0	0	0	0	25	27
p__Basidiomycota	73	24	29	48	37	25	24	36	43	38
p__Ascomycota	26	27	27	24	22	27	22	22	55	45
p__Basidiomycota	45	28	35	39	42	30	0	37	44	96
p__Basidiomycota	588	0	0	736	0	0	0	0	487	0
p__Ascomycota	27	0	0	0	30	23	0	22	32	32
p__Ascomycota	62	29	24	37	44	28	29	28	52	42
p__Ascomycota	59	24	22	56	32	0	28	29	50	227
p__Ascomycota	52	23	37	32	32	33	34	28	45	48
p__Ascomycota	99	0	0	230	0	0	0	0	204	245
p__Basidiomycota	203	334	237	0	0	444	423	0	2053	289
p__Ascomycota	2263	0	2669	827	292	0	0	0	727	2239
p__Ascomycota	237	235	308	204	293	98	250	243	265	334
p__Ascomycota	277	274	588	325	222	238	88	234	282	372
p__Ascomycota	60	46	87	226	200	59	222	34	204	62
p__Ascomycota	78	60	256	260	49	43	82	76	74	75
p__Ascomycota	53	0	69	54	49	0	0	32	28	44
p__Ascomycota	0	0	0	0	0	0	0	0	222	0
p__Ascomycota	222	0	222	239	0	228	0	0	225	224
p__Ascomycota	45	23	29	54	32	40	22	37	69	224
p__Ascomycota	25	0	0	26	43	0	24	0	29	36
p__Ascomycota	47	0	26	0	38	0	28	20	29	25
p__Mucoromycota	250	226	56	285	260	200	65	99	364	263
p__Mucoromycota	24	29	202	46	56	20	22	40	80	45
p__Mucoromycota	24	32	0	26	22	24	22	26	57	57
p__Mucoromycota	2255	82	39	243	208	209	33	57	288	328
p__Mucoromycota	3757	9280	5668	8855	4655	5724	6478	2920	27089	27984
p__Ascomycota	0	0	22	0	0	36	27	22	28	42
p__Ascomycota	0	0	22	0	0	0	0	0	70	62
p__Basidiomycota	0	0	0	23	0	0	23	0	0	23
p__Basidiomycota	42	0	65	48	25	24	0	35	37	50
p__Ascomycota	0	0	0	0	25	0	0	22	34	27
p__Ascomycota	0	50	58	34	59	0	60	28	0	42
p__Ascomycota	22	0	0	0	0	0	0	0	0	27
p__Ascomycota	0	0	0	23	24	0	0	0	44	67
p__Ascomycota	0	0	0	0	0	0	0	0	45	25
p__Ascomycota	24	0	30	25	23	0	0	0	0	50
p__Microsporidia	0	0	0	0	0	0	0	0	0	0
p__Microsporidia	0	0	0	0	0	24	28	28	23	0
p__Microsporidia	0	0	0	0	0	0	0	0	0	0
p__Microsporidia	0	0	0	0	0	0	0	0	0	0
p__Chytridiomycota	67	205	52	88	255	78	86	224	222	274
p__Ascomycota	205	0	74	94	33	36	22	29	46	36
p__Ascomycota	62	0	25	29	28	0	23	25	52	32
p__Ascomycota	0	23	0	0	45	0	0	0	26	37
p__Basidiomycota	24	0	0	42	28	0	0	0	26	35
p__Ascomycota	26	0	29	25	25	0	0	29	26	26
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	22	0	29	0	0	22	0	27	92
p__Ascomycota	52	0	0	0	34	24	0	25	20	23
p__Ascomycota	32	0	0	39	0	0	0	0	29	28
p__Ascomycota	226	32	220	78	47	63	24	39	66	220
p__Microsporidia	2969	42	295	22	333	25	742	33	79	39
p__Basidiomycota	22	0	0	25	23	0	0	0	25	33
p__Ascomycota	0	0	290	202	0	0	0	0	29	27
p__Ascomycota	0	0	23	20	0	0	0	0	0	24
p__Ascomycota	32	25	30	27	28	0	0	0	49	56
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	27	0	0	26	27	23	0	22	25	22
p__Ascomycota	39	26	23	32	25	22	38	27	45	76
p__Ascomycota	23	22	32	22	38	42	0	23	37	72
p__Ascomycota	64	0	24	24	20	0	0	20	34	44
p__Ascomycota	23	28	52	27	33	29	0	0	48	94
p__Ascomycota	42	0	90	65	29	22	0	0	43	32
p__Ascomycota	33	23	20	32	42	22	27	25	55	62
p__Ascomycota	42	22	26	38	23	26	0	25	50	57
p__Ascomycota	69	25	55	45	53	27	26	40	74	64
p__Ascomycota	30	0	0	26	23	0	25	0	48	28
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	37	24	83	96	29	0	34	0	59	33
p__Basidiomycota	0	0	22	25	0	0	24	29	20	28
p__Ascomycota	35	0	0	29	32	0	0	0	24	79
p__Ascomycota	33	0	0	34	0	0	0	0	26	53
p__Cryptomycota	22	0	0	0	0	0	0	0	0	27
p__Ascomycota	207	0	22	0	0	0	23	27	26	34
p__Mucoromycota	27	29	24	33	27	0	0	0	30	24
p__Ascomycota	32	24	280	252	23	0	0	0	27	0
p__Basidiomycota	524	290	2580	286	287	66	2998	4349	905	202
p__Basidiomycota	0	0	0	22	0	0	26	0	20	0
p__Basidiomycota	32	0	0	0	20	0	0	0	27	32
p__Ascomycota	0	0	23	28	0	0	0	0	26	29
p__Ascomycota	0	23	20	82	20	0	0	0	37	22
p__Ascomycota	20	0	24	23	27	0	0	22	27	23
p__Ascomycota	27	0	0	26	22	0	20	29	24	22
p__Ascomycota	38	36	304	269	256	57	26	40	265	285
p__Ascomycota	0	0	0	0	0	0	0	0	25	0
p__Ascomycota	0	0	0	0	0	0	0	0	28	0
p__Ascomycota	37	0	0	26	23	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	38	32
p__Ascomycota	22	0	32	38	0	22	0	25	35	25
p__Ascomycota	55	0	226	26	22	70	32	28	232	52
p__Ascomycota	27	0	93	0	26	0	0	0	24	27
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	24	27	25	0	0	0	32	39
p__Ascomycota	0	0	0	0	27	0	0	0	23	24
p__Ascomycota	23	0	0	23	23	27	0	0	26	0
p__Ascomycota	0	0	28	35	22	22	20	25	49	42
p__Ascomycota	24	0	0	0	43	0	0	0	0	25
p__Ascomycota	0	0	34	0	22	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	22	0	0	0	22	0
p__Ascomycota	46	0	28	0	28	0	35	0	0	26
p__Ascomycota	0	24	0	0	0	0	0	0	27	23
p__Ascomycota	0	0	0	0	0	0	28	0	0	0
p__Ascomycota	677	0	2222	2290	276	242	246	362	468	223
p__Ascomycota	23	0	28	28	24	0	0	0	40	22
p__Ascomycota	8722	4327	7300	3666	4042	2288	2985	2072	8342	8920
p__Ascomycota	570	249	464	689	794	249	263	395	499	624
p__Ascomycota	600	353	263	435	409	349	223	422	864	746
p__Ascomycota	22	0	0	25	25	0	0	0	24	29
p__Ascomycota	0	0	0	0	0	0	0	0	449	27
p__Ascomycota	23	0	88	82	22	0	25	23	39	34
p__Ascomycota	0	0	22	23	23	0	0	0	22	20
p__Ascomycota	29	22	0	0	0	23	0	0	23	23
p__Ascomycota	29	0	0	0	27	0	0	0	42	33
p__Ascomycota	220	0	27	0	57	0	29	0	22	26
p__Ascomycota	0	0	0	0	26	0	0	27	0	0
p__Basidiomycota	50	0	26	69	22	26	0	27	29	36
p__Ascomycota	22	0	22	24	24	0	0	22	30	29
p__Ascomycota	29	0	30	29	24	0	0	0	29	45
p__Ascomycota	32	27	24	34	26	20	24	27	79	69
p__Ascomycota	47	0	82	42	24	0	59	32	60	77
p__Ascomycota	30	26	0	28	29	0	0	25	26	87
p__Ascomycota	74	57	20	24	27	35	45	45	257	222
p__Basidiomycota	0	0	62	0	32	0	24	0	0	0
p__Basidiomycota	23	0	46	25	23	0	0	25	36	22
p__Basidiomycota	82	27	229	59	56	56	252	27	23	67
p__Basidiomycota	20	20	28	26	28	28	0	27	28	24
p__Ascomycota	20	25	0	27	22	0	28	24	28	57
p__Ascomycota	37	22	38	22	0	24	0	0	27	22
p__Basidiomycota	36	0	25	35	28	0	0	20	23	83
p__Mucoromycota	40	27	0	67	23	23	46	26	88	76
p__Ascomycota	27	26	0	0	34	0	0	0	24	0
p__Ascomycota	26	36	25	0	85	25	48	45	286	23
p__Ascomycota	0	23	0	22	24	0	24	22	36	27
p__Ascomycota	25	0	298	0	47	0	235	22	27	27
p__Ascomycota	0	0	0	0	26	0	0	0	0	38
p__Ascomycota	0	0	0	0	0	24	0	0	27	28
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	29	0
p__Ascomycota	80	272	204	223	99	243	322	86	307	584
p__Basidiomycota	22	0	0	0	0	0	23	0	27	25
p__Chytridiomycota	20	29	0	27	69	34	26	59	92	94
p__Basidiomycota	24	0	0	23	27	0	22	0	32	24
p__Basidiomycota	55	23	0	24	26	29	29	25	42	49
p__Ascomycota	26	0	26	0	32	0	0	0	32	22
p__Ascomycota	27	0	23	0	22	0	0	0	25	29
p__Ascomycota	30	0	0	30	27	24	26	22	24	90
p__Basidiomycota	28	0	0	28	0	0	22	0	22	26
p__Basidiomycota	24	0	25	27	0	0	0	0	33	23
p__Basidiomycota	22	0	0	24	22	25	25	23	47	42
p__Ascomycota	0	0	0	0	0	0	0	0	28	32
p__Ascomycota	0	0	0	0	24	0	0	23	30	23
p__Ascomycota	0	0	0	0	0	0	0	0	29	23
p__Ascomycota	0	0	0	0	0	0	0	0	26	0
p__Ascomycota	0	0	0	0	23	0	0	0	27	37
p__Ascomycota	27	0	0	0	25	0	0	0	24	20
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	26	22	22	27	23	0	22	0	34	27
p__Mucoromycota	69	26	42	40	26	25	27	20	58	92
p__Ascomycota	0	22	22	0	60	23	0	0	35	24
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Basidiomycota	25	0	0	0	27	0	28	0	25	48
p__Basidiomycota	35	0	34	24	26	0	0	0	25	0
p__Ascomycota	20	0	0	0	25	0	0	0	29	52
p__Basidiomycota	48	29	29	22	29	25	0	0	46	62
p__Chytridiomycota	27	0	32	0	33	0	25	26	24	48
p__Ascomycota	36	0	28	25	0	22	0	0	26	42
p__Ascomycota	0	0	22	33	0	0	0	0	25	0
p__Ascomycota	0	0	229	58	39	0	0	0	38	33
p__Ascomycota	28	0	50	30	23	0	0	27	32	32
p__Ascomycota	39	26	25	23	23	32	23	0	53	35
p__Ascomycota	256	204	444	399	220	229	52	88	273	407
p__Ascomycota	0	0	0	24	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	20	52	43	25	0	28	0	0	36	26
p__Ascomycota	83	0	365	236	99	84	0	47	277	202
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	62	0	0	0
p__Ascomycota	0	0	23	20	0	0	0	0	28	0
p__Ascomycota	0	48	0	38	0	0	0	0	62	56
p__Ascomycota	0	0	0	0	0	0	0	0	0	23
p__Ascomycota	24	0	0	0	0	0	0	0	0	24
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	54	0	50	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	26	25	20
p__Microsporidia	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	26	25	0	0	23	0	30	62
p__Basidiomycota	36	0	25	0	27	0	29	0	40	40
p__Ascomycota	52	0	94	69	20	22	0	0	48	0
p__Basidiomycota	92	0	322	98	239	68	26	39	79	226
p__Basidiomycota	29	0	37	66	22	25	23	22	84	37
p__Basidiomycota	368	224	298	292	224	72	527	209	247	528
p__Basidiomycota	33	0	29	20	22	22	0	0	26	52
p__Basidiomycota	29	0	0	20	0	0	26	29	42	32
p__Basidiomycota	29	23	0	28	0	0	0	0	28	27
p__Basidiomycota	22	32	42	30	28	27	28	27	49	62
p__Basidiomycota	39	23	23	62	67	29	24	30	72	84
p__Basidiomycota	36	26	32	22	26	22	28	43	57	52
p__Basidiomycota	202	32	226	32	95	0	272	25	70	206
p__Basidiomycota	248	22	85	87	47	27	80	29	55	44
p__Basidiomycota	30	0	76	30	29	0	29	23	55	38
p__Ascomycota	76	22	49	39	52	37	28	29	96	76
p__Ascomycota	53	0	37	29	24	28	25	28	27	54
p__Ascomycota	20	22	28	22	28	22	27	0	25	50
p__Ascomycota	23	0	0	32	0	0	0	24	27	22
p__Ascomycota	28	23	25	25	22	0	26	0	53	26
p__Ascomycota	24	24	0	42	37	0	0	23	25	64
p__Ascomycota	0	0	0	0	0	0	0	0	25	25
p__Ascomycota	208	28	52	63	25	0	69	28	50	69
p__Ascomycota	36	24	28	28	28	26	28	26	24	52
p__Ascomycota	47	26	0	25	45	0	0	27	34	27
p__Basidiomycota	23	33	27	29	22	0	22	26	64	70
p__Ascomycota	47	0	0	0	49	0	0	27	0	0
p__Ascomycota	32	25	0	0	33	0	23	0	23	22
p__Ascomycota	0	0	226	205	25	0	0	0	40	0
p__Ascomycota	22	22	0	23	22	0	0	0	22	27
p__Chytridiomycota	0	0	0	28	0	0	23	0	45	34
p__Basidiomycota	250	256	222	223	309	89	209	242	208	208
p__Mucoromycota	22752	3989	2275	4873	5844	2432	2482	2824	7653	22659
p__Mucoromycota	280	228	292	263	723	283	273	329	443	422
p__Mucoromycota	75	74	74	220	225	77	53	237	209	208
p__Chytridiomycota	0	0	0	0	0	0	0	0	0	0
p__Basidiomycota	0	0	25	0	48	0	0	0	22	22
p__Basidiomycota	0	0	0	0	0	0	0	0	28	25
p__Mucoromycota	33	0	28	20	39	26	25	25	48	53
p__Mucoromycota	23	27	0	0	29	23	0	0	32	59
p__Mucoromycota	0	33	63	67	84	47	47	0	223	252
p__Mucoromycota	0	0	0	0	0	0	0	0	0	0
p__Mucoromycota	835	2322	2429	2436	2469	2226	2856	502	5797	8950
p__Basidiomycota	207	0	0	32	32	0	0	24	0	27
p__Basidiomycota	202	0	34	58	47	0	0	22	42	84
p__Basidiomycota	200	0	232	294	65	60	30	34	92	68
p__Basidiomycota	45	30	233	224	29	34	28	205	284	288
p__Basidiomycota	0	0	0	0	0	0	0	0	0	0
p__Basidiomycota	85	0	0	0	48	0	0	0	0	54
p__Basidiomycota	0	0	26	0	0	0	0	0	0	0
p__Basidiomycota	36	0	0	0	22	0	0	27	28	23
p__Basidiomycota	735	86	262	236	334	243	265	2328	576	247
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	22	0	0	0	53	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Basidiomycota	0	0	42	26	0	0	0	0	25	27
p__Ascomycota	42	23	62	30	34	0	0	0	27	29
p__Cryptomycota	0	28	0	25	0	0	25	0	58	23
p__Ascomycota	0	0	0	25	29	0	0	0	27	28
p__Ascomycota	29	0	0	23	0	0	0	0	22	0
p__Ascomycota	0	0	0	0	0	0	0	0	22	25
p__Ascomycota	386	253	283	225	2523	255	375	209	486	649
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	23	0	0	25	0	0	0	0	34	29
p__Ascomycota	0	0	0	0	0	0	0	0	0	25
p__Ascomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	0	0	28	0	0	22	20	0
p__Basidiomycota	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	0	0	26	22	26	27	28	0	35	20
p__Basidiomycota	28	0	209	32	0	0	24	0	47	49
p__Ascomycota	54	0	52	36	0	0	0	20	25	24
p__Ascomycota	24	0	25	0	26	29	0	25	22	27
p__Ascomycota	39	0	23	0	22	0	24	29	23	27
p__Ascomycota	0	0	0	0	0	24	0	0	42	22
p__Basidiomycota	48	0	28	23	37	24	23	28	52	64
p__Basidiomycota	38	27	0	20	36	0	0	32	77	32
p__Ascomycota	0	0	0	22	0	0	0	23	49	22
p__Ascomycota	0	0	0	26	0	0	22	27	23	0
p__Ascomycota	0	22	34	0	0	0	25	0	46	45
p__Ascomycota	0	0	0	27	0	0	0	29	23	0
p__Ascomycota	0	0	0	25	0	24	24	0	23	38
p__Ascomycota	209	78	209	97	624	222	42	292	223	246
p__Basidiomycota	28	0	24	39	32	42	29	0	23	24
p__Ascomycota	32	28	0	0	29	0	0	0	28	22
p__Ascomycota	0	0	0	25	0	0	29	0	29	23
p__Ascomycota	39	0	0	0	42	0	23	25	42	22
p__Ascomycota	0	0	76	40	0	24	23	0	38	44
p__Basidiomycota	24	0	23	0	0	0	0	0	22	22
p__Basidiomycota	27	0	28	0	20	0	0	0	20	27
p__Basidiomycota	0	0	0	0	25	0	0	26	20	25
p__Basidiomycota	0	0	0	0	0	0	0	0	0	0
p__Basidiomycota	0	0	0	28	25	0	0	0	0	0
p__Ascomycota	62	28	23	26	22	0	0	0	28	29
p__Ascomycota	242	34	286	245	222	72	65	85	229	273
p__Ascomycota	77	0	202	79	57	77	45	56	82	252
p__Basidiomycota	39	0	36	26	0	0	0	0	23	46
p__Ascomycota	0	0	0	0	0	0	0	25	26	28
p__Ascomycota	0	0	0	27	0	0	0	0	45	27
p__Ascomycota	0	0	0	0	0	0	0	0	2050	0
p__Ascomycota	0	0	0	0	27	0	0	0	0	53
p__Basidiomycota	48	29	27	27	46	22	0	40	59	73
p__Ascomycota	43	0	0	25	20	24	0	25	24	50
p__Ascomycota	25	0	29	22	0	0	0	0	56	66
p__Chytridiomycota	0	0	0	0	0	0	0	0	28	20
p__Chytridiomycota	39	0	0	26	28	0	0	0	0	32
p__Basidiomycota	24	0	93	52	30	0	39	28	47	66
p__Basidiomycota	79	0	47	34	36	26	34	38	77	83
p__Basidiomycota	34	0	36	27	22	26	0	0	45	40
p__Ascomycota	24	0	0	26	0	0	0	0	23	24
p__Ascomycota	79	0	97	0	0	20	0	0	0	75
p__Ascomycota	28	0	0	64	37	0	22	24	0	38
p__Microsporidia	0	0	0	0	0	0	0	0	27	0
p__Ascomycota	62	0	252	28	34	0	0	0	25	28
p__Ascomycota	0	0	0	0	0	0	59	24	68	0
p__Ascomycota	35	24	27	22	27	0	23	33	30	23
p__Ascomycota	92	27	53	37	38	20	28	22	72	59
p__Basidiomycota	24	32	42	27	22	22	23	22	35	53
p__Ascomycota	29	0	0	0	0	0	0	0	24	20
p__Basidiomycota	25	0	44	22	0	23	0	0	22	27
p__Ascomycota	23	0	0	0	0	0	0	0	23	34
p__Ascomycota	0	0	0	22	0	0	0	0	28	23
p__Basidiomycota	0	0	0	0	0	0	27	0	45	27
p__Ascomycota	28	0	53	26	47	0	0	0	26	32
p__Mucoromycota	59	33	44	70	54	30	69	0	229	243
p__Mucoromycota	28	29	20	29	28	0	0	29	40	45
p__Chytridiomycota	24	22	22	28	24	27	23	0	20	38
p__Chytridiomycota	0	0	0	22	47	0	0	0	48	20
p__Ascomycota	0	26	0	0	0	0	22	0	32	63
p__Ascomycota	23	0	72	20	23	24	0	22	25	37
p__Ascomycota	24	28	0	23	24	0	0	0	34	27
p__Ascomycota	2279	433	2722	2233	2004	888	272	2572	2229	2524
