Pathway	Healthy01	Healthy02	Healthy03	Healthy04	Healthy05	Healthy06	Healthy07	Healthy08	Healthy09	Healthy10	Healthy11	Healthy12	Healthy13	Healthy14	Healthy15	Healthy16	Healthy17	Healthy18	Healthy19	Healthy20	Patients01	Patients02	Patients03	Patients04	Patients05	Patients06	Patients07	Patients08	Patients09	Patients10	Patients11	Patients12	Patients13	Patients14	Patients15	Patients16	Patients17	Patients18	Patients19	Patients20
Pathway74	204.895408	0	76.44366141	490.7770753	0	11.41078838	120.1022113	65.28601719	813.4314585	604.5490977	99.8169903	247.4574571	159.9973395	496.6509619	158.2839981	11.90949383	59.13049204	58.08919072	200.5903467	52.222992	550.8267035	5510.503604	719.7341706	317.7153834	2033.775755	11986.27758	1845.782358	560.8945542	110.9817934	499.5459069	58.52442179	28.75601394	1437.320006	2174.788602	1178.856934	2067.975803	336.3487299	371.775565	318.3594856	121.5798103
Pathway75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway76	0	0	15.6053879	0	0	0	40.8622254	16.32065051	444.3815724	355.3884692	35.62564797	35.79494726	47.27596888	23.98303596	94.25424051	4.213483146	0	19.02542562	131.6650714	94.2542405	71.07240726	2526.012757	77.57748623	47.75615429	1064.302889	5518.589339	1065.872316	461.3675422	10.49988989	238.5581456	668.4982617	0	636.660188	373.4771207	156.4753006	280.3717819	312.5156962	119.6631148	119.3920887	10.33321115
Pathway77	1264.280448	318.403044	98.55276813	1832.776123	936.5733275	1211.4754	653.4741453	540.4064613	1041.167328	350.0147689	1079.90343	1660.765136	549.2315534	1421.567558	1712.436655	311.1372772	283.0395232	575.3623349	747.1188327	202.426655	1263.454847	1928.493851	1565.66514	1075.905978	1687.99594	3653.817958	1349.362452	278.1322058	1104.341386	948.9960242	1789.567219	324.1611403	760.7451548	922.7699456	824.348425	932.1956427	1433.120168	771.1607116	1670.682527	155.0822381
Pathway78	5606.047837	1549.801758	886.7900028	6952.414125	4402.179364	4301.787184	4632.728997	6758.815582	4181.649118	1426.548657	2457.594119	4740.328879	6242.013059	8443.444965	5295.765761	912.5637242	1076.686337	1925.489938	4189.827636	5295.26526	2963.724103	1347.838876	3016.674163	2513.785567	2114.058524	745.1269816	2659.725054	344.0224936	1715.714729	1589.363438	1865.406928	3908.680668	2241.148559	6235.044047	6858.9074	6278.143138	5780.35971	327.3731492	5853.587275	543.3434664
Pathway79	42.46127452	0	0	0	0	0	0	51.55335583	162.3758896	0	29.15508393	28.82149469	75.12903695	29.27095911	10.64987147	0	0	0	15.78412702	0.64922042	0	2919.983844	37.53743607	33.89973458	45.72903789	37.8674869	0	909.7883434	0	11.2640801	348.0161131	41.35296639	767.924852	255.4019254	69.26276561	62.73722623	0	354.0135625	188.0127162	0
Pathway80	9200.740804	2360.962244	1649.853559	15734.15718	8056.289661	8109.941107	7418.953617	9660.3941	11332.88525	6342.978815	6410.007843	13783.5277	27100.60017	12037.89709	10986.23107	2108.645612	2135.25993	3461.557635	7450.463662	926.22002	7534.558115	12223.93846	8951.36666	6757.892782	18732.25561	32198.7415	8310.371604	8719.389712	7075.373418	4999.777096	5375.115521	2748.117894	6687.328124	10812.70581	10292.77918	13578.38091	11538.20951	3596.645396	14173.7326	2279.990099
Pathway81	0	0	7.666098808	0	0	0	11.07325383	0	86.88245315	122.6575809	0	45.14480409	22.14650767	0	10.22146508	0	0	0	71.55025554	0.22046502	11.92504259	385.6336195	285.3356676	38.33049404	143.9522998	1052.96127	66.419681	49.38176569	0	69.84667802	16.18398637	0	63.61673019	43.44122658	28.10902896	61.85674065	10.22146508	21.95187216	9.323100773	0
Pathway82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway84	12605.09652	2755.364515	2235.20841	18171.56853	9191.734903	9339.021613	7286.32072	14035.99559	17471.26709	9605.804009	9166.045217	15617.85945	23012.80839	11372.31052	13395.25187	3344.98251	3051.752472	5766.500062	11518.36778	2295.25022	8997.210646	27125.47448	20916.44759	10719.13258	36420.82402	62611.16517	14067.53317	7558.477767	14667.72481	13221.69032	14223.04719	5814.894789	10062.32125	15058.85857	10838.2225	19595.78451	17782.96019	6922.439566	20662.09077	2725.871906
Pathway85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.611877693	0	0	0	0	0	4.761904762	0	0	0
Pathway86	6522.597062	2624.139082	1496.842091	10809.90369	5220.171999	5041.095259	5661.085799	10730.71085	9169.555755	5534.150686	4301.688214	8885.570389	13232.42449	9029.013531	6098.484808	2485.717846	2130.052836	4158.999103	7684.427947	6092.424202	7058.865553	11979.9652	13198.28275	5900.658528	13636.19054	22398.61106	8453.152558	3583.959787	6828.524493	6197.285012	17961.45699	4352.676901	7960.964259	12086.76994	9667.692656	13152.85687	10958.10285	2871.639753	9143.47721	1824.577539
Pathway87	1568.153045	392.1676605	151.1561685	2487.927474	1184.967398	1089.203733	635.4897737	430.9128987	1744.142781	166.0774978	448.3473901	1287.227978	476.9728803	2085.881198	1649.139754	205.3902649	180.36669	278.6203276	1445.237744	649.029254	1226.165405	292.3114708	626.0722166	277.0356739	1618.273625	54.21263273	1376.878752	6.984324611	463.7254562	630.9877058	3961.883324	410.4960663	682.7966331	4306.057725	3162.231125	3597.326763	1979.601521	129.7383704	2842.350547	148.8189587
Pathway88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.611877693	0	0	0	0	0	0	0	0	0
Pathway90	29.34522162	15.33695928	8.693889202	33.09944087	65.40859339	11.77088105	128.9980734	25.9646783	589.8253993	397.4448895	46.4325538	164.2690673	357.75564	29.36321943	67.91287935	66.00222658	23.44665885	51.80856647	146.9147458	62.90222925	88.50975817	1269.240025	598.2583334	207.0959383	480.8894274	4439.815418	381.6752283	205.3023089	62.91953258	288.2536839	280.6723713	51.18754146	442.904243	187.3680153	188.041477	559.5496181	64.42535197	152.4747658	441.3380991	20.38847496
Pathway91	2167.730456	633.6917767	431.3629279	3245.840755	2118.708453	1577.991	1547.67566	2504.254323	3038.485918	1965.506231	970.9436214	2334.83769	5129.672162	2397.824615	2260.49042	671.8721804	327.1623716	1338.018284	2022.981762	2260.49042	2274.630963	2566.960756	4154.698337	2921.295545	6193.530986	8273.326975	2228.902645	1497.700974	3253.148941	2113.153392	6791.115755	686.1298974	1195.91998	3578.002977	3059.419733	3795.208181	3070.058639	1863.314218	3246.972119	569.951635
Pathway92	122.2248526	96.18770277	145.7452346	250.719437	112.1710871	178.6677528	174.0147801	1355.287682	617.5747413	150.5727519	65.92906372	131.555157	2588.28984	183.8195976	123.6317631	119.6530575	19.40265656	411.3873701	481.4315353	22.620262	801.1691873	1636.035387	1292.686839	485.5780085	754.1111836	2139.14338	648.2717129	88.64619151	519.3117044	585.6459905	5.47573243	235.5104258	405.0930799	1238.564508	476.8339492	1025.473107	425.9682114	747.3857041	147.7124901	35.89346515
Pathway93	3125.698894	852.3409687	341.5018124	4581.761465	3230.594431	1828.517503	1841.760622	1716.483362	4566.010175	2148.773491	1235.393351	2801.088659	5673.539475	4141.143814	3500.493169	606.8089845	560.0317106	995.5411118	3070.554131	2500.492069	2876.993161	4400.368285	3503.81294	1861.517109	3056.240871	10012.32249	4226.287121	617.8079197	1202.555377	2048.066589	1481.99428	820.3174053	2472.23773	8668.045439	6641.774552	8231.067863	3401.583572	536.0398422	6038.350924	500.390381
Pathway94	18802.06035	6092.46554	5432.34863	27172.79726	15828.47538	14578.3798	13506.40942	20091.59469	22860.39458	10375.92308	12602.81708	21834.49105	29217.27716	27914.33886	19043.37211	5438.960955	8251.571551	10619.39999	17105.94721	9042.222	15367.86103	17178.36442	29105.8542	12318.05659	20608.85218	36275.28542	16744.53129	6682.665142	13709.11025	10306.71237	21557.29273	11779.76096	10623.10626	32178.90001	26933.50299	29590.48048	22742.18162	6303.655597	24130.60032	3594.639676
Pathway95	24881.99085	5791.859933	4803.304533	36459.3373	22303.08077	21023.28966	17393.58773	32320.74894	27444.50421	14662.1558	17473.89653	33557.67668	42325.86243	28161.3099	27852.15905	6576.175794	6923.696879	13348.52423	23257.31412	22252.05905	18724.40591	22617.17549	40327.3974	19261.34032	44101.04876	63111.85859	22998.29783	11052.49982	20786.81295	19945.1364	20470.79063	13765.1107	17460.05133	27996.8773	25952.64305	34293.3926	35486.48744	11217.87796	37139.26869	6474.068473
Pathway96	0	0	0	0	0	0	0	0	0	0	0	8.704164289	0	0	0	0	0	8.037511978	0	0	0	0	27.13502194	16.77852349	0	0	0	26.43025892	6.939090208	0	148.1996371	0	0	0	0	0	20.56988544	0	0	0
Pathway97	0	0	0	0	0	0	0	0	10.95890411	0	0	0	0	0	0	0	0	0	5.479452055	0	4.109589041	15.06849315	0	0	0	6.849315069	8.219178082	12.32876712	0	0	0	6.849315069	8.126454277	0	0	0	9.589041096	0	0	0
Pathway98	6389.80462	1010.49541	954.0828351	8812.335714	5410.998409	5419.16345	3212.492306	4682.4491	9988.99662	6746.44175	3486.014875	9426.622871	15505.1135	7983.426554	8576.920169	1550.696625	1237.365527	2881.292435	5695.356401	2526.920069	3765.818784	23218.55837	15115.49802	5837.404271	15328.39346	71315.24401	12982.47506	4516.644489	4650.039276	4838.412735	6525.464992	1641.884893	7639.379419	8579.315761	7369.170929	10473.38207	7829.992207	2425.96681	10113.9733	993.8344583
Pathway99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway100	16750.80508	4564.514328	3031.274354	22038.9689	15504.75736	12105.87116	9304.860095	16790.49355	16365.31796	9147.803396	7930.622948	15668.68088	23388.31004	20181.34728	18733.36047	3283.516089	3750.815636	6106.304164	15098.76127	2222.26042	11525.6521	9652.738641	13224.09653	8879.017969	25247.96561	22251.69455	12382.78783	7904.709238	11354.8674	8254.171653	18938.73944	9110.930809	6710.864824	21308.15304	21412.63935	25826.17589	20542.66086	3424.041129	23646.83924	3189.396368
Pathway101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.757249228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway102	0	0	6.825938567	0	0	0	0	0	0	0	0	0	0	0	0	0	5.119453925	0	0	0	0	0	0	13.3621129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway103	5465.161763	3366.979877	4212.562347	8157.132892	14466.86308	5559.539184	11846.31204	30719.29252	15982.84441	11650.61294	5013.0642	9059.393016	77363.57237	13168.60017	9891.122027	4873.79559	4263.178181	5482.438966	6856.625148	9290.022022	3917.834085	7386.350738	7333.52792	6324.433562	16422.28316	15115.19955	5669.724319	6716.317038	12027.9132	4460.94022	13242.50971	2058.736838	3592.320777	4479.314249	6059.672056	12239.05031	7042.284152	2983.721226	12874.68527	3238.503661
Pathway104	2.214973108	0	37.33692271	0	0	0	30.96913487	50.10495695	1310.296545	1163.111786	55.30445663	382.6531287	207.1051857	37.29962311	170.1461475	0	17.39419573	20.09560683	347.1392234	20.0460425	104.5906817	3813.103144	414.0845587	336.2077006	943.4964642	9594.455611	2586.431957	816.2972677	17.66351334	289.7950356	249.564111	24.46941415	1044.03129	718.9093084	520.2232322	417.2719651	333.9918248	180.1545668	301.2753224	13.7772504
Pathway105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.611877693	0	0	0	0	0	0	0	0	0
Pathway106	12949.70285	2283.831084	1241.870108	19234.98297	9419.653229	8147.57361	6918.504915	9036.574171	10644.95195	3756.575375	7993.984506	13965.14944	11075.40766	12126.72283	11303.68274	1971.817023	2252.990977	4281.31905	11863.81249	202.62224	8580.810992	7132.077319	9101.69241	6365.736563	25547.53605	16375.84127	8671.348462	1541.309772	7376.288456	7501.291089	13388.95272	6758.760694	6576.884201	17847.76927	15187.3172	17965.42613	19197.89736	1719.632309	20554.88871	2366.098167
Pathway107	0	25.17868473	11.50627615	0	0	0	2.169678924	0	202.6264968	232.6019258	2.713757209	47.67248312	44.84492446	0	16.87316502	54.25452539	0	29.18539224	88.43683364	6.22206502	20.39748954	634.2429192	2.612538766	49.58677686	275.8323589	1547.658514	232.1567071	53.82191682	0	21.44351464	2231.339479	0	74.96096426	46.01255657	63.82519978	76.9454788	20.55437953	7.800544427	25.43481286	0
Pathway108	35538.28445	9585.226139	6210.671067	55366.81358	34324.65978	31070.15446	26055.49859	36061.05517	44246.39783	23221.50049	19623.63184	44818.6401	62583.54959	50659.39555	43837.86545	9097.883189	8772.949276	16282.88708	35533.49217	42222.26545	24966.2371	51360.72741	37891.8505	20077.96307	54128.20505	121427.8602	37224.48412	12625.00839	19011.24461	18438.68606	113929.558	22613.98075	24807.59599	45140.05957	49396.8746	55379.15859	44754.04282	7790.552903	55627.3542	6246.04196
Pathway109	0	0	24.64907545	2.580910355	0	0	9.471116448	30.17840374	542.9003396	683.4068127	60.28515613	248.3802337	158.5980913	20.06046669	78.47084826	0	0	0	123.7897872	22.42024226	129.1823782	2709.152329	232.6255593	271.7491846	1003.289952	9347.826242	1298.690693	417.7636968	42.51020286	249.4528358	154.9031931	8.163265306	707.8554344	409.6500345	236.0303653	337.31028	97.82661408	132.7121991	135.4528923	25.77392466
Pathway110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.420454546	0	0	0	0	0	26.09309247	0	0	0
Pathway111	154.2780994	253.883786	234.0798491	446.5456851	246.9317415	292.7978105	903.0078134	1430.260091	1025.248502	1573.508401	432.0588526	692.5374712	1046.917857	609.7130433	421.5520496	449.2037176	380.5481205	442.7797818	1074.061118	420.5520496	410.5864033	2164.15035	1669.357685	750.0592762	1707.625326	8305.059385	1222.45275	1048.612383	1710.265753	546.7508097	1712.371117	271.5532709	793.7988339	377.890465	294.0938909	604.5708653	701.6730205	418.6400173	127.0639358	146.0428035
Pathway112	77.13992903	69.24271571	0	183.7924524	46.81445028	87.8475005	143.7628486	49.6871044	329.9812592	486.8780791	98.72613954	288.141807	572.633941	141.3994874	68.13859197	36.12622696	63.41212649	38.67946815	231.3554748	62.02259092	194.6142415	75.3877804	540.411863	337.8076968	859.1410752	1905.51213	452.1753618	790.4850097	1409.027342	175.7742449	210.6850964	43.55021426	262.4174331	90.79534425	135.1086598	40.83585372	394.9958104	189.3761047	72.76329403	89.00444508
Pathway113	586.1980164	31.64556962	15.82278481	1014.108759	457.8974458	248.3824234	198.0375886	154.2125411	369.5376166	25.11047862	129.5083862	449.5759999	3810.68636	1171.681823	839.4153409	28.48101266	53.79746835	18.98734177	218.0552029	229.4052409	113.9240506	41.13924051	91.7721519	205.7062487	104.3239268	12.65822785	113.9041478	0	53.79746835	25.3164557	926.839194	98.10126582	9.156496057	474.6342521	454.625986	367.5622821	430.3797468	0	954.104906	28.48101266
Pathway114	88.23529412	17.35268873	42.76517678	242.613463	12.93103448	23.62204724	0	16.90377523	361.3900013	190.2396054	22.72727273	209.8867772	86.23672727	402.1527774	71.67380252	29.10805764	0	18.1543532	96.16364028	20.62220252	113.0887397	1513.570116	18.18181818	23.11503662	450	2968.841081	425.1315913	246.6500164	33.31502335	59.09090909	0	50.81237957	544.9545209	226.8720761	505.1963589	702.8564907	172.123128	46.51468514	211.2161915	46.34042428
Pathway115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.420454546	0	0	0	0	0	0	0	0	0
Pathway116	38190.79146	17497.05854	7940.590672	52333.96364	38113.26784	29284.30215	26656.37762	44236.99486	47223.63895	31470.13756	19998.84085	44858.41076	96915.67246	52101.03664	44342.96893	11552.77949	9085.007528	19212.25942	35749.24122	44242.96292	25621.60502	54952.76909	53846.89019	28908.40749	55549.88486	153177.8366	43735.90371	18398.36842	27269.69622	22597.68075	54539.02048	12746.69085	25049.39269	45960.93792	50333.56235	60721.65726	36671.46757	11014.6758	55098.99722	7415.924928
Pathway117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.032332238	0	0	0	0	0	0	0	0	0
Pathway119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.775193798	0	0	0	0	0	0	0	0	0
Pathway120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.593862463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway121	21726.46823	5427.214276	4035.103828	26441.0378	19070.12166	15850.82192	12401.4016	24864.56338	21088.89406	8812.352771	12797.29834	25571.67471	29817.16812	26218.82041	22699.25344	5328.615481	5923.807353	11720.79705	19702.95843	22699.25244	14370.73334	15288.80869	32979.24913	14300.21834	31878.30285	49323.82868	18089.05824	9001.504243	17059.93729	15583.72451	9675.995835	13312.75371	13966.96817	24987.25017	23173.26369	26216.98837	29949.40293	9751.865534	25799.28336	3574.467355
Pathway122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway123	1125.752906	117.0597904	78.14048198	1817.772131	1496.884885	915.7243976	598.621037	537.1076657	2393.644215	1837.998458	970.8908325	1293.51617	875.58224	1181.64037	1853.704225	110.1517727	193.427075	284.7463656	759.4052094	252.204225	336.6499955	6438.518939	632.4703881	539.2586516	2628.790432	14118.32493	2402.974089	1055.03902	223.4608939	581.1363327	1539.147428	208.8702036	1429.511772	1423.469606	959.1699964	2238.508717	969.5998689	241.1270251	1836.598151	355.7237869
Pathway124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.921902943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway127	0	0	169.6874864	0	0	0	0	0	4.184100418	0	0	0	0	0	0	0	79.07280269	0	0	0	0	0	0.312831139	119.1471951	0	15.625	199.1231159	10.21557806	0	0	0.626030554	0	0	0	0	0	21.41720474	0	0.915750916	1.173281671
Pathway128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway129	13.74292643	16.33557487	7.255483735	0	0	0	1.601698541	17.6565008	11.15537849	86.2879598	11.57620422	43.45364379	24.61168868	1.574529738	19.90938151	30.1704147	10.43338684	6.787331175	356.7106317	9.9092205	34.60295436	454.672434	23.37404945	24.56997561	137.0380654	1273.341543	314.9079029	82.60615955	16.83642609	136.1791035	57.54665322	125.8724646	69.04282964	61.33328322	52.03263069	336.9125959	118.9266872	62.47804973	16.40040673	50.58509812
Pathway130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway131	9284.640201	2411.575994	1675.031234	10962.17984	6832.335687	6857.475068	5794.434802	12683.55408	11705.78054	3171.453436	4109.974979	10439.44281	24682.21351	11630.30765	8751.621157	2535.308167	2093.419701	4814.330719	8870.801329	2250.620052	7098.087756	9408.123262	11286.90933	5246.161992	14101.71152	11736.41042	6774.42354	3976.608624	6250.5417	6575.420208	10248.78515	6789.448126	4635.060949	15162.84993	12406.04295	13960.11054	13370.78858	2643.587343	11940.91304	1508.490132
Pathway132	19904.42503	9029.102333	6619.932825	26666.53884	18552.47691	15993.42054	16125.14823	30890.88985	29735.3848	20388.99221	13369.25238	25956.21335	59559.1904	26321.11062	20356.27928	7194.179912	8804.006238	13501.83489	24656.06214	20256.22922	17906.44613	25767.16062	40359.70535	19425.15241	38398.1582	70666.02467	23881.01614	13351.49162	23161.20647	18707.00138	43282.5239	14447.65436	17671.55747	29886.93962	28070.09231	35647.50516	29918.97311	10318.27394	29850.45804	8295.61988
Pathway133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.764533	0	0	0	0	0	0	0	0	0	0	0	0
Pathway134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.09309247	0	0	0
Pathway136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.09309247	0	0	0
Pathway137	7454.129589	8448.566497	2469.872986	8865.874633	11705.76039	6518.445202	9116.534819	13250.76404	9380.152085	6760.560044	4505.309241	10317.27055	29089.83262	10555.17609	9457.949751	3967.394724	2680.6504	5817.677242	9475.863747	9452.94925	4536.881718	6432.058562	10553.87058	4426.624527	8423.840407	11356.82156	6371.449253	2954.086515	4938.18229	3631.039736	7379.118614	3006.997304	3804.64781	6287.08915	7685.534858	8227.163392	5306.779268	2832.285066	7308.657572	1878.244707
Pathway138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway139	2057.441426	716.7859051	424.356428	2956.775159	1611.071617	1507.540747	1303.65614	2652.956413	2292.816389	1558.853145	1042.049717	1753.011465	6079.468327	2450.995372	2166.073352	612.6648592	264.0082485	734.4316961	1827.838255	2066.022252	1611.699313	3215.048902	2687.108995	1692.938849	4643.589716	5675.888091	1779.729685	1097.008153	2492.87889	990.2157014	1541.526906	601.1439357	1275.779336	3485.813378	2769.229402	4037.81228	2287.490233	613.326772	3816.933481	398.353005
Pathway140	93.45794393	0	0	68.70182288	0	0	37.38317757	0	109.34203	7.981755986	23.36448598	8.96474269	31.58288922	0	0	6.841505131	0	7.981755986	50.50671895	0	18.32903642	18.69158879	0	92.03966935	100.0969746	13.23684498	69.38881472	0	46.72897196	60.74766355	592.2897894	23.36448598	8.788123534	0	0	544.9961726	168.4001321	33.59409377	427.9875524	0
Pathway141	5923.123624	1613.146955	852.9786017	8973.382848	5235.182066	4968.048302	4765.082532	4765.226467	6311.275895	4088.645881	4034.482714	7839.136964	10517.20343	6929.307105	5879.174005	1307.85972	1187.731875	2623.591682	5353.574041	5229.024005	4836.262941	5983.111229	6800.118437	4225.08024	12392.60902	17132.37897	5898.078371	4632.077597	4350.37135	3726.254646	8166.047323	1694.841933	3777.275202	9771.270334	7704.106547	10177.03732	7226.017057	1588.667703	9579.84614	1395.514796
Pathway142	67148.01521	24136.23102	15143.69198	101269.5262	64817.18551	53679.2512	49677.00187	102459.7844	80677.51483	50054.96043	41835.00223	82095.90573	148958.1011	91291.98027	72488.61818	24598.75476	19428.13031	39732.41234	75435.02033	22422.60202	65277.44479	91156.56945	103994.6057	55847.15846	120132.7265	234649.5518	75591.71201	47151.49308	60681.57776	53140.74695	113945.5649	49348.54861	53376.84688	90357.699	96907.61551	112440.4558	94971.61221	28668.21068	98494.08313	15700.38478
Pathway143	13348.86113	3501.995883	2916.194096	21212.89985	13087.20227	11749.80365	8556.610555	20559.12419	17268.52547	7894.435182	7813.13167	14267.94541	30159.10354	19092.41391	17892.77388	4190.848091	3692.600226	6686.170903	12612.32498	2292.22222	11399.96502	14275.61265	19145.76008	10469.04909	21783.31633	41968.00977	13075.66936	8056.763001	10465.25796	10566.97149	21187.91589	8233.148822	9582.062126	17732.52505	15958.72706	20809.04023	17908.77121	5606.934567	20518.26086	2479.68659
Pathway144	22412.88217	8076.092437	5626.040096	35021.37578	22582.68297	19560.28653	15698.01945	34288.4081	28724.86182	15256.32009	13738.5047	24437.20499	61558.69154	32293.47374	28399.02344	8404.141173	7189.776709	13929.55067	21987.10576	22299.02244	22360.75966	27575.6899	36285.4367	20438.50547	32251.82286	75581.29349	24735.71542	14650.50906	18737.05172	17784.27907	41372.28766	10792.87048	15548.45617	24967.29348	27356.71808	31477.27904	26947.62992	13010.25866	32851.32962	5478.537321
Pathway145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway146	467.6320155	15.82885249	137.6688741	865.7452921	558.2221098	15.17973552	41.87597723	858.1268738	635.9851518	1781.568124	123.7958151	1263.14575	467.438365	1686.193035	220.6617878	117.60205	88.10465642	110.4383498	655.8584197	220.6602222	190.1180158	4045.592594	929.9289588	652.3522342	1353.762212	10668.27487	1703.009787	578.2321472	51.75465722	515.1421659	544.5813169	97.54718207	613.4742497	441.5914884	1501.236727	636.8947002	159.4570023	268.4114522	553.1779543	130.7334527
Pathway147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.115899829	0	0	10.76706477	0	0	16.71893622	0	0	0	0	0	0	24.06351828	0	0	0	0	0	0	6.329454025	0	0
Pathway149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.032332238	0	0	0	0	0	0	0	0	0
Pathway150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway151	0	0	31.60963229	7.221281584	0	0	20.93549317	30.17840374	715.1866119	1017.055584	96.22841047	262.2142036	178.9090199	22.66572031	104.3486037	17.64705882	0	6.737247353	448.6493288	4.2426022	146.3157042	3466.484824	244.1715318	367.3765087	1235.66381	11452.68262	1481.716202	474.0926555	47.12684491	365.1888304	542.0121252	164.5675517	1000.79143	540.2289052	321.5642575	545.6140054	235.1674407	189.7451211	174.3577625	25.77392466
Pathway152	14174.39407	5075.612847	2284.42294	19874.3161	12061.09777	10259.94519	9223.021344	15959.9212	14496.17928	6787.858279	8190.664581	15016.44385	21835.61545	16507.1976	14138.87628	3475.784329	3259.632208	6622.962184	15364.28453	4022.22622	12569.00195	11557.44812	17844.4794	9082.679596	21863.61897	30869.84894	12186.73915	5470.640208	12038.76023	9461.033774	12232.412	11513.66489	8116.5868	20430.54253	22264.25477	24253.51325	18704.53753	3941.174146	22103.76461	3114.167967
Pathway153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
