#OTUID	DN1BS	DN1R	DN1RS	DN2BS	DN2R	DN2RS	DN3BS	DN3R	DN3RS	DN4BS	DN4R	DN4RS	DN5BS	DN5R	DN5RS	DN6BS	DN6R	DN6RS	DN7BS	DN7R	DN7RS	DW1BS	DW1R	DW1RS	DW2BS	DW2R	DW2RS	DW3BS	DW3R	DW3RS	DW4BS	DW4R	DW4RS	DW5BS	DW5R	DW5RS	DW6BS	DW6R	DW6RS	DW7BS	DW7R	DW7RS	ZN1BS	ZN1R	ZN1RS	ZN2BS	ZN2R	ZN2RS	ZN3BS	ZN3R	ZN3RS	ZN4BS	ZN4R	ZN4RS	ZN5BS	ZN5R	ZN5RS	ZN6BS	ZN6R	ZN6RS	ZN7BS	ZN7R	ZN7RS	ZW1BS	ZW1R	ZW1RS	ZW2BS	ZW2R	ZW2RS	ZW3BS	ZW3R	ZW3RS	ZW4BS	ZW4R	ZW4RS	ZW5BS	ZW5R	ZW5RS	ZW6BS	ZW6R	ZW6RS	ZW7BS	ZW7R	ZW7RS
ASV_301	3	0	1	0	0	0	0	22	167	0	2	0	79	12	101	29	1	8	0	0	0	39	45	441	15	650	2	0	31	168	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_303	40	2	54	119	16	7	87	37	191	1	18	14	8	27	388	10	8	14	0	0	8	10	72	68	16	19	5	0	33	173	26	8	18	15	0	156	16	8	29	25	0	21	0	0	2	0	0	2	0	0	1	1	1	20	3	0	0	0	2	0	2	0	6	0	3	1	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	3	0	0
ASV_295	5	0	8	94	2	8	115	29	71	92	105	117	47	0	55	41	2	28	0	15	20	24	2	2	4	4	5	9	8	60	328	8	72	7	1	56	115	2	52	15	8	43	2	0	0	0	1	5	1	0	2	0	1	11	6	0	1	0	1	0	16	0	14	2	2	4	1	0	1	13	1	12	3	0	13	6	1	3	1	0	2	9	0	3
ASV_285	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	1	6	0	0	0	6	0	0	0	0	0	0	2	0	0	0	1	0	0	8	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1434	24	312	0	0	0
ASV_296	0	0	0	151	0	24	174	2	15	0	0	0	3	0	5	0	0	2	28	2	148	3	0	0	9	0	28	0	0	14	46	0	19	38	0	17	15	1	1	10	1	29	35	0	3	0	0	0	0	0	0	0	2	35	790	0	0	0	1	1	17	0	2	1	0	1	0	0	0	2	0	1	18	2	8	76	21	0	0	0	0	9	0	1
ASV_297	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	2	216	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	46	7	0	1	0	1	1	0	0	80	374	6	0	56	0	0	0	0	0	0	0	0	743	6	3	0	0	162	0	3	82	2	1
ASV_324	30	0	17	88	2	17	93	6	27	64	14	25	31	3	13	47	6	69	19	0	3	191	0	12	123	0	12	0	1	24	102	10	35	43	1	11	66	0	9	32	0	32	14	0	11	6	0	1	21	0	4	44	3	6	54	0	14	10	1	13	28	0	7	49	6	4	2	0	2	27	3	2	37	1	10	8	0	6	28	1	4	53	0	44
ASV_381	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	2	0	7	0	15	8	1	39	76	0	2	16	0	1445	53	0	3	0	1	0	0	0	0	2	2	0	2	16	0	28	0	0	0
ASV_300	0	270	17	0	0	19	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	16	0	0	0	0	66	1	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	1	0	1	7	1	8	0	911	203	0	0	0	0	0	1	0	0	0	0	0	0	1	0	10	1	0	1	0	0	211	10	1	8	9	0	1
ASV_290	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	1	0	0	1020	0	0	0	0	0	0	0	0	0	0	0	0	0	7	222	25	0	4	2	10	10	100	0	0	0	0	0	1	0	0	0	0	22	134	148	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	43	20	4
ASV_316	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	13	12	15	0	184	4	0	0	48	38	38	11	0	1	2	0	0	1	0	6	2	0	1	18	891	138	0	1	1	32	238	15	2	0	0	0	0	0	21	1	2	0	0	0
ASV_278	0	0	0	0	28	906	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	786	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_424	18	12	245	0	0	0	0	4	170	1	20	403	5	1	18	1	4	5	0	0	7	1	1	6	1	1	1	0	0	113	4	14	32	25	6	545	1	1	23	0	0	21	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_283	0	0	0	16	1	13	10	0	3	18	4	20	1	0	0	702	7	190	0	0	2	0	0	2	0	0	28	0	0	6	69	0	6	10	22	11	51	0	29	0	0	1	21	0	0	1	0	0	0	1	0	3	2	157	280	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	2	0	1	1	0	5
ASV_391	409	74	176	2	0	0	1	3	12	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	829	84	14	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	35	24	11	0	0	2	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_328	80	69	32	1	0	72	8	2	58	242	1	34	165	2	45	4	0	4	0	0	22	5	0	11	10	0	75	2	5	73	43	2	16	48	2	37	2	32	20	34	2	32	2	8	6	0	0	0	6	0	6	5	19	0	0	0	3	28	0	1	6	0	8	2	2	6	0	0	0	77	20	108	1	0	0	5	1	4	0	0	0	9	75	12
ASV_305	83	0	10	0	0	0	0	0	0	0	0	0	9	0	0	30	17	156	0	0	0	9	0	6	16	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	196	0	100	116	0	19	121	0	63	0	0	0	0	0	0	0	0	0	0	0	0	130	5	117	34	9	39	327	1	92	0	0	0	1	0	0	0	0	0	0	0	1
ASV_317	47	22	40	0	0	3	0	4	7	78	98	47	153	28	27	194	42	184	46	0	48	0	0	0	4	1	4	0	59	8	64	37	94	2	0	1	116	49	91	50	0	46	1	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
ASV_342	0	0	0	1	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	83	1593	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV_304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	8	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1645	0	2	0	0
ASV_325	0	0	0	16	0	1	2	0	2	6	18	4	9	9	6	3	0	3	0	1	0	3	0	0	2	0	3	0	0	2	57	129	22	0	0	5	9	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	22	26	25	1	0	0	2	1	1	0	1	1	0	1	0	0	1	2	0	0	0	33	3	9	1210	0	1	0	1	3	0	1
ASV_344	177	105	213	0	0	0	1	4	14	0	0	3	68	3	25	9	53	13	3	0	3	0	0	6	22	1	0	2	0	9	326	48	200	2	1	1	0	1	1	5	0	3	10	0	2	58	2	10	0	0	0	1	3	1	0	0	2	2	0	3	0	0	1	4	1	4	112	5	29	1	0	3	16	1	37	5	1	10	0	0	3	8	1	5
ASV_359	0	1	0	0	0	1	0	0	0	1	4	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	1	31	56	36	722	341	360	1	0	0	0	0	0	15	0	9	1	0	0	4	0	6	31	1	7	8	0	2	0	0	0	0	0	0	3	0	0	0	0	2
ASV_334	5	0	0	5	2	7	4	3	0	4	0	0	3	0	1	1	2	1	1	0	1	1	2	0	1	0	0	1017	131	1	3	0	0	189	24	190	0	0	0	0	2	0	0	0	2	0	0	0	2	0	1	24	0	2	0	0	4	3	0	0	0	0	6	0	0	0	0	1	3	0	0	0	2	0	1	0	0	1	2	2	0	1	0	0
ASV_318	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	2	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0	0	1575	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	4	0	0	0	0	0	0	0	1	0
ASV_312	517	10	5	5	0	0	3	1	0	16	5	10	1	0	0	0	0	0	0	2	0	117	6	25	174	0	1	0	0	0	633	32	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_447	20	0	2	20	4	1	36	17	7	42	66	24	10	0	12	4	0	19	19	32	8	5	11	14	11	125	3	0	24	11	91	101	44	31	234	2	43	46	24	85	5	17	12	13	3	12	1	1	6	30	2	1	9	5	1	2	8	0	0	1	19	0	6	13	4	5	11	1	4	17	35	9	23	4	6	5	5	2	25	3	4	24	5	26
ASV_306	11	4	14	8	3	10	10	7	34	9	0	7	5	20	22	5	9	6	11	24	184	29	151	358	20	1	15	0	23	30	1	38	11	33	0	64	22	0	16	40	28	136	0	0	10	0	0	2	0	0	1	8	0	14	31	1	16	0	1	11	1	0	0	2	2	17	2	0	2	0	0	2	0	0	0	45	7	27	0	0	1	1	0	2
ASV_292	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	1	0	0	0	0	0	0	16	0	0	0	0	0	0	1062	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	55	0	2	2	0	0	0	0	0	0	0	0	0
ASV_337	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	1	1057	31	513	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_332	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	2	1	0	0	0	1	0	97	5	4	0	0	0	12	0	2	1	0	0	286	34	53	441	0	19	180	13	308	0	0	0	2	0	0	0	0	0	0	0	0	20	5	1	14	0	12	4	1	0	71	1	20
ASV_309	7	0	0	171	0	5	157	1	23	467	28	77	6	0	0	4	0	2	1	1	2	35	0	14	14	0	1	0	0	35	196	0	38	0	0	0	244	1	8	6	0	19	0	0	0	0	0	1	2	0	0	0	0	1	12	0	1	0	0	1	7	0	2	0	0	0	1	0	0	1	0	1	3	0	0	1	0	0	10	0	4	1	0	1
ASV_351	7	2	17	9	9	132	10	10	137	27	39	18	2	1	42	3	0	4	1	31	102	2	3	36	3	2	136	0	11	98	40	5	24	2	33	48	212	8	64	0	1	30	10	1	30	2	0	0	7	1	6	0	0	4	0	0	0	0	0	0	3	0	14	3	0	31	1	0	2	10	0	86	5	1	5	3	1	0	2	1	8	0	2	3
ASV_341	0	4	8	0	0	12	1	7	94	0	0	2	7	0	25	0	0	6	0	0	3	21	20	747	11	0	14	0	0	90	0	6	8	25	26	379	0	0	1	9	13	58	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
ASV_315	98	7	5	15	0	2	19	0	8	15	0	10	256	0	96	0	0	1	0	0	0	35	0	11	46	0	1	1	1	6	69	0	12	12	101	6	0	0	0	0	0	3	28	0	0	0	0	7	0	0	0	0	13	21	31	0	0	0	0	0	442	0	145	0	0	1	1	0	0	0	0	0	36	1	11	0	0	0	0	0	0	10	0	12
ASV_528	0	0	2	23	19	13	16	5	6	2	9	1	4	0	9	0	0	1	86	68	36	0	0	3	0	524	12	0	2	10	25	18	10	5	3	16	74	6	23	50	4	33	0	0	0	3	0	1	4	5	8	4	1	2	0	2	3	0	0	0	40	234	27	1	2	0	2	0	1	8	6	11	1	0	0	32	41	1	5	17	7	1	0	5
ASV_311	42	5	2	22	0	5	34	0	608	0	0	0	125	0	17	17	38	8	0	0	0	8	0	5	19	0	5	0	22	503	8	0	11	2	0	2	28	5	15	0	0	3	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	19	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0
ASV_333	0	0	1	0	0	1	0	0	0	7	0	0	6	0	0	0	0	0	0	0	0	5	5	4	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	1	0	1	1138	23	357	0	0	0	15	1	0	0	0	0	0	0	3	0	0	1
ASV_323	0	0	0	0	4	0	0	0	0	0	1	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	13	1519	14	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ASV_473	0	0	0	0	1	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	7	1522	0	0	1
ASV_360	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	576	9	225	0	0	0	2	1	0	1	0	0	0	0	0	0	1	1	716	0	1	0	0	0	3	1	1
ASV_405	12	381	47	20	0	0	24	1	178	1	11	0	20	0	1	0	0	1	0	0	0	2	119	133	12	0	1	0	0	445	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	26	96	0	0	0	0	1	0	0
ASV_338	34	34	119	15	1	33	40	35	82	0	0	0	0	0	3	1	1	14	0	0	2	39	4	83	27	0	47	0	0	65	4	136	6	0	0	2	0	2	0	9	4	83	18	18	7	16	0	3	2	0	0	7	0	1	0	0	23	93	63	128	0	25	11	11	2	3	4	0	5	8	0	116	0	0	0	1	0	25	0	3	7	14	0	5
ASV_368	0	0	0	0	61	83	0	8	24	38	11	10	52	34	34	0	6	2	0	0	1	3	0	7	1	26	64	0	48	31	98	23	66	20	231	61	2	0	3	0	6	19	0	0	1	0	0	0	0	0	1	4	0	8	3	2	3	4	13	8	64	0	51	0	0	0	0	0	0	3	0	3	0	0	3	1	0	6	0	287	0	0	1	5
ASV_2240	110	43	98	0	19	1	0	0	2	1	32	21	0	2	3	0	5	3	97	64	52	53	52	85	50	29	2	0	1	2	0	8	4	4	25	31	41	64	92	2	3	22	28	1	10	2	4	4	3	0	15	4	0	0	0	1	18	17	0	6	0	0	4	6	4	5	0	0	1	29	12	93	1	4	7	4	3	4	22	8	27	41	12	9
ASV_347	34	1	3	11	1	179	17	0	21	85	0	5	28	0	15	106	0	27	49	2	84	51	2	9	22	0	218	0	0	20	48	0	15	24	1	8	124	0	26	71	0	11	10	0	0	4	0	1	0	0	3	4	0	17	27	1	0	1	3	0	14	0	4	9	0	1	1	0	0	3	0	2	2	0	4	8	0	0	0	0	1	36	1	46
ASV_329	0	0	1	0	0	4	2	0	0	0	0	1	0	0	1	9	5	24	0	0	0	0	0	12	0	0	3	1	0	3	1	0	0	0	0	0	0	0	1	0	1	0	0	0	9	0	0	10	1	0	2	7	1	0	23	0	13	0	8	2	8	0	1	3	0	9	578	27	704	1	0	7	5	0	16	5	0	5	1	2	0	0	0	0
ASV_330	0	0	0	0	0	4	0	1	28	49	49	16	63	0	14	4	0	4	9	29	12	21	10	24	2	0	4	0	84	25	49	0	6	17	653	14	8	8	4	0	0	6	6	0	0	4	1	10	4	0	1	35	6	4	7	21	11	0	0	4	0	0	3	2	0	2	110	0	3	0	0	1	37	1	4	0	0	11	0	2	2	0	0	0
ASV_379	0	1	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	19	0	0	0	9	720	32	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	593	10	1	6	36	0	21
ASV_348	0	0	0	0	0	0	0	0	0	0	1494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_431	13	15	15	0	0	0	0	0	0	115	10	24	43	0	22	0	0	4	0	0	0	3	0	6	9	0	0	0	1	0	0	0	0	14	0	3	1	0	1	35	4	0	15	0	2	11	0	8	23	0	19	29	0	11	30	101	427	3	0	4	0	13	0	22	0	5	0	0	0	12	3	3	2	0	8	8	10	331	10	0	0	26	0	20
ASV_365	0	0	15	6	1	0	11	0	0	0	0	5	0	0	76	0	19	6	43	99	467	0	16	54	3	0	3	0	5	0	83	19	160	14	0	44	11	15	2	0	1	2	0	0	1	0	0	0	1	0	17	0	0	6	10	0	0	0	0	5	26	69	148	0	0	1	0	0	0	5	2	4	0	1	0	0	0	0	7	0	7	0	0	0
ASV_2894	9	18	24	0	0	0	0	0	1	0	0	4	0	2	3	0	2	1	4	29	13	10	1	12	7	9	1	2	1	0	0	9	4	3	17	16	37	24	33	12	29	7	79	6	59	9	0	9	39	31	122	104	0	0	0	32	84	2	0	0	0	0	1	36	38	63	8	1	6	109	99	60	2	0	11	3	4	88	11	4	20	1	0	1
ASV_1047	2	1	4	0	25	5	0	0	5	1	4	28	9	33	83	1	0	0	80	22	159	2	2	12	2	93	6	0	0	2	1	2	7	34	28	47	22	9	25	42	0	67	2	0	2	1	0	1	4	1	5	1	1	3	1	0	1	12	0	9	8	0	8	0	1	1	0	0	0	25	2	18	16	7	28	141	33	0	44	34	33	86	23	63
ASV_339	163	205	46	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	1	1	5	4	0	0	18	0	0	0	0	2	3	952	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	14	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_399	0	0	4	0	0	1	1	0	5	1	3	0	1	0	14	0	0	0	0	2	17	0	0	0	0	0	2	0	0	0	0	0	4	1	0	26	0	0	3	0	0	0	12	0	172	3	0	118	1	0	6	1	0	107	3	4	71	4	1	360	5	0	52	3	0	189	7	0	136	8	0	17	5	0	1	1	0	54	0	0	14	2	0	12
ASV_415	25	0	3	0	1	55	0	0	2	78	15	15	61	0	21	6	0	6	0	17	0	14	5	21	16	3	66	1	17	4	131	1	39	1	0	1	12	0	8	0	1	12	12	4	0	0	0	0	29	6	12	15	0	13	14	6	26	2	0	1	113	5	51	11	0	2	1	0	0	19	38	4	50	7	18	17	2	25	37	0	22	87	9	137
ASV_804	10	9	64	0	1	1	0	2	11	0	0	6	0	1	8	2	22	4	1	1	3	60	2	34	68	196	10	2	0	17	7	1	19	4	7	11	26	22	30	13	29	61	14	7	23	360	43	73	18	2	11	1	0	1	9	4	7	2	13	13	1	0	5	15	0	17	6	1	3	5	0	10	1	0	5	2	0	3	2	4	1	3	0	1
ASV_327	0	0	0	0	1206	101	0	0	0	0	0	0	0	0	0	1	0	3	0	0	2	0	0	0	0	2	120	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ASV_2936	8	2	14	41	2	7	58	1	67	10	1	83	20	1	34	31	1	112	1	1	28	27	1	25	18	2	7	1	6	45	64	2	93	40	3	53	124	3	36	40	1	20	27	0	4	12	0	5	9	0	12	14	0	6	3	0	0	0	0	2	27	0	1	17	0	3	0	0	0	13	0	3	11	0	7	35	3	1	17	1	1	37	0	34
ASV_319	3	0	42	0	12	2	0	0	0	1	0	15	0	0	19	442	438	252	11	6	7	1	0	1	2	0	4	0	8	3	12	0	18	9	1	106	11	7	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1078	3	354	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_340	31	22	39	5	0	1	15	1	0	1	25	15	115	48	144	205	7	48	0	1	1	0	0	16	1	2	6	0	41	0	52	38	33	2	0	13	8	20	7	2	0	18	37	0	1	45	0	34	3	34	0	10	44	47	7	0	14	0	1	0	5	0	10	3	4	0	34	0	11	8	0	5	3	1	3	42	1	12	0	0	0	0	0	0
ASV_363	5	3	4	14	0	1	20	0	1	0	15	4	0	2	2	0	0	2	79	6	10	59	2	9	97	0	0	0	2	4	74	3	47	13	5	19	4	3	3	3	0	0	22	2	53	7	0	4	7	0	5	25	1	9	83	0	2	42	0	72	10	0	1	34	3	40	0	0	3	32	2	0	48	9	25	22	1	11	97	7	3	113	9	64
ASV_331	0	0	0	4	0	0	2	70	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	968	223	25	36	0	14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ASV_558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	90	0	0	0	58	22	113	267	189	0	1	0	2	25	6	0	0	0	0	0	0	16	5	12	12	161	20	3	9	11	11	311	15
ASV_345	33	0	1	88	1	7	99	0	8	97	330	13	41	0	0	0	0	0	0	0	5	1	0	4	3	119	11	1	0	5	4	6	30	62	0	13	12	0	16	5	0	1	10	0	0	0	0	0	0	0	1	0	0	41	12	0	0	3	0	17	44	0	1	10	0	0	0	0	0	4	0	3	13	9	12	54	47	0	11	36	7	3	0	12
ASV_561	0	0	0	6	4	3	3	4	0	1	0	0	1	0	2	1	1	3	1	0	0	0	0	0	0	2	0	146	1137	3	1	1	1	6	0	1	0	0	0	0	4	0	1	0	1	0	1	0	1	3	2	0	0	3	2	1	3	0	0	0	1	1	2	0	0	0	0	1	2	0	2	0	1	0	0	0	0	0	0	0	0	1	1	0
ASV_358	95	4	16	4	0	0	7	0	1	2	0	4	1	0	2	10	3	11	7	0	11	5	0	18	15	0	0	0	1	2	45	0	18	100	0	4	5	10	7	160	2	36	31	0	20	12	0	3	75	0	33	43	0	10	8	5	16	1	0	0	6	0	0	61	0	32	4	0	5	44	0	49	23	0	21	14	0	10	145	25	52	3	1	0
ASV_384	40	3	13	38	0	3	43	1	9	4	12	33	5	0	26	49	2	24	10	4	6	9	0	7	7	0	3	0	1	19	49	8	45	16	0	19	55	3	27	23	0	18	9	0	185	0	0	4	40	4	20	4	0	21	11	1	3	0	0	0	2	0	11	4	0	173	0	0	3	124	1	6	22	0	31	5	0	5	5	1	3	10	0	15
ASV_369	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	857	236	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1065	4	19	11	2	9	1	3	36	99	0	15	25	1	11	23	0	0	2	1	0	1	1	14	25	4	6	7	0	2	64	5	12	27	3	8	31	0	2	2	0	2	11	3	0	11	7	0	1	0	0	0	15	0	4	5	75	25	29	2	103	25	7	208	3	8	12	23	1	8	0	7	7	41	60	76	4	4	24	8	38	6	2	1	8
ASV_349	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	329	117	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	141	206	55	73	0	0	0	0	0	0	0	1	1	0	0	1	0	0
ASV_372	11	15	21	7	0	3	7	3	72	10	3	23	12	1	8	0	1	9	13	0	7	9	6	14	8	0	4	0	4	36	4	22	20	537	0	43	35	10	32	2	0	0	47	0	4	0	0	0	0	0	1	13	3	36	25	6	27	23	0	5	3	0	2	6	2	8	1	0	3	1	0	0	25	0	6	2	33	34	2	0	3	2	0	3
ASV_361	8	1	2	3	21	1	4	226	68	4	56	17	3	0	7	3	0	3	140	0	21	0	0	10	2	17	1	0	9	61	47	5	72	4	0	7	15	31	9	12	5	10	0	0	0	0	0	1	4	0	5	0	11	52	129	0	0	4	0	17	20	10	98	1	0	0	0	0	0	4	0	0	4	2	9	5	3	0	1	1	2	21	2	21
ASV_545	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	49	3	0	10	0	0	2	300	0	0	0	218	185	52	4	46	2	0	0	25	41	31	0	0	0	0	0	0	58	6	28	21	11	177	8	3	25	8	4	7
ASV_398	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	2	10	0	0	0	0	2	0	0	95	0	0	0	0	11	0	16	0	0	0	18	1060	39	1	0	0	0	0	0	0	0	0	0	0	5	2	0	0	1	0	19	14	0	17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
